0	Index      	Bounty	 *	Score 	Summary	Detail	
1	15113 23421	3	 * 	286.24	DCR|3VULN|3DMG|2TLV|2LIT|1AART	17LIT|278VULN|346DMG|57TLV|7BPWR|9AART|aRCR
2	12124 22264	5	 * 	286.10	DCR|3VULN|2DMG|3TLV|3LIT|2CDMG	17aLIT|247TLV|34aVULN|47aBPWR|5ZMB|67DMG|8RCR|9aCDMG
3	15325 12231	6	 * 	284.43	DCR|3VULN|3DUR|1TLV|3LIT|1DMG	137LIT|237VULN|37BPWR|4FEWX|5DMG|678DUR|9RCR|aTLV
4	12124 22252	5	 * 	281.98	DCR|4VULN|2DMG|3TLV|2LIT	17LIT|247TLV|349aVULN|47BPWR|5ZMB|67DMG|8RCR
5	12423 22322	3	   	281.98	DCR|4VULN|2DMG|2TLV|2LIT	17LIT|27TLV|3CGEN|458aVULN|67DMG|7BPWR|9RCR
6	12121 22252	5	   	281.88	DCR|4VULN|2DMG|3TLV|2LIT	17LIT|247TLV|349aVULN|47BPWR|5ERES|67DMG|8RCR
7	15113 23112	3	   	281.79	DCR|2VULN|3DMG|2TLV|1DUR|2LIT|1CDMG	17LIT|27VULN|346DMG|57TLV|7BPWR|8DUR|9CDMG|aRCR
8	15325 12235	6	 * 	279.27	DCR|4VULN|3DUR|3LIT|1DMG	137LIT|237aVULN|37BPWR|4FEWX|5DMG|678DUR|9RCR
9	15153 25333	3	   	278.66	DCR|3VULN|2DMG|1TLV|2ASPD|2LIT|1AART	17LIT|25aVULN|37DMG|47ASPD|6RCR|7BPWR|8TLV|9AART
10	15233 12231	3	 * 	277.32	DCR|2VULN|3DUR|2DMG|1TLV|3LIT	157LIT|27VULN|3FEWX|458DUR|57BPWR|67DMG|9RCR|aTLV
11	15355 12231	8	   	277.32	DCR|2VULN|3DUR|2DMG|1TLV|3LIT	137LIT|23VULN|37BPWR|467DUR|57DMG|8LHND|9RCR|aTLV
12	12423 22326	3	   	277.18	DCR|3VULN|2DMG|2TLV|1DUR|2LIT	17LIT|27TLV|3CGEN|458VULN|67DMG|7BPWR|9RCR|aDUR
13	53213 61511	10	 * 	277.03	DCR|3VULN|2DMG|2DUR|1TLV	1LHND|24DUR|34DMG|4BPWR|5LIT|69aVULN|7RCR|8TLV
14	12115 52412	5	   	276.58	DCR|3VULN|3DMG|2TLV|2LIT	17LIT|27TLV|38aVULN|4ZMB|567DMG|7BPWR|9RCR
15	12423 22325	3	   	276.58	DCR|3VULN|3DMG|2TLV|2LIT	17LIT|27TLV|3CGEN|458VULN|67aDMG|7BPWR|9RCR
16	15113 23344	3	   	276.58	DCR|3VULN|3DMG|2TLV|2LIT	17LIT|279VULN|346DMG|57TLV|7BPWR|8RPLT|aRCR
17	12121 42322	6	 * 	275.98	DCR|5VULN|2TLV|1DMG	1LIT|24TLV|3468aVULN|4BPWR|5ERES|7DMG|9RCR
18	15126 21511	9	 * 	275.93	DCR|3VULN|2TLV|2DUR|1DMG	1LIT|29aVULN|3DMG|4MLV|5aDUR|6ASPD|7RCR|8aTLV|aBPWR
19	15233 12235	3	 * 	275.81	DCR|3VULN|3DUR|2DMG|3LIT	157LIT|27aVULN|3FEWX|458DUR|57BPWR|67DMG|9RCR
20	12121 42325	6	   	275.23	DCR|4VULN|2DMG|2TLV	1LIT|24TLV|3468VULN|4BPWR|5ERES|7aDMG|9RCR
21	15123 62322	3	   	274.65	DCR|5VULN|1TLV|1DMG|2LIT	17LIT|2478aVULN|3DMG|5TLV|67CGEN|7BPWR|9RCR
22	15413 62322	2	   	274.65	DCR|5VULN|1TLV|1DMG|2LIT	17LIT|2578aVULN|3TLV|4DMG|67CGEN|7BPWR|9RCR
23	15326 12322	3	   	274.55	DCR|5VULN|1TLV|1DMG|2LIT	13LIT|2348aVULN|3BPWR|5TLV|6CGEN|7DMG|9RCR
24	53213 62531	6	   	273.91	DCR|3VULN|3DUR|2DMG|1AART	17LHND|247DUR|34DMG|47BPWR|5LIT|678VULN|9AART|aRCR
25	15123 62325	3	   	273.90	DCR|4VULN|2DMG|1TLV|2LIT	17LIT|2478VULN|3aDMG|5TLV|67CGEN|7BPWR|9RCR
26	15113 62322	3	   	273.90	DCR|4VULN|2DMG|1TLV|2LIT	17LIT|278aVULN|34DMG|5TLV|67CGEN|7BPWR|9RCR
27	12121 42326	6	   	273.89	DCR|4VULN|2TLV|1DMG|1DUR	1LIT|24TLV|3468VULN|4BPWR|5ERES|7DMG|9RCR|aDUR
28	15326 12325	3	   	273.80	DCR|4VULN|2DMG|1TLV|2LIT	13LIT|2348VULN|3BPWR|5TLV|6CGEN|7aDMG|9RCR
29	15333 22322	2	   	273.80	DCR|4VULN|2DMG|1TLV|2LIT	17LIT|278aVULN|3ERES|4DMSP|5TLV|67DMG|7BPWR|9RCR
30	15223 22322	1	   	273.70	DCR|4VULN|2DMG|1TLV|2LIT	17LIT|27ERES|3TLV|458aVULN|67DMG|7BPWR|9RCR
31	15343 25322	3	   	273.70	DCR|4VULN|2DMG|1TLV|2LIT	13LIT|238aVULN|3BPWR|46DMG|5TLV|7ERES|9RCR
32	15123 62326	3	   	272.56	DCR|4VULN|1TLV|1DMG|1DUR|2LIT	17LIT|2478VULN|3DMG|5TLV|67CGEN|7BPWR|9RCR|aDUR
