0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31236 52243	2	 * 	297.76	DCR|2VULN|3DMG|3DUR|1TLV|2LIT|1ASPD	138DUR|238DMG|38BPWR|4ASPD|59VULN|68LIT|7RCR|aTLV
2	31224 52215	4	 * 	292.32	DCR|2VULN|3DUR|2DMG|2ASPD|1TLV|2LIT	158DUR|28DMG|3aVULN|45ASPD|58BPWR|68LIT|7RCR|9TLV
3	31242 14221	6	 * 	291.83	DCR|4VULN|3DUR|1DMG|2CDMG	159DUR|2DMG|3789VULN|49CDMG|6BELT|9BPWR|aRCR
4	31242 32531	7	   	291.83	DCR|4VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|3678VULN|47CDMG|7BPWR|9BELT|aRCR
5	31242 32615	10	   	291.83	DCR|4VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367aVULN|47CDMG|7BPWR|8RCR|9CGEN
6	31242 32635	10	   	291.73	DCR|4VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367aVULN|47CDMG|7BPWR|8RCR|9ERES
7	62235 32131	7	 * 	290.80	DCR|4VULN|3DMG|1DUR|1CDMG|1SELL	1SELL|27LWND|357DMG|4567VULN|57BPWR|8DUR|9RCR|aCDMG
8	31224 52226	4	   	289.72	DCR|2VULN|3DUR|2DMG|2ASPD|2LIT|1CDMG	158DUR|28DMG|3aVULN|45ASPD|58BPWR|68LIT|7RCR|9CDMG
9	31633 36333	10	 * 	287.80	DCR|3VULN|2DMG|2DUR|1TLV	19DUR|29DMG|3TLV|4RCVC|5LIT|69aVULN|7RCR|8AART|9BPWR
10	31242 32615	9	 * 	286.77	DCR|3VULN|3DUR|2DMG|2CDMG	157DUR|2aDMG|367VULN|47CDMG|7BPWR|8RCR|9CGEN
11	31242 32625	8	   	286.77	DCR|3VULN|3DUR|2DMG|2CDMG	157DUR|2aDMG|367VULN|47CDMG|7BPWR|8RCR|9CGEN
12	31242 32316	10	   	286.77	DCR|3VULN|3DUR|2DMG|2CDMG	157DUR|28DMG|367VULN|47CDMG|7BPWR|9BEXP|aRCR
13	31242 32331	8	   	286.77	DCR|3VULN|3DUR|2DMG|2CDMG	157DUR|28DMG|367VULN|47CDMG|7BPWR|9BELT|aRCR
14	31242 32336	10	   	286.77	DCR|3VULN|3DUR|2DMG|2CDMG	157DUR|28DMG|367VULN|47CDMG|7BPWR|9FEWX|aRCR
15	31242 32635	9	   	286.67	DCR|3VULN|3DUR|2DMG|2CDMG	157DUR|2aDMG|367VULN|47CDMG|7BPWR|8RCR|9ERES
16	31242 32642	10	   	285.44	DCR|3VULN|3DUR|1DMG|2CDMG|1TLV	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9LHND|aTLV
17	31136 52215	2	   	282.01	DCR|2VULN|3DUR|2DMG|1TLV|2LIT|1ASPD	138DUR|28DMG|4ASPD|5aVULN|68LIT|7RCR|8BPWR|9TLV
18	31223 52215	4	   	282.01	DCR|2VULN|3DUR|2DMG|1TLV|2LIT|1ASPD	158DUR|28DMG|3aVULN|4ASPD|68LIT|7RCR|8BPWR|9TLV
19	31113 21423	2	   	281.57	DCR|3VULN|3DUR|2DMG|2LIT	134DUR|28DMG|5BBNT|68LIT|78aVULN|8BPWR|9RCR
20	45113 21423	1	   	281.57	DCR|3VULN|3DUR|2DMG|2LIT	18DMG|234DUR|5BBNT|68LIT|78aVULN|8BPWR|9RCR
