0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33231 43622	5	 * 	280.77	DCR|2VULN|3DUR|2DMG|1TLV|2LIT|1AART	1aLIT|25aDUR|35DMG|4AART|5aBPWR|6TLV|7RPLT|8RCR|9aVULN
2	44133 24321	6	 * 	277.44	DCR|3VULN|3DMG|2DUR	1RCVC|238DMG|38BPWR|4DUST|58aVULN|68DUR|7RCR|9LIT
3	11621 33622	2	 * 	275.21	DCR|4VULN|3DUR|1CDMG|1AART	189FEWX|2AART|3CDMG|489DUR|5689VULN|7MBVNT|89BPWR|aRCR
4	35323 26342	7	 * 	271.13	DCR|3VULN|2ASPD|1DMG|1TLV|2LIT|1CDMG	1aLIT|2CDMG|3aASPD|4BELT|5TLV|6DMG|78aVULN|9RCR|aBPWR
5	15261 21261	7	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1FEWX|245VULN|3TLV|6DUR|79DMG|8RCR|aCDMG
6	15611 21261	7	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1FEWX|235VULN|4TLV|6DUR|79DMG|8RCR|aCDMG
7	44432 23231	7	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	1RCVC|27DMG|3BEXP|4RMIN|57DUR|679VULN|7BPWR|8RCR|aCDMG
8	15261 21262	7	   	266.05	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1FEWX|245VULN|3TLV|6DUR|79DMG|8RCR|aASPD
9	15611 21262	7	   	266.05	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1FEWX|235VULN|4TLV|6DUR|79DMG|8RCR|aASPD
10	31322 63636	7	 * 	265.27	DCR|3VULN|3DUR|3LIT|1TLV	179LIT|2RPLT|367DUR|457VULN|7BPWR|8RCR|aTLV
11	44432 23232	7	   	264.59	DCR|3VULN|2DMG|2DUR|1ASPD	1RCVC|27DMG|3BEXP|4RMIN|57DUR|679VULN|7BPWR|8RCR|aASPD
12	31321 65121	7	   	264.42	DCR|2VULN|3DUR|2DMG|2LIT|1AART	1aLIT|2RPLT|356DUR|4aVULN|7RCR|8AART|9aDMG|aBPWR
13	41151 24322	5	 * 	263.92	DCR|3VULN|3DUR|2ASPD|1CDMG	1RCVC|248DUR|3DUST|58ASPD|689VULN|7RCR|8BPWR|aCDMG
14	44133 24322	6	 * 	263.76	DCR|2VULN|3DMG|3DUR	1RCVC|238DMG|38BPWR|4DUST|58VULN|68aDUR|7RCR|9LIT
15	35115 12122	8	   	263.40	DCR|2VULN|2DUR|1DMG|1TLV|2LIT|1CDMG|1AART	1aLIT|2CDMG|3aDUR|4DMG|5AART|6RCR|7TLV|8MBVNT|9aVULN|aBPWR
16	33211 42121	3	   	263.10	DCR|2VULN|3DMG|1TLV|1DUR|1ASPD	1LIT|2DUR|356DMG|4TLV|7ASPD|8aVULN|9RCR
17	33235 43622	5	   	263.08	DCR|2VULN|3DUR|1DMG|1TLV|2LIT|1AART	1aLIT|25aDUR|3DMG|4AART|6TLV|7RPLT|8RCR|9aVULN|aBPWR
18	44123 14321	5	   	262.76	DCR|3VULN|3DMG|1DUR	1RCVC|238DMG|38BPWR|4DUR|58aVULN|68DUST|7RCR|9LIT
19	44123 34321	6	   	262.76	DCR|3VULN|3DMG|1DUR	1RCVC|238DMG|38BPWR|4DUR|58aVULN|68DUST|7RCR|9LIT
20	64331 26321	4	   	261.99	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD|1SELL	1MLV|2aDUR|3LIT|4ASPD|5aDMG|6SELL|7RCR|8TLV|9aVULN|aBPWR
21	11631 42522	3	   	261.66	DCR|4VULN|3DUR|1AART	189FEWX|2AART|3DMSP|4689VULN|589DUR|7RPLT|89BPWR|aRCR
22	15261 31533	10	 * 	261.44	DCR|4VULN|2DMG|1TLV	1FEWX|245aVULN|3TLV|6RCR|79DMG|8RMIN
23	15611 31533	10	   	261.44	DCR|4VULN|2DMG|1TLV	1FEWX|235aVULN|4TLV|6RCR|79DMG|8RMIN
24	25261 31533	10	   	261.44	DCR|4VULN|2DMG|1TLV	1LHND|245aVULN|3TLV|6RCR|79DMG|8RMIN
25	25611 31533	10	   	261.44	DCR|4VULN|2DMG|1TLV	1LHND|235aVULN|4TLV|6RCR|79DMG|8RMIN
26	25261 31233	10	   	261.34	DCR|4VULN|2DMG|1TLV	1LHND|245aVULN|3TLV|6RCR|79DMG|8ERES
27	25261 31235	9	   	261.34	DCR|4VULN|2DMG|1TLV	1LHND|245aVULN|3TLV|6RCR|79DMG|8ERES
28	25611 31233	10	   	261.34	DCR|4VULN|2DMG|1TLV	1LHND|235aVULN|4TLV|6RCR|79DMG|8ERES
29	25611 31235	9	   	261.34	DCR|4VULN|2DMG|1TLV	1LHND|235aVULN|4TLV|6RCR|79DMG|8ERES
30	33231 43623	5	   	260.79	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1LIT|25DUR|35DMG|4AART|5BPWR|6TLV|7RPLT|8RCR|9aVULN
31	31551 21252	9	   	260.63	DCR|2VULN|2DMG|2AART|1TLV|1DUR|2LIT	1aLIT|2RPLT|37AART|4aVULN|5DUR|6TLV|8aDMG|9RCR|aBPWR
32	15261 21315	7	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1FEWX|2458VULN|3TLV|6DUR|7DMG|9BEXP|aRCR
33	15611 21315	7	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1FEWX|2358VULN|4TLV|6DUR|7DMG|9BEXP|aRCR
34	25261 21315	7	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1LHND|2458VULN|3TLV|6DUR|7DMG|9BEXP|aRCR
35	25611 21315	7	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1LHND|2358VULN|4TLV|6DUR|7DMG|9BEXP|aRCR
36	15261 31283	10	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1FEWX|245aVULN|3TLV|6RCR|7DMG|8MBVNT|9DUR
37	15611 31283	10	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1FEWX|235aVULN|4TLV|6RCR|7DMG|8MBVNT|9DUR
38	15635 12331	3	   	259.04	DCR|4VULN|2DMG|1CDMG	18FEWX|2378VULN|4ZMB|5LHND|68DMG|8BPWR|9RCR|aCDMG
39	12621 44112	5	   	259.00	DCR|3VULN|2DUR|2ASPD|1CDMG	1FEWX|24ASPD|34DUR|4BPWR|56aVULN|7RCR|8CDMG|9LIT
40	21225 62241	7	 * 	258.88	DCR|3VULN|3DUR|1DMG|1AART	139LHND|2AART|4DMG|579VULN|689DUR|9BPWR|aRCR
41	12621 44311	5	   	258.78	DCR|3VULN|3DUR|2ASPD	189FEWX|24ASPD|348DUR|48BPWR|568VULN|7RCR|aLIT
42	44133 25344	6	   	258.38	DCR|2VULN|3DMG|2DUR|1TLV	1RCVC|238DMG|38BPWR|4DUST|58VULN|68DUR|7MBVNT|9TLV|aRCR
43	31551 22252	9	 * 	257.86	DCR|2VULN|2DMG|3LIT|1TLV|1DUR|1AART	17aLIT|2RPLT|3AART|4aVULN|5DUR|6TLV|8aDMG|9RCR|aBPWR
44	15261 33631	9	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1FEWX|2458VULN|3TLV|6RCR|7LWND|9DMG|aCDMG
45	15261 33632	10	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1FEWX|2458VULN|3TLV|6RCR|7LWND|9DMG|aCDMG
