0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24221 54233	2	 * 	305.78	DCR|3VULN|3DMG|3DUR|1CDMG	17aVULN|27aDMG|3CDMG|4DUST|57aDUR|6BBNT|7aBPWR|8RCR|9AART
2	24634 33113	2	 * 	305.53	DCR|4VULN|3DMG|2DUR|1CDMG	1678VULN|238DMG|48DUR|5RPLT|8BPWR|9CDMG|aRCR
3	24313 22131	7	   	296.53	DCR|3VULN|3DUR|2DMG|3LIT	179VULN|29DMG|357LIT|479DUR|6RCR|79BPWR|8AART|aRCVC
4	24313 22135	7	   	296.53	DCR|3VULN|3DUR|2DMG|3LIT	179VULN|29DMG|357LIT|479DUR|6RCR|79BPWR|8AART|aRMIN
5	24313 22136	7	   	296.53	DCR|3VULN|3DUR|2DMG|3LIT	179VULN|29DMG|357LIT|479DUR|6RCR|79BPWR|8AART|aDMSP
6	24313 22132	7	   	296.43	DCR|3VULN|3DUR|2DMG|3LIT	179VULN|29DMG|357LIT|479DUR|6RCR|79BPWR|8AART|aMBVNT
7	24313 22133	7	   	296.43	DCR|3VULN|3DUR|2DMG|3LIT	179VULN|29DMG|357LIT|479DUR|6RCR|79BPWR|8AART|aERES
8	24313 22653	10	   	294.75	DCR|4VULN|2DUR|3LIT|1DMG|1TLV	178aVULN|2DMG|357LIT|47DUR|6RCR|7BPWR|9TLV
9	24314 12162	5	 * 	291.16	DCR|4VULN|2DMG|2ASPD|1DUR	1679VULN|27DMG|3LIT|4DUR|57ASPD|7BPWR|8CGEN|aRCR
10	25314 22233	7	 * 	289.80	DCR|3VULN|2DMG|3ASPD|3LIT|1DUR	179VULN|2LHND|347ASPD|579LIT|6RCR|79BPWR|89DMG|aDUR
11	24313 22624	10	   	287.10	DCR|3VULN|2DMG|2DUR|3LIT|1CDMG	178VULN|2aDMG|357LIT|47DUR|6RCR|7BPWR|9CDMG
12	24334 12612	5	   	284.67	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	167VULN|27DMG|3LIT|4DUST|57ASPD|7BPWR|8RCR|9TLV|aDUR
13	24313 22652	10	   	283.11	DCR|3VULN|2DUR|3LIT|1DMG|1TLV|1ASPD	178VULN|2DMG|357LIT|47DUR|6RCR|7BPWR|9TLV|aASPD
14	24314 12522	5	 * 	283.10	DCR|3VULN|2DMG|2DUR|2ASPD	167VULN|27DMG|3LIT|48DUR|57ASPD|7BPWR|9CGEN|aRCR
15	24313 22622	10	   	282.74	DCR|3VULN|3DUR|3LIT|1DMG|1CDMG	178VULN|2DMG|357LIT|47aDUR|6RCR|7BPWR|9CDMG
16	24313 22651	10	   	281.77	DCR|3VULN|2DUR|3LIT|1DMG|1TLV	178VULN|2DMG|357LIT|47DUR|6RCR|7BPWR|9TLV|aAART
17	24313 22153	7	   	281.77	DCR|3VULN|2DUR|3LIT|1DMG|1TLV	179VULN|2DMG|357LIT|47DUR|6RCR|7BPWR|8AART|aTLV
18	24511 12512	4	   	281.11	DCR|3VULN|2DMG|1TLV|1DUR|2LIT|1ASPD	167VULN|27DMG|3FEWX|4ASPD|57LIT|7BPWR|8DUR|9TLV|aRCR
19	24512 22512	4	   	281.11	DCR|3VULN|2DMG|1TLV|1DUR|2LIT|1ASPD	157VULN|27DMG|3FEWX|4ASPD|67LIT|7BPWR|8DUR|9TLV|aRCR
20	24313 22623	9	   	280.51	DCR|3VULN|2DUR|3LIT|1DMG|1CDMG|1ASPD	178VULN|2DMG|357LIT|47DUR|6RCR|7BPWR|9CDMG|aASPD
21	24313 22113	10	   	278.50	DCR|4VULN|2DUR|3LIT|1DMG	179aVULN|2DMG|357LIT|47DUR|6RCR|7BPWR|8CGEN
22	24313 22213	10	   	278.50	DCR|4VULN|2DUR|3LIT|1DMG	179aVULN|2DMG|357LIT|47DUR|6RCR|7BPWR|8ZMB
23	24313 22612	8	   	278.50	DCR|4VULN|2DUR|3LIT|1DMG	178aVULN|2DMG|357LIT|47DUR|6RCR|7BPWR|9DMSP
24	24313 22621	8	   	278.50	DCR|4VULN|2DUR|3LIT|1DMG	178aVULN|2DMG|357LIT|47DUR|6RCR|7BPWR|9BEXP
25	24313 22641	8	   	278.50	DCR|4VULN|2DUR|3LIT|1DMG	178aVULN|2DMG|357LIT|47DUR|6RCR|7BPWR|9FEWX
26	24313 22661	8	   	278.50	DCR|4VULN|2DUR|3LIT|1DMG	178aVULN|2DMG|357LIT|47DUR|6RCR|7BPWR|9LWND
27	24323 56431	7	   	278.40	DCR|4VULN|2DUR|3LIT|1DMG	178aVULN|2DMG|358LIT|4MBVNT|68DUR|8BPWR|9RCR
28	24313 22513	10	   	278.40	DCR|4VULN|2DUR|3LIT|1DMG	179aVULN|2DMG|357LIT|47DUR|6RCR|7BPWR|8ERES
29	24313 22613	10	   	278.40	DCR|4VULN|2DUR|3LIT|1DMG	178aVULN|2DMG|357LIT|47DUR|6RCR|7BPWR|9ERES
30	24323 52441	7	   	278.40	DCR|4VULN|2DUR|3LIT|1DMG	179aVULN|2DMG|357LIT|4MBVNT|67DUR|7BPWR|8RCR
31	24323 52731	8	   	278.40	DCR|4VULN|2DUR|3LIT|1DMG	178aVULN|2DMG|357LIT|4MBVNT|67DUR|7BPWR|9RCR
32	26221 23436	3	   	278.13	DCR|4VULN|2DUR|1TLV|1CDMG	157aVULN|2CDMG|37DUR|4AART|67LWND|7BPWR|8RCR|9TLV
33	24211 14512	6	 * 	277.88	DCR|5VULN|2DUR|1DMG	1589aVULN|2DMG|348ERES|6RCR|78DUR|8BPWR
