0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11532 31235	8	 * 	305.64	DCR|3VULN|3DMG|3DUR|2TLV|1SELL	138DUR|23TLV|38BPWR|458DMG|689VULN|7SELL|aRCR
2	13642 21251	6	 * 	297.70	DCR|3VULN|3DMG|3DUR|1TLV|1NUKE	178DUR|278VULN|3FEWX|4DUST|578DMG|6NUKE|78BPWR|9TLV|aRCR
3	13642 21251	5	   	297.70	DCR|3VULN|3DMG|3DUR|1TLV|1NUKE	178DUR|278VULN|3FEWX|4DUST|578DMG|6NUKE|78BPWR|9TLV|aRCR
4	13334 21633	2	 * 	287.53	DCR|4VULN|3DMG|2DUR	17DUR|2678VULN|3TBNT|467DMG|5BBNT|67BPWR|9ASPD|aRCR
5	13634 21633	2	   	287.53	DCR|4VULN|3DMG|2DUR	17DUR|2678VULN|3BBNT|467DMG|5TBNT|67BPWR|9ASPD|aRCR
6	14621 26121	3	 * 	286.56	DCR|4VULN|3DUR|2DMG	129DUR|3LHND|4589VULN|69DMG|7AART|9BPWR|aRCR
7	11532 32233	6	 * 	285.11	DCR|3VULN|2DMG|2TLV|2DUR	13DUR|23TLV|3BPWR|45DMG|68aVULN|7ASPD|9RCR
8	14221 13461	2	 * 	283.19	DCR|4VULN|3DUR|2TLV	129DUR|3BEXP|4579VULN|6AART|89TLV|9BPWR|aRCR
9	11534 62111	8	   	282.20	DCR|3VULN|3DUR|2TLV|1DMG	136DUR|23TLV|36BPWR|4DMG|567VULN|8AART|9MLV|aRCR
10	11534 62211	7	   	282.20	DCR|3VULN|3DUR|2TLV|1DMG	136DUR|23TLV|36BPWR|4DMG|567VULN|8AART|9MLV|aRCR
11	11352 25233	7	   	282.13	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG|1SELL	16DUR|2TLV|3CDMG|4SELL|56DMG|6BPWR|78aVULN|9RCR
12	11534 62121	9	   	282.10	DCR|3VULN|3DUR|2TLV|1DMG	136DUR|23TLV|36BPWR|4DMG|567VULN|8AART|9ERES|aRCR
13	11534 62131	8	   	282.10	DCR|3VULN|3DUR|2TLV|1DMG	136DUR|23TLV|36BPWR|4DMG|567VULN|8AART|9ERES|aRCR
14	11534 62231	7	   	282.10	DCR|3VULN|3DUR|2TLV|1DMG	136DUR|23TLV|36BPWR|4DMG|567VULN|8AART|9ERES|aRCR
15	11532 31225	9	 * 	280.95	DCR|2VULN|3DMG|3DUR|2TLV|1SELL	138DUR|23TLV|38BPWR|458DMG|68VULN|7SELL|9RMIN|aRCR
16	11532 31255	8	 * 	280.95	DCR|2VULN|3DMG|3DUR|2TLV|1SELL	138DUR|23TLV|38BPWR|458DMG|68VULN|7SELL|9MLV|aRCR
17	11534 32211	7	   	280.75	DCR|3VULN|3DUR|2TLV|1DMG	138DUR|23TLV|3BPWR|4DMG|59aVULN|6ASPD|7RCR
18	11534 32511	8	   	280.75	DCR|3VULN|3DUR|2TLV|1DMG	138DUR|23TLV|3BPWR|4DMG|59aVULN|6ASPD|7RCR
19	44121 12233	3	   	280.39	DCR|4VULN|2DUR|1TLV|1DMG	1DMG|2TLV|36DUR|458aVULN|7ASPD|9RCR
20	11534 36233	4	   	280.27	DCR|4VULN|2TLV|2DUR|1DMG	13DUR|23TLV|3BPWR|4DMG|5MLV|678aVULN|9RCR
21	11534 36233	3	   	280.27	DCR|4VULN|2TLV|2DUR|1DMG	13DUR|23TLV|3BPWR|4DMG|5MLV|678aVULN|9RCR
22	11552 33233	5	   	280.27	DCR|4VULN|2TLV|2DUR|1DMG	13DUR|23TLV|3BPWR|4ZMB|5DMG|678aVULN|9RCR
23	11554 23233	5	   	280.27	DCR|4VULN|2TLV|2DUR|1DMG	13DUR|23TLV|3BPWR|4ZMB|578aVULN|6DMG|9RCR
24	42166 12123	8	   	279.76	DCR|3VULN|3DMG|3DUR|1SELL	189DMG|2BELT|3ASPD|489DUR|5SELL|6RPLT|789VULN|89BPWR|aRCR
25	14523 32262	3	   	277.12	DCR|4VULN|2DMG|2DUR|1CDMG	12DUR|3469VULN|5CDMG|7aDMG|8RCR
26	11532 36333	6	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR	13DUR|23TLV|3BPWR|45DMG|67aVULN|8RMIN|9RCR
27	11532 45233	7	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR	13DUR|23TLV|3BPWR|45DMG|6MLV|78aVULN|9RCR
28	11221 23233	2	 * 	275.85	DCR|5VULN|1TLV|1DMG|1DUR	1DUR|2TLV|3578aVULN|4ZMB|6DMG|9RCR
29	11261 26233	2	   	275.85	DCR|5VULN|1TLV|1DMG|1DUR	1DUR|2TLV|3578aVULN|4MLV|6DMG|9RCR
30	11521 23233	2	   	275.85	DCR|5VULN|1TLV|1DMG|1DUR	1DUR|2TLV|3ZMB|4578aVULN|6DMG|9RCR
