0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51522 41233	8	 * 	309.51	DCR|4VULN|3DUR|2DMG|2CDMG	147DUR|2RMIN|34DMG|47BPWR|578aVULN|67CDMG|9RCR
2	52214 33132	4	 * 	308.57	DCR|3VULN|3DMG|3DUR|3CDMG	135DUR|2MBVNT|49aCDMG|69aDMG|7RCR|89aVULN|9aBPWR
3	52215 33132	5	   	308.57	DCR|3VULN|3DMG|3DUR|3CDMG	135DUR|2MBVNT|49aCDMG|69aDMG|7RCR|89aVULN|9aBPWR
4	52222 33132	6	   	308.57	DCR|3VULN|3DMG|3DUR|3CDMG	134DUR|2MBVNT|49aBPWR|59aDMG|69aCDMG|7RCR|89aVULN
5	52222 34132	7	   	308.57	DCR|3VULN|3DMG|3DUR|3CDMG	134DUR|2MBVNT|49aBPWR|59aDMG|69aCDMG|7RCR|89aVULN
6	52225 33132	4	   	308.57	DCR|3VULN|3DMG|3DUR|3CDMG	134DUR|2MBVNT|49aBPWR|59aCDMG|69aDMG|7RCR|89aVULN
7	52264 33132	3	   	308.57	DCR|3VULN|3DMG|3DUR|3CDMG	135DUR|2MBVNT|49aCDMG|69aDMG|7RCR|89aVULN|9aBPWR
8	52287 33132	6	   	308.57	DCR|3VULN|3DMG|3DUR|3CDMG	135DUR|2MBVNT|49aDMG|69aCDMG|7RCR|89aVULN|9aBPWR
9	52287 34132	7	   	308.57	DCR|3VULN|3DMG|3DUR|3CDMG	135DUR|2MBVNT|49aDMG|69aCDMG|7RCR|89aVULN|9aBPWR
10	62461 23474	9	 * 	297.47	ACR|4VULN|3DMG|3DUR|1TLV	1RCR|2MBVNT|39aDUR|459aVULN|6TLV|7LIT|89aDMG|9aBPWR
11	41515 31332	9	   	292.25	DCR|4VULN|2DUR|2TLV|1DMG|1CDMG	17TLV|27DUR|3DMG|4CDMG|5679VULN|7BPWR|8RPLT|aRCR
12	53115 31234	8	 * 	291.30	DCR|5VULN|3DUR|2CDMG	137DUR|2LHND|47CDMG|5678aVULN|7BPWR|9RCR
13	52433 27282	2	   	289.67	DCR|4VULN|2DMG|2DUR|1CDMG	19DUR|2MBVNT|3489VULN|59DMG|6TBNT|7RCR|9BPWR|aCDMG
14	52433 27282	3	   	289.67	DCR|4VULN|2DMG|2DUR|1CDMG	19DUR|2MBVNT|3489VULN|59DMG|6TBNT|7RCR|9BPWR|aCDMG
15	52433 47282	2	   	289.67	DCR|4VULN|2DMG|2DUR|1CDMG	19DUR|2MBVNT|3489VULN|59DMG|6BBNT|7RCR|9BPWR|aCDMG
16	52433 47282	3	   	289.67	DCR|4VULN|2DMG|2DUR|1CDMG	19DUR|2MBVNT|3489VULN|59DMG|6BBNT|7RCR|9BPWR|aCDMG
17	52285 23414	10	   	289.45	DCR|4VULN|3DUR|2DMG	138DUR|2MBVNT|46DMG|568aVULN|68BPWR|78LWND|9RCR
18	52285 24414	10	   	289.45	DCR|4VULN|3DUR|2DMG	138DUR|2MBVNT|46DMG|568aVULN|68BPWR|78FEWX|9RCR
19	52433 27281	2	   	287.03	DCR|4VULN|2DMG|2DUR|1ASPD	19DUR|2MBVNT|3489VULN|59DMG|6TBNT|7RCR|9BPWR|aASPD
20	52433 27281	3	   	287.03	DCR|4VULN|2DMG|2DUR|1ASPD	19DUR|2MBVNT|3489VULN|59DMG|6TBNT|7RCR|9BPWR|aASPD
21	52433 47281	2	   	287.03	DCR|4VULN|2DMG|2DUR|1ASPD	19DUR|2MBVNT|3489VULN|59DMG|6BBNT|7RCR|9BPWR|aASPD
22	52433 47281	3	   	287.03	DCR|4VULN|2DMG|2DUR|1ASPD	19DUR|2MBVNT|3489VULN|59DMG|6BBNT|7RCR|9BPWR|aASPD
23	51522 41231	8	   	286.87	DCR|3VULN|3DUR|2DMG|2CDMG	147DUR|2RMIN|34DMG|47BPWR|578VULN|67CDMG|9RCR|aLWND
24	51522 41232	8	   	286.87	DCR|3VULN|3DUR|2DMG|2CDMG	147DUR|2aRMIN|34DMG|47BPWR|578VULN|67CDMG|9RCR
25	51522 41212	9	   	286.77	DCR|3VULN|3DUR|2DMG|2CDMG	147DUR|2RMIN|34DMG|47BPWR|578VULN|67CDMG|9DUST|aRCR
26	52214 33134	4	   	286.67	DCR|3VULN|3DUR|2DMG|2CDMG	135DUR|2MBVNT|49CDMG|69DMG|7RCR|89aVULN|9BPWR
27	52215 33134	5	   	286.67	DCR|3VULN|3DUR|2DMG|2CDMG	135DUR|2MBVNT|49CDMG|69DMG|7RCR|89aVULN|9BPWR
28	52222 33134	6	   	286.67	DCR|3VULN|3DUR|2DMG|2CDMG	134DUR|2MBVNT|49BPWR|59DMG|69CDMG|7RCR|89aVULN
29	52222 34134	7	   	286.67	DCR|3VULN|3DUR|2DMG|2CDMG	134DUR|2MBVNT|49BPWR|59DMG|69CDMG|7RCR|89aVULN
30	52225 33134	4	   	286.67	DCR|3VULN|3DUR|2DMG|2CDMG	134DUR|2MBVNT|49BPWR|59CDMG|69DMG|7RCR|89aVULN
31	52264 33134	3	   	286.67	DCR|3VULN|3DUR|2DMG|2CDMG	135DUR|2MBVNT|49CDMG|69DMG|7RCR|89aVULN|9BPWR
32	52287 33134	6	   	286.67	DCR|3VULN|3DUR|2DMG|2CDMG	135DUR|2MBVNT|49DMG|69CDMG|7RCR|89aVULN|9BPWR
33	52287 34134	7	   	286.67	DCR|3VULN|3DUR|2DMG|2CDMG	135DUR|2MBVNT|49DMG|69CDMG|7RCR|89aVULN|9BPWR
34	52215 73132	6	 * 	286.00	DCR|3VULN|3DUR|3ASPD|3CDMG	135DUR|2MBVNT|49aCDMG|69aASPD|7RCR|89aVULN|9aBPWR
35	52215 74132	7	   	286.00	DCR|3VULN|3DUR|3ASPD|3CDMG	135DUR|2MBVNT|49aCDMG|69aASPD|7RCR|89aVULN|9aBPWR
36	52311 43218	4	   	285.41	DCR|4VULN|3DUR|3LIT|1CDMG	178DUR|2MBVNT|3DMSP|4CDMG|578LIT|6789VULN|78BPWR|aRCR
37	52311 43218	5	   	285.41	DCR|4VULN|3DUR|3LIT|1CDMG	178DUR|2MBVNT|3DMSP|4CDMG|578LIT|6789VULN|78BPWR|aRCR
38	52361 43218	3	   	285.41	DCR|4VULN|3DUR|3LIT|1CDMG	178DUR|2MBVNT|3DMSP|4CDMG|578LIT|6789VULN|78BPWR|aRCR
39	52285 23413	9	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	138DUR|2MBVNT|46DMG|568VULN|68BPWR|78LWND|9RCR|aTLV
40	52285 24413	9	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	138DUR|2MBVNT|46DMG|568VULN|68BPWR|78FEWX|9RCR|aTLV
41	51522 31332	9	   	282.32	DCR|3VULN|3DMG|3DUR|1SELL	147DUR|28RMIN|347DMG|479BPWR|579VULN|6SELL|aRCR
42	51522 31336	10	   	282.32	DCR|3VULN|3DMG|3DUR|1SELL	147DUR|28RMIN|347DMG|479BPWR|579VULN|6SELL|aRCR
43	51522 31532	9	   	282.32	DCR|3VULN|3DMG|3DUR|1SELL	147DUR|2RMIN|347DMG|479BPWR|579VULN|6SELL|8DMSP|aRCR
