0	Index      	Bounty	 *	Score 	Summary	Detail	
1	54433 31112	5	 * 	307.31	DCR|4VULN|2DMG|2DUR|2AART|1CDMG	17DUR|2578VULN|34AART|67DMG|7BPWR|9RCR|aCDMG
2	34155 31123	2	 * 	298.51	DCR|5VULN|3ASPD|2DUR	12678VULN|37DUR|4AART|57aASPD|7BPWR|9RCR
3	54332 32433	10	 * 	297.44	DCR|5VULN|3DUR|3CDMG	179DUR|2679aVULN|3DUST|4LWND|579CDMG|79BPWR|8RCR
4	54433 31111	5	   	293.66	DCR|4VULN|2DMG|2DUR|2AART	17DUR|2578VULN|34AART|67DMG|7BPWR|9RCR|aZMB
5	54433 31113	5	   	293.66	DCR|4VULN|2DMG|2DUR|2AART	17DUR|2578VULN|34AART|67DMG|7BPWR|9RCR|aRMIN
6	34613 13522	7	   	293.46	DCR|4VULN|2DUR|2TLV|1DMG|2LIT	1258VULN|37TLV|48LIT|68DUR|8BPWR|9DMG|aRCR
7	34631 11262	4	   	292.37	DCR|4VULN|2DMG|2DUR|1TLV	1279VULN|3TLV|47DUR|5TBNT|67DMG|7BPWR|8FEWX|aRCR
8	35225 31112	1	   	292.29	DCR|4VULN|2ASPD|2TLV|1DMG|1CDMG	1678VULN|2DMG|3AART|47TLV|57ASPD|7BPWR|9RCR|aCDMG
9	31611 22432	10	 * 	291.98	DCR|4VULN|3DMG|2DUR	1479VULN|27CGEN|3MBVNT|5RPLT|679DMG|79BPWR|89DUR|aRCR
10	34311 24522	9	 * 	291.13	DCR|5VULN|2DMG|3CDMG	12379VULN|47ZMB|579CDMG|6RMIN|79BPWR|89DMG|aRCR
11	31265 31112	2	 * 	289.91	DCR|4VULN|2DMG|2ASPD|1CDMG	1678VULN|2CGEN|3AART|47DMG|57ASPD|7BPWR|9RCR|aCDMG
12	35215 31112	1	   	289.91	DCR|4VULN|2DMG|2ASPD|1CDMG	1678VULN|27DMG|3AART|4RMIN|57ASPD|7BPWR|9RCR|aCDMG
13	35355 31112	1	   	289.91	DCR|4VULN|2DMG|2ASPD|1CDMG	1678VULN|27DMG|3RMIN|4AART|57ASPD|7BPWR|9RCR|aCDMG
14	32265 31112	2	   	289.81	DCR|4VULN|2DMG|2ASPD|1CDMG	1678VULN|2ERES|3AART|47DMG|57ASPD|7BPWR|9RCR|aCDMG
15	35263 21132	1	   	289.80	DCR|3VULN|3DMG|2DUR|1ASPD	157VULN|247DMG|3AART|67DUR|7BPWR|8ERES|9ASPD|aRCR
16	35266 31132	1	   	289.80	DCR|3VULN|3DMG|2DUR|1ASPD	167VULN|247DMG|3AART|57DUR|7BPWR|8ERES|9ASPD|aRCR
17	42113 54331	4	   	289.64	DCR|4VULN|2DUR|1DMG|1TLV|2LIT	19LIT|2TLV|39DUR|4589VULN|6RCR|7BBNT|9BPWR|aDMG
18	34155 31121	2	   	288.99	DCR|5VULN|2DUR|2ASPD	12678VULN|37DUR|4AART|57ASPD|7BPWR|9RCR|aRMIN
19	35225 31114	1	   	286.95	DCR|4VULN|2ASPD|2TLV|1DMG	1678VULN|2DMG|3AART|47TLV|57ASPD|7BPWR|9RCR|aLIT
20	42112 65322	9	   	286.00	DCR|4VULN|2DMG|1TLV|1DUR	1LIT|2TLV|3DUR|4689VULN|57DMG|aRCR
21	32265 31116	2	 * 	285.69	DCR|4VULN|2DMG|3ASPD	1678VULN|2ERES|3AART|47DMG|57aASPD|7BPWR|9RCR
22	34323 12525	9	   	284.89	DCR|5VULN|2DMG|2CDMG	12349VULN|5FEWX|69CDMG|7DMSP|89DMG|9BPWR|aRCR
23	31265 31114	2	   	284.57	DCR|4VULN|2DMG|2ASPD	1678VULN|2CGEN|3AART|47DMG|57ASPD|7BPWR|9RCR|aLIT
24	35215 31114	1	   	284.57	DCR|4VULN|2DMG|2ASPD	1678VULN|27DMG|3AART|4RMIN|57ASPD|7BPWR|9RCR|aLIT
25	32265 31114	2	   	284.47	DCR|4VULN|2DMG|2ASPD	1678VULN|2ERES|3AART|47DMG|57ASPD|7BPWR|9RCR|aLIT
26	34314 21125	4	   	284.02	DCR|5VULN|2DUR|1TLV	12378VULN|47ZMB|5AART|67DUR|7BPWR|9RCR|aTLV
27	31131 22343	8	   	283.48	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	137VULN|2CGEN|47DUR|5RPLT|67DMG|7BPWR|8CDMG|9TLV|aRCR
28	51111 22343	8	   	283.48	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	17DUR|2CGEN|347VULN|5RPLT|67DMG|7BPWR|8CDMG|9TLV|aRCR
29	63422 12621	6	   	283.46	DCR|4VULN|2TLV|1DUR|2LIT|1CDMG|1ASPD	18TLV|2CDMG|3478VULN|58LIT|6RCR|8BPWR|9ASPD|aDUR
30	34612 22623	4	   	282.99	DCR|4VULN|2DUR|1DMG|1TLV	1268VULN|3TLV|4LIT|5aDUR|7RCR|9DMG
31	34613 12623	6	   	282.99	DCR|4VULN|2DUR|1DMG|1TLV	1258VULN|3TLV|4LIT|6aDUR|7RCR|9DMG
32	42113 22623	4	   	282.99	DCR|4VULN|2DUR|1DMG|1TLV	1LIT|2TLV|3aDUR|4568VULN|7RCR|9DMG
33	21643 27341	8	 * 	282.32	DCR|3VULN|3DMG|3DUR|1SELL	1BELT|2MBVNT|38aDMG|4SELL|58aVULN|6DMSP|78aDUR|8aBPWR|9RCR
34	21643 27341	9	 * 	282.32	DCR|3VULN|3DMG|3DUR|1SELL	1BELT|2MBVNT|38aDMG|4SELL|58aVULN|6DMSP|78aDUR|8aBPWR|9RCR
35	21643 88341	8	 * 	282.32	DCR|3VULN|3DMG|3DUR|1SELL	1BELT|2MBVNT|38aDMG|4SELL|58aVULN|68aDUR|7RCVC|8aBPWR|9RCR
36	21643 88341	9	 * 	282.32	DCR|3VULN|3DMG|3DUR|1SELL	1BELT|2MBVNT|38aDMG|4SELL|58aVULN|68aDUR|7RCVC|8aBPWR|9RCR
37	34323 14326	5	   	280.98	DCR|5VULN|2DMG|1DUR	12349VULN|5FEWX|6aDMG|7DUR|8RCR
38	42113 54332	4	   	280.58	DCR|4VULN|2DUR|1TLV|2LIT|1ASPD	19LIT|2TLV|39DUR|4589VULN|6RCR|7BBNT|9BPWR|aASPD
39	34312 54323	7	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	1239aVULN|4ZMB|5DMG|6TLV|7RCR|8DUR
40	34323 14322	5	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	12349VULN|5FEWX|6DMG|7DUR|8RCR|aTLV
41	34323 53326	7	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	12349VULN|5FEWX|6TLV|7RCR|8DUR|aDMG
42	34324 34322	4	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	12349VULN|5DMG|6FEWX|7DUR|8RCR|aTLV
43	34324 34322	3	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	12349VULN|5DMG|6FEWX|7DUR|8RCR|aTLV
44	34324 13211	10	   	279.60	DCR|5VULN|2ASPD|1TLV|2LIT	12349VULN|59ASPD|6TLV|7CGEN|89LIT|9BPWR|aRCR
45	34324 16211	10	   	279.50	DCR|5VULN|2ASPD|1TLV|2LIT	12349VULN|59ASPD|6TLV|7ERES|89LIT|9BPWR|aRCR
46	34612 22622	4	   	279.41	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1268VULN|3TLV|4LIT|5DUR|7RCR|9DMG|aASPD
