0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41261 13412	2	 * 	284.14	DCR|3VULN|3DUR|2DMG|2AART	16AART|279VULN|3TBNT|47DMG|57aDUR|7BPWR|8RCR
2	41363 11215	8	 * 	282.16	DCR|5VULN|2DMG|2AART	15AART|23467VULN|8RCR|9aDMG
3	41363 11211	8	   	280.82	DCR|5VULN|1DMG|2AART|1DUR	15AART|23467VULN|8RCR|9DMG|aDUR
4	41261 13411	2	 * 	277.06	DCR|3VULN|2DMG|2DUR|3AART	16aAART|279VULN|3TBNT|47DMG|57DUR|7BPWR|8RCR
5	41363 11251	9	   	277.01	DCR|5VULN|2AART|1TLV|1DUR	15AART|23467VULN|8RCR|9TLV|aDUR
6	41363 11253	10	   	277.01	DCR|5VULN|2AART|1TLV|1DUR	15AART|23467VULN|8RCR|9TLV|aDUR
7	41363 11235	9	   	275.58	DCR|5VULN|1DMG|2AART|1ASPD	15AART|23467VULN|8RCR|9ASPD|aDMG
8	33341 21522	1	   	275.02	DCR|3VULN|3DUR|2DMG	156DUR|2aERES|3LIT|45aVULN|5aBPWR|7RPLT|8aDMG|9RCR
9	36341 21522	2	   	275.02	DCR|3VULN|3DUR|2DMG	156DUR|2aERES|3LIT|45aVULN|5aBPWR|7RPLT|8aDMG|9RCR
10	41362 11215	8	   	274.39	DCR|5VULN|2DMG|1AART	1AART|23467VULN|5DMSP|8RCR|9aDMG
11	41161 11215	8	   	274.39	DCR|5VULN|2DMG|1AART	1AART|24567VULN|3DMSP|8RCR|9aDMG
12	31543 13316	8	   	273.68	DCR|3VULN|3DUR|1DMG|1TLV	156DUR|2LIT|3ZMB|45aVULN|5BPWR|7DMG|8RCR|9TLV
13	41362 11211	8	   	273.05	DCR|5VULN|1DMG|1DUR|1AART	1AART|23467VULN|5DMSP|8RCR|9DMG|aDUR
14	41161 11211	8	   	273.05	DCR|5VULN|1DMG|1DUR|1AART	1AART|24567VULN|3DMSP|8RCR|9DMG|aDUR
15	41363 11231	9	   	271.76	DCR|5VULN|2AART|1DUR|1ASPD	15AART|23467VULN|8RCR|9ASPD|aDUR
16	41363 11233	10	   	271.76	DCR|5VULN|2AART|1DUR|1ASPD	15AART|23467VULN|8RCR|9ASPD|aDUR
17	41363 13151	10	   	271.76	DCR|5VULN|2AART|1DUR|1ASPD	15AART|2346aVULN|7DUR|8ASPD|9RCR
18	41223 22323	7	   	271.55	DCR|3VULN|2DMG|2DUR|1AART	1AART|29aVULN|3RPLT|49DUR|5CGEN|6RCR|7LIT|89DMG|9BPWR
19	41225 22323	7	   	271.45	DCR|3VULN|2DMG|2DUR|1AART	1AART|29aVULN|3RPLT|49DUR|5ERES|6RCR|7LIT|89DMG|9BPWR
20	31543 13326	8	   	271.08	DCR|3VULN|3DUR|1DMG|1CDMG	156DUR|2LIT|3ZMB|45aVULN|5BPWR|7DMG|8RCR|9CDMG
21	41322 31415	3	   	271.00	DCR|4VULN|2DMG|1DUR|1AART	1AART|2349VULN|5aDMG|6DUR|7TBNT|8RCR
22	41261 13413	2	   	270.82	DCR|3VULN|2DMG|2DUR|2AART	16AART|279VULN|3TBNT|47DMG|57DUR|7BPWR|8RCR|aDUST
23	41261 13422	2	   	270.82	DCR|3VULN|2DMG|2DUR|2AART	16AART|27aVULN|3TBNT|47DMG|57DUR|7BPWR|8RCR|9ERES
24	41322 31416	3	   	269.66	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1AART|2349VULN|5DMG|6DUR|7TBNT|8RCR|aTLV
25	32251 21653	5	 * 	269.47	ACR|4VULN|3DUR|3LIT|1TLV|1CDMG	178DUR|2CDMG|378LIT|4RMIN|5RCR|6789VULN|78BPWR|aTLV
