0	Index      	Bounty	 *	Score 	Summary	Detail	
1	46234 12332	6	 * 	284.48	DCR|3VULN|3DMG|2DUR|1TLV	19BEXP|239DMG|46DUR|5TLV|79aVULN|8RCR|9BPWR
2	22232 22331	4	 * 	281.32	DCR|2VULN|3DMG|3DUR|1TLV	139DMG|249DUR|5TLV|6BEXP|79VULN|8RCR|9BPWR|aLIT
3	22252 22331	3	   	281.32	DCR|2VULN|3DMG|3DUR|1TLV	139DMG|249DUR|5TLV|6BEXP|79VULN|8RCR|9BPWR|aLIT
4	15143 14312	6	 * 	280.99	DCR|4VULN|3DUR|3ASPD|1AART	18aASPD|2LIT|3BELT|489aVULN|58aDUR|6AART|7RCR|8aBPWR
5	12242 52312	5	 * 	280.79	DCR|4VULN|3DMG|2ASPD|1DUR	19ASPD|2DUR|349DMG|579aVULN|6TBNT|8RCR|9BPWR
6	12262 52312	5	 * 	279.72	DCR|4VULN|2DMG|2DUR|2ASPD	19ASPD|24DUR|39DMG|579aVULN|6TBNT|8RCR|9BPWR
7	25143 14311	6	   	276.24	DCR|3VULN|3DMG|2DUR|1AART	18aDMG|2LIT|3BELT|489VULN|58DUR|6AART|7RCR|8BPWR
8	12242 13312	6	   	274.32	DCR|3VULN|3DMG|2DUR|2ASPD	19ASPD|26DUR|349DMG|59aVULN|7TBNT|8RCR|9BPWR
9	12242 52316	5	   	273.39	DCR|3VULN|3DMG|2ASPD|1DUR|1CDMG	19ASPD|2DUR|349DMG|579VULN|6TBNT|8RCR|9BPWR|aCDMG
10	22232 22332	4	   	273.01	DCR|2VULN|3DMG|3DUR|1TLV	139DMG|249DUR|5TLV|6BEXP|79VULN|8RCR|9BPWR|aRMIN
11	22232 22333	4	   	273.01	DCR|2VULN|3DMG|3DUR|1TLV	139DMG|249DUR|5TLV|6BEXP|79VULN|8RCR|9BPWR|aCGEN
12	22232 22335	4	   	273.01	DCR|2VULN|3DMG|3DUR|1TLV	139DMG|249DUR|5TLV|6BEXP|79VULN|8RCR|9BPWR|aMLV
13	22252 22332	3	   	273.01	DCR|2VULN|3DMG|3DUR|1TLV	139DMG|249DUR|5TLV|6BEXP|79VULN|8RCR|9BPWR|aRMIN
