0	Index      	Bounty	 *	Score 	Summary	Detail	
1	64411 31442	10	 * 	311.32	DCR|5VULN|3DMG|2DUR	1349aVULN|235DMG|3aBPWR|6aDUR|7MBVNT|8RCR
2	64411 31412	10	 * 	305.00	DCR|4VULN|3DMG|3DUR	134aVULN|235DMG|3aBPWR|69aDUR|7MBVNT|8RCR
3	64411 31441	10	   	296.63	DCR|5VULN|3DMG|1DUR	1349aVULN|235DMG|3BPWR|6DUR|7MBVNT|8RCR
4	64411 21133	10	   	291.98	DCR|4VULN|3DMG|2DUR	1349VULN|235DMG|39BPWR|6RCVC|79CGEN|89DUR|aRCR
5	64411 32133	10	   	291.98	DCR|4VULN|3DMG|2DUR	1349VULN|235DMG|39BPWR|69DUR|789CGEN|aRCR
6	64411 32233	10	   	291.98	DCR|4VULN|3DMG|2DUR	1349VULN|235DMG|39BPWR|69DUR|79CGEN|8DMSP|aRCR
7	64411 31421	9	   	291.78	DCR|4VULN|3DMG|2DUR	134aVULN|235DMG|3aBPWR|6aDUR|7MBVNT|8RCR|9RPLT
8	64411 31411	10	   	291.68	DCR|4VULN|3DMG|2DUR	134aVULN|235DMG|3BPWR|69DUR|7MBVNT|8RCR
9	64411 31443	10	   	291.68	DCR|4VULN|3DMG|2DUR	1349VULN|235DMG|3BPWR|6aDUR|7MBVNT|8RCR
10	61323 63432	10	 * 	290.95	DCR|3VULN|2DMG|2DUR|2ASPD|1TLV	159VULN|2TLV|39DUR|4DUST|68ASPD|79DMG|9BPWR|aRCR
11	12225 22311	4	   	282.29	DCR|3VULN|2DMG|2AART|1DUR|2LIT|1ASPD	19LIT|2ASPD|39DMG|479VULN|58AART|6RCR|9BPWR|aDUR
12	12434 22311	5	   	282.29	DCR|3VULN|2DMG|2AART|1DUR|2LIT|1ASPD	19LIT|2ASPD|38AART|49DMG|579VULN|6RCR|9BPWR|aDUR
13	64411 31413	10	   	282.26	DCR|3VULN|3DMG|3DUR	134VULN|235DMG|3BPWR|69aDUR|7MBVNT|8RCR
