0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31622 13512	1	 * 	271.11	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1LHND|2468VULN|3DMG|5DUR|7ASPD|9RCR|aTLV
2	31622 13516	1	 * 	269.44	DCR|4VULN|2DUR|1DMG|1ASPD	1LHND|2468VULN|3DMG|5aDUR|7ASPD|9RCR
3	16142 13133	3	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1MLV|269VULN|3TLV|4DMG|5aDUR|7ASPD|8RCR
4	16142 13513	3	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1MLV|268VULN|3TLV|4DMG|5aDUR|7ASPD|9RCR
5	16153 13133	4	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1MLV|269VULN|3TLV|4aDUR|5DMG|7ASPD|8RCR
6	16153 13513	4	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1MLV|268VULN|3TLV|4aDUR|5DMG|7ASPD|9RCR
7	25123 13133	3	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1CGEN|2aDUR|3TLV|469VULN|5DMG|7ASPD|8RCR
8	25141 13133	3	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1CGEN|2aDUR|3TLV|4DMG|569VULN|7ASPD|8RCR
9	26142 13133	3	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1CGEN|269VULN|3TLV|4DMG|5aDUR|7ASPD|8RCR
10	31622 13162	1	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1LHND|246VULN|3DMG|59DUR|7ASPD|8RCR|aTLV
11	16136 62333	7	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1MLV|269VULN|3TLV|4ASPD|5DMG|7RCR|8aDUR
12	26136 62333	7	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1CGEN|269VULN|3TLV|4ASPD|5DMG|7RCR|8aDUR
13	31622 13126	1	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1LHND|246VULN|3DMG|5aDUR|7ASPD|8RCR|9TLV
14	15121 32543	3	   	263.03	DCR|4VULN|2DUR|1CDMG|1ASPD	1MLV|2aDUR|3458VULN|6ASPD|7RCR|9CDMG
15	31622 13123	1	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1LHND|246VULN|3DMG|5DUR|7ASPD|8RCR|9TLV|aCDMG
16	31623 62522	1	 * 	261.44	DCR|4VULN|2DMG|1TLV	18LHND|2468VULN|38DMG|5TBNT|7RCR|8BPWR|9BBNT|aTLV
17	25332 51623	3	 * 	260.89	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1CGEN|2aDUR|3LHND|4LIT|5aDMG|6AART|7RCR|8TLV|9aVULN|aBPWR
18	16134 11235	10	 * 	260.31	DCR|3VULN|2DMG|2ASPD|1TLV	169MLV|289VULN|3TLV|46ASPD|5RCVC|69BPWR|79DMG|aRCR
19	31622 13166	1	 * 	260.03	DCR|3VULN|3DUR|1DMG|1ASPD	1LHND|246VULN|3DMG|59aDUR|7ASPD|8RCR
20	11334 13321	1	 * 	258.63	DCR|2VULN|3DUR|3LIT|1DMG|1TLV	159MLV|2aVULN|39aLIT|4DMG|6TLV|7RCR|89aDUR|9aBPWR
21	11336 13321	1	   	258.63	DCR|2VULN|3DUR|3LIT|1DMG|1TLV	169MLV|2aVULN|39aLIT|4DMG|5TLV|7RCR|89aDUR|9aBPWR
22	16334 13321	2	   	258.63	DCR|2VULN|3DUR|3LIT|1DMG|1TLV	159MLV|2aVULN|39aLIT|4DMG|6TLV|7RCR|89aDUR|9aBPWR
23	16336 13321	2	   	258.63	DCR|2VULN|3DUR|3LIT|1DMG|1TLV	169MLV|2aVULN|39aLIT|4DMG|5TLV|7RCR|89aDUR|9aBPWR
24	16216 13321	3	 * 	257.74	DCR|2VULN|3DUR|3ASPD|1TLV	169MLV|2aVULN|39aASPD|4LIT|5TLV|7RCR|89aDUR|9aBPWR
25	16214 13321	3	   	257.74	DCR|2VULN|3DUR|3ASPD|1TLV	159MLV|2aVULN|39aASPD|4LIT|6TLV|7RCR|89aDUR|9aBPWR
26	11314 13321	1	 * 	257.53	DCR|3VULN|3DUR|2TLV|1NUKE	159MLV|29aVULN|3LIT|4NUKE|6aTLV|7RCR|89aDUR|9aBPWR
27	11316 13321	1	   	257.53	DCR|3VULN|3DUR|2TLV|1NUKE	169MLV|29aVULN|3LIT|4NUKE|5aTLV|7RCR|89aDUR|9aBPWR
28	16314 13321	2	   	257.53	DCR|3VULN|3DUR|2TLV|1NUKE	159MLV|29aVULN|3LIT|4NUKE|6aTLV|7RCR|89aDUR|9aBPWR
29	16316 13321	2	   	257.53	DCR|3VULN|3DUR|2TLV|1NUKE	169MLV|29aVULN|3LIT|4NUKE|5aTLV|7RCR|89aDUR|9aBPWR
30	31622 13122	1	   	256.77	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LHND|246VULN|3DMG|5DUR|7ASPD|8RCR|9TLV|aLIT
31	16116 22421	3	 * 	256.11	DCR|2VULN|3DMG|3TLV|1DUR	19aMLV|2aVULN|359TLV|4LIT|6DUR|7RCR|89aDMG|9aBPWR
32	16114 22421	3	   	256.11	DCR|2VULN|3DMG|3TLV|1DUR	159MLV|2aVULN|39aTLV|4LIT|6DUR|7RCR|89aDMG|9aBPWR
33	16151 62233	9	 * 	255.96	DCR|3VULN|2DUR|2TLV|1DMG	17MLV|289VULN|37TLV|47DUR|5RCVC|6RCR|7BPWR|aDMG
34	11562 13321	6	   	255.22	DCR|3VULN|3DUR|2LIT|1ASPD	129MLV|3aLIT|49aVULN|5CGEN|6ASPD|7RCR|89aDUR|9aBPWR
35	11562 33321	5	   	255.22	DCR|3VULN|3DUR|2LIT|1ASPD	129MLV|3aLIT|49aVULN|5CGEN|6ASPD|7RCR|89aDUR|9aBPWR
36	11563 13321	6	   	255.12	DCR|3VULN|3DUR|2LIT|1ASPD	129MLV|3aLIT|49aVULN|5ERES|6ASPD|7RCR|89aDUR|9aBPWR
37	11563 33321	5	   	255.12	DCR|3VULN|3DUR|2LIT|1ASPD	129MLV|3aLIT|49aVULN|5ERES|6ASPD|7RCR|89aDUR|9aBPWR
38	16113 25341	4	   	255.05	DCR|3VULN|2DMG|1TLV|1DUR	1MLV|269VULN|3TLV|4BELT|58DMG|7RCR|aDUR
39	26113 35341	4	   	255.05	DCR|3VULN|2DMG|1TLV|1DUR	1CGEN|269VULN|3TLV|4BELT|58DMG|7RCR|aDUR
40	35321 13164	1	   	254.96	DCR|4VULN|1DMG|1DUR|1ASPD	15LHND|2FEWX|3DMG|456aVULN|5BPWR|7ASPD|8RCR|9DUR
41	35321 13512	1	   	254.96	DCR|4VULN|1DMG|1TLV|1ASPD	15LHND|2FEWX|3DMG|4568VULN|5BPWR|7ASPD|9RCR|aTLV
42	35321 13516	1	   	254.96	DCR|4VULN|1DMG|1DUR|1ASPD	15LHND|2FEWX|3DMG|4568VULN|5BPWR|7ASPD|9RCR|aDUR
43	31621 23164	1	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	1LHND|245aVULN|3DMG|6FEWX|7ASPD|8RCR|9DUR
44	31621 23512	1	   	254.86	DCR|4VULN|1DMG|1TLV|1ASPD	1LHND|2458VULN|3DMG|6FEWX|7ASPD|9RCR|aTLV
45	31621 23516	1	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	1LHND|2458VULN|3DMG|6FEWX|7ASPD|9RCR|aDUR
46	31622 13134	1	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	1LHND|246aVULN|3DMG|5DUR|7ASPD|8RCR|9FEWX
47	31622 13511	1	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	1LHND|2468VULN|3DMG|5DUR|7ASPD|9RCR|aBEXP
48	31622 13513	1	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	1LHND|2468VULN|3DMG|5DUR|7ASPD|9RCR|aCGEN
49	31622 13515	1	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	1aLHND|2468VULN|3DMG|5DUR|7ASPD|9RCR
50	31624 13513	1	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	1LHND|2468VULN|3DMG|5BEXP|7ASPD|9RCR|aDUR
51	34321 13164	1	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	15LHND|2DUST|3DMG|456aVULN|5BPWR|7ASPD|8RCR|9DUR
52	35243 13512	1	   	254.86	DCR|4VULN|1DMG|1TLV|1ASPD	1LHND|2FEWX|3468VULN|5DMG|7ASPD|9RCR|aTLV
53	15114 62232	9	   	254.82	DCR|4VULN|2DUR|1TLV	17MLV|25DUR|3789VULN|47CGEN|6RCR|7BPWR|aTLV
54	15213 62232	9	   	254.82	DCR|4VULN|2DUR|1TLV	17MLV|23DUR|4789VULN|57CGEN|6RCR|7BPWR|aTLV
55	31351 45544	1	   	254.76	DCR|4VULN|1DMG|1TLV|1ASPD	1LHND|278aVULN|3ASPD|4DMG|5MBVNT|6TLV|9RCR
