0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25252 36131	5	 * 	292.22	DCR|3VULN|3DMG|3DUR|1AART	137DUR|2RCVC|479VULN|579DMG|6AART|79BPWR|8RMIN|aRCR
2	21521 68434	8	   	290.87	DCR|3VULN|3DMG|3DUR	19aDUR|2RPLT|39aDMG|4MBVNT|5FEWX|6LIT|79aVULN|8RCR|9aBPWR
3	22222 34611	6	 * 	287.04	DCR|4VULN|2DUR|1DMG|2LIT|1CDMG|1NUKE	17DUR|2CDMG|37LIT|4567VULN|7BPWR|8NUKE|9DMG|aRCR
4	22222 34632	6	   	287.04	DCR|4VULN|2DUR|1DMG|2LIT|1CDMG|1NUKE	17DUR|2CDMG|37LIT|4567VULN|7BPWR|8NUKE|9RCR|aDMG
5	22222 44611	5	   	287.04	DCR|4VULN|2DUR|1DMG|2LIT|1CDMG|1NUKE	17DUR|2CDMG|37LIT|4567VULN|7BPWR|8NUKE|9DMG|aRCR
6	22222 44632	5	   	287.04	DCR|4VULN|2DUR|1DMG|2LIT|1CDMG|1NUKE	17DUR|2CDMG|37LIT|4567VULN|7BPWR|8NUKE|9RCR|aDMG
7	22222 14434	6	 * 	285.76	DCR|3VULN|2DUR|3LIT|1DMG|1TLV|1CDMG	17DUR|2CDMG|367LIT|457VULN|7BPWR|8RCR|9TLV|aDMG
8	22133 62532	8	 * 	284.74	DCR|3VULN|3DUR|2CDMG|2LIT|1ASPD|1AART	148DUR|26CDMG|368VULN|5AART|68BPWR|78LIT|9ASPD|aRCR
9	22222 34634	6	   	283.23	DCR|4VULN|2DUR|1TLV|2LIT|1CDMG|1NUKE	17DUR|2CDMG|37LIT|4567VULN|7BPWR|8NUKE|9RCR|aTLV
10	25243 14312	4	   	282.96	DCR|3VULN|3DUR|2DMG|1TLV	137DUR|2RCVC|4TLV|579VULN|67DMG|7BPWR|8TBNT|aRCR
11	21241 61123	5	 * 	279.27	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG|1AART	18DUR|2RPLT|3CDMG|489VULN|5AART|68TLV|7RCR|8BPWR|aDMG
12	22441 61123	5	   	279.27	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG|1AART	18DUR|2CDMG|3RPLT|489VULN|5AART|68TLV|7RCR|8BPWR|aDMG
13	24341 16323	10	 * 	278.97	DCR|4VULN|3ASPD|2DUR|1AART	1aDUR|2BEXP|38aASPD|479aVULN|5AART|6RCR|aBPWR
14	22222 34122	6	   	277.98	DCR|4VULN|2DUR|2LIT|1CDMG|1ASPD	17DUR|2CDMG|37LIT|4567VULN|7BPWR|8DLOT|9ASPD|aRCR
