0	Index      	Bounty	 *	Score 	Summary	Detail	
1	34212 36321	3	 * 	276.80	DCR|4VULN|3DUR|2DMG	1FEWX|2459VULN|348DUR|4BPWR|6aDMG|7RCR
2	12535 51213	6	 * 	274.65	DCR|5VULN|1TLV|1DMG|2LIT	18LHND|2TLV|34689VULN|58LIT|7RCR|8BPWR|aDMG
3	12535 51213	5	   	274.65	DCR|5VULN|1TLV|1DMG|2LIT	18LHND|2TLV|34689VULN|58LIT|7RCR|8BPWR|aDMG
4	34212 36325	3	   	272.86	DCR|4VULN|3DUR|1DMG|1CDMG	1FEWX|2459VULN|348DUR|4BPWR|6DMG|7RCR|aCDMG
5	12535 31225	5	 * 	272.29	DCR|4VULN|2DUR|1TLV|3LIT	18aLHND|2TLV|348aVULN|568LIT|7RCR|8aBPWR|9aDUR
6	31142 31366	1	 * 	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1FEWX|25aVULN|3TLV|4MLV|6aDMG|7DUST|8aDUR|9RCR|aBPWR
7	34113 31366	4	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1FEWX|23aVULN|4TLV|5MLV|6aDMG|7DUST|8aDUR|9RCR|aBPWR
8	15231 33456	4	 * 	267.96	DCR|2VULN|3DMG|2TLV|2DUR	17aLHND|27DUR|3aTLV|4aVULN|5MBVNT|678DMG|7aBPWR|9RCR
9	34211 66321	3	   	267.52	DCR|4VULN|3DUR|1DMG	1FEWX|2469VULN|348DUR|4BPWR|5ASPD|7RCR|aDMG
10	34221 32344	9	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1FEWX|2578VULN|3DUR|4LIT|6DMG|9RCR|aTLV
11	34223 32344	9	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1FEWX|2678VULN|3DUR|4LIT|5DMG|9RCR|aTLV
12	34212 36222	3	   	264.48	DCR|3VULN|2DMG|2DUR|1CDMG	1FEWX|245VULN|34DUR|4BPWR|69DMG|7RCR|8CDMG|aLIT
13	16353 31231	3	 * 	260.98	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	17LHND|25ASPD|3BELT|457VULN|57BPWR|67TLV|8DUR|9RCR|aDMG
14	16353 31231	4	   	260.98	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	17LHND|25ASPD|3BELT|457VULN|57BPWR|67TLV|8DUR|9RCR|aDMG
15	56353 31231	4	   	260.98	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	17LWND|25ASPD|3BELT|457VULN|57BPWR|67TLV|8DUR|9RCR|aDMG
16	56353 31231	3	   	260.98	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	17LWND|25ASPD|3BELT|457VULN|57BPWR|67TLV|8DUR|9RCR|aDMG
17	34213 35233	3	   	260.70	DCR|3VULN|2DUR|1TLV|1DMG|1AART	1FEWX|248VULN|34DUR|4BPWR|5DUST|6DMG|7RCR|9AART|aTLV
18	15214 12151	3	 * 	260.69	DCR|3VULN|3DUR|2TLV	1LHND|24aDUR|34TLV|4BPWR|578VULN|6ASPD|9RCR
19	15235 12151	4	   	260.33	DCR|4VULN|2DUR|1TLV	1LHND|2aDUR|3TLV|4578VULN|6ASPD|9RCR
20	61232 23653	1	 * 	260.10	DCR|4VULN|2TLV|2DUR	1RCVC|2TBNT|349aVULN|5aDUR|6aTLV|7BBNT|8RCR|aBPWR
21	62232 23653	1	   	260.10	DCR|4VULN|2TLV|2DUR	1RCVC|2BBNT|349aVULN|5aDUR|6aTLV|7TBNT|8RCR|aBPWR
22	15232 11442	6	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1LHND|2DUR|3TLV|47aVULN|5AART|6CDMG|8DMG|9RCR
23	34212 36121	3	   	259.63	DCR|4VULN|2DUR|1DMG|1CDMG	1FEWX|2459VULN|34DUR|4BPWR|6DMG|7RCR|8BELT|aCDMG
24	34222 32344	9	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1FEWX|278VULN|35DUR|4LIT|6DMG|9RCR|aTLV
25	14212 35353	3	   	259.31	DCR|4VULN|3DUR|1DMG	17LHND|2457VULN|347DUR|47BPWR|6BBNT|8RPLT|9DMG|aRCR
26	15112 35353	3	   	259.31	DCR|4VULN|3DUR|1DMG	17LHND|247DUR|3457VULN|47BPWR|6BBNT|8RPLT|9DMG|aRCR
27	32122 35236	3	 * 	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1FEWX|2aTLV|3CGEN|4DUST|58aVULN|6DMG|7RCR|9aDUR|aBPWR
28	32622 35236	2	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1FEWX|2aTLV|3CGEN|4DUST|58aVULN|6DMG|7RCR|9aDUR|aBPWR
29	34212 36322	3	   	259.21	DCR|4VULN|3DUR|1DMG	1FEWX|2459VULN|348DUR|4BPWR|6DMG|7RCR|aRMIN
30	34212 36323	3	   	259.21	DCR|4VULN|3DUR|1DMG	1FEWX|2459VULN|348DUR|4BPWR|6DMG|7RCR|aLWND
31	34212 36324	3	   	259.21	DCR|4VULN|3DUR|1DMG	1FEWX|2459VULN|348DUR|4BPWR|6DMG|7RCR|aLHND
32	34212 36326	3	   	259.21	DCR|4VULN|3DUR|1DMG	1FEWX|2459VULN|348DUR|4BPWR|6DMG|7RCR|aBELT
33	34212 32348	3	   	259.11	DCR|4VULN|3DUR|1DMG	1FEWX|245aVULN|348DUR|4BPWR|6DMG|7MBVNT|9RCR
34	66134 27114	8	 * 	258.37	DCR|3VULN|3DMG|2DUR	1RCVC|258DMG|3MBVNT|458ZMB|58aBPWR|68aVULN|7RCR|9aDUR
35	14136 11261	7	 * 	258.01	DCR|4VULN|3DMG|1AART|1SELL	19LHND|2369VULN|469DMG|5SELL|69BPWR|7BELT|8AART|aRCR
36	14136 13261	7	 * 	258.01	DCR|4VULN|3DMG|1AART|1SELL	19LHND|2369VULN|469DMG|5SELL|69BPWR|7AART|8BELT|aRCR
37	34221 32343	10	   	257.95	DCR|5VULN|1DMG|1DUR	1FEWX|2578aVULN|3DUR|4LIT|6DMG|9RCR
38	34221 32346	9	   	257.95	DCR|5VULN|1DMG|1DUR	1FEWX|2578aVULN|3DUR|4LIT|6DMG|9RCR
39	34223 32343	10	   	257.95	DCR|5VULN|1DMG|1DUR	1FEWX|2678aVULN|3DUR|4LIT|5DMG|9RCR
40	34223 32346	9	   	257.95	DCR|5VULN|1DMG|1DUR	1FEWX|2678aVULN|3DUR|4LIT|5DMG|9RCR
41	13112 36542	3	 * 	257.94	DCR|4VULN|2TLV|1DMG	1aLHND|24FEWX|345aVULN|4aBPWR|6DMG|7RCR|8LIT|9aTLV
42	31112 36542	3	   	257.74	DCR|4VULN|2TLV|1DMG	1aFEWX|24DUST|345aVULN|4aBPWR|6DMG|7RCR|8LIT|9aTLV
43	11162 12451	1	   	257.70	DCR|4VULN|1TLV|1DMG|1DUR	18LHND|2578VULN|3TLV|4DMG|68FEWX|8BPWR|9RCR|aDUR
