0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62212 31156	6	 * 	277.07	DCR|3VULN|2DUR|2ASPD|1DMG|2CDMG	19ASPD|2ERES|39CDMG|4aDUR|5DMG|689VULN|7RCR|9BPWR
2	64121 24131	7	 * 	274.79	DCR|4VULN|3ASPD|2TLV|1DUR	147ASPD|2DMSP|3457VULN|47BPWR|67TLV|8RPLT|9DUR|aRCR
3	63131 34353	2	 * 	273.86	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	17ASPD|2LWND|3BELT|47aVULN|57DMG|6RCR|7BPWR|8CDMG|9DUR
4	65131 34321	2	   	273.86	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	17ASPD|2DUR|3BELT|47aVULN|57DMG|6RCR|7BPWR|8CDMG|9RPLT
5	61212 31154	6	   	272.25	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR|1AART	19ASPD|2MLV|39CDMG|4DUR|5DMG|689VULN|7RCR|9BPWR|aAART
6	21343 35153	1	 * 	272.19	DCR|4VULN|2DUR|1DMG|1CDMG	19LHND|2489VULN|34ERES|49BPWR|5CDMG|6RCR|79DUR|aDMG
7	31343 35153	1	   	272.19	DCR|4VULN|2DUR|1DMG|1CDMG	19BEXP|2489VULN|34ERES|49BPWR|5CDMG|6RCR|79DUR|aDMG
8	62212 31154	6	   	272.15	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR|1AART	19ASPD|2ERES|39CDMG|4DUR|5DMG|689VULN|7RCR|9BPWR|aAART
9	65131 34313	2	 * 	270.91	DCR|2VULN|3DMG|2ASPD|1DUR|1CDMG	17ASPD|2DUR|3BELT|47VULN|579DMG|6RCR|7BPWR|8CDMG|aLIT
10	61212 31152	6	   	270.89	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	19ASPD|2MLV|39CDMG|4DUR|5DMG|689VULN|7RCR|9BPWR|aLIT
11	61212 51152	5	   	270.89	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	19ASPD|2MLV|39CDMG|4DUR|5DMG|689VULN|7RCR|9BPWR|aLIT
12	61212 51152	4	   	270.89	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	19ASPD|2MLV|39CDMG|4DUR|5DMG|689VULN|7RCR|9BPWR|aLIT
13	62212 31152	6	   	270.79	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	19ASPD|2ERES|39CDMG|4DUR|5DMG|689VULN|7RCR|9BPWR|aLIT
14	62212 51152	5	   	270.79	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	19ASPD|2ERES|39CDMG|4DUR|5DMG|689VULN|7RCR|9BPWR|aLIT
15	62212 51152	4	   	270.79	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	19ASPD|2ERES|39CDMG|4DUR|5DMG|689VULN|7RCR|9BPWR|aLIT
16	61212 31151	6	 * 	268.63	DCR|3VULN|3CDMG|2ASPD|1DMG|1DUR	19ASPD|2MLV|39aCDMG|4DUR|5DMG|689VULN|7RCR|9BPWR
17	61212 31453	6	   	268.63	DCR|3VULN|3CDMG|2ASPD|1DMG|1DUR	19ASPD|2MLV|389CDMG|4DUR|5DMG|69aVULN|7RCR|9BPWR
18	61212 51151	4	   	268.63	DCR|3VULN|3CDMG|2ASPD|1DMG|1DUR	19ASPD|2MLV|39aCDMG|4DUR|5DMG|689VULN|7RCR|9BPWR
19	61212 51151	5	   	268.63	DCR|3VULN|3CDMG|2ASPD|1DMG|1DUR	19ASPD|2MLV|39aCDMG|4DUR|5DMG|689VULN|7RCR|9BPWR
20	62212 31151	6	   	268.53	DCR|3VULN|3CDMG|2ASPD|1DMG|1DUR	19ASPD|2ERES|39aCDMG|4DUR|5DMG|689VULN|7RCR|9BPWR
21	62212 51151	4	   	268.53	DCR|3VULN|3CDMG|2ASPD|1DMG|1DUR	19ASPD|2ERES|39aCDMG|4DUR|5DMG|689VULN|7RCR|9BPWR
22	62212 51151	5	   	268.53	DCR|3VULN|3CDMG|2ASPD|1DMG|1DUR	19ASPD|2ERES|39aCDMG|4DUR|5DMG|689VULN|7RCR|9BPWR
23	62211 31156	6	 * 	267.75	DCR|2VULN|2DMG|2DUR|2ASPD|2CDMG	19ASPD|2ERES|39CDMG|4aDUR|58VULN|69DMG|7RCR|9BPWR
24	64121 22313	10	 * 	265.16	DCR|4VULN|2ASPD|1DMG|1TLV	14ASPD|2DMSP|3459VULN|4BPWR|6TLV|7FEWX|8DMG|aRCR
25	64121 23313	10	   	265.16	DCR|4VULN|2ASPD|1DMG|1TLV	14ASPD|2DMSP|3459VULN|4BPWR|6TLV|7LHND|8DMG|aRCR
26	25332 51152	1	   	264.58	DCR|3VULN|2ASPD|1DMG|1TLV|1CDMG	19LHND|2CDMG|39ASPD|4TLV|5DMG|689VULN|7RCR|9BPWR|aLIT
27	35332 51152	1	   	264.58	DCR|3VULN|2ASPD|1DMG|1TLV|1CDMG	19BEXP|2CDMG|39ASPD|4TLV|5DMG|689VULN|7RCR|9BPWR|aLIT
28	64122 13352	7	   	264.28	DCR|4VULN|3ASPD|1DUR|1AART	145ASPD|2DMSP|348aVULN|4BPWR|6RCR|7DUR|9AART
29	15362 33521	6	 * 	262.87	DCR|3VULN|3DUR|1DMG|1CDMG	149ZMB|239DUR|5DMG|6CDMG|79aVULN|8RCR|9BPWR
30	62211 31154	6	   	262.83	DCR|2VULN|2DMG|2ASPD|2CDMG|1DUR|1AART	19ASPD|2ERES|39CDMG|4DUR|58VULN|69DMG|7RCR|9BPWR|aAART
31	65131 34311	2	   	262.61	DCR|2VULN|3DMG|2ASPD|1DUR|1CDMG	17ASPD|2DUR|3BELT|47VULN|579DMG|6RCR|7BPWR|8CDMG|aLWND
32	25332 51151	1	   	262.59	DCR|3VULN|2ASPD|1DMG|2CDMG|1TLV	19LHND|2aCDMG|39ASPD|4TLV|5DMG|689VULN|7RCR|9BPWR
33	35332 51151	1	   	262.59	DCR|3VULN|2ASPD|1DMG|2CDMG|1TLV	19BEXP|2aCDMG|39ASPD|4TLV|5DMG|689VULN|7RCR|9BPWR
34	65131 34312	2	   	262.51	DCR|2VULN|3DMG|2ASPD|1DUR|1CDMG	17ASPD|2DUR|3BELT|47VULN|579DMG|6RCR|7BPWR|8CDMG|aBBNT
35	61212 31153	6	   	262.49	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR|1NUKE	19ASPD|2MLV|39CDMG|4DUR|5DMG|689VULN|7RCR|9BPWR|aNUKE
36	61212 31155	6	   	262.49	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	19ASPD|2MLV|39CDMG|4DUR|5DMG|689VULN|7RCR|9BPWR|aERES
37	61212 51153	5	   	262.49	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR|1NUKE	19ASPD|2MLV|39CDMG|4DUR|5DMG|689VULN|7RCR|9BPWR|aNUKE
38	61212 51153	4	   	262.49	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR|1NUKE	19ASPD|2MLV|39CDMG|4DUR|5DMG|689VULN|7RCR|9BPWR|aNUKE
39	62222 31156	6	   	262.49	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	19ASPD|2ERES|39CDMG|4FEWX|5DMG|689VULN|7RCR|9BPWR|aDUR
40	62232 31156	6	   	262.49	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	19ASPD|2ERES|39CDMG|4BEXP|5DMG|689VULN|7RCR|9BPWR|aDUR
41	64121 15212	7	   	262.47	DCR|4VULN|2ASPD|1DMG|1CDMG	14ASPD|2DMSP|3458VULN|4BPWR|6CDMG|7DUST|9RCR|aDMG
42	62212 31153	6	   	262.39	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR|1NUKE	19ASPD|2ERES|39CDMG|4DUR|5DMG|689VULN|7RCR|9BPWR|aNUKE
43	62212 31155	6	   	262.39	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	19ASPD|2aERES|39CDMG|4DUR|5DMG|689VULN|7RCR|9BPWR
44	62212 51153	4	   	262.39	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR|1NUKE	19ASPD|2ERES|39CDMG|4DUR|5DMG|689VULN|7RCR|9BPWR|aNUKE
45	62212 51153	5	   	262.39	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR|1NUKE	19ASPD|2ERES|39CDMG|4DUR|5DMG|689VULN|7RCR|9BPWR|aNUKE
46	61212 31652	6	   	261.57	DCR|2VULN|2DMG|2ASPD|2CDMG|1DUR	19ASPD|2MLV|39CDMG|4DUR|58DMG|69VULN|7RCR|9BPWR|aLIT
47	61214 31152	6	   	261.57	DCR|2VULN|2DMG|2ASPD|2CDMG|1DUR	19ASPD|2MLV|39CDMG|4DUR|58VULN|69DMG|7RCR|9BPWR|aLIT
48	62211 31152	6	   	261.47	DCR|2VULN|2DMG|2ASPD|2CDMG|1DUR	19ASPD|2ERES|39CDMG|4DUR|58VULN|69DMG|7RCR|9BPWR|aLIT
49	21343 35152	1	   	260.43	DCR|4VULN|2DUR|1CDMG	19LHND|2489VULN|34ERES|49BPWR|5CDMG|6RCR|79DUR|aLIT
50	31343 35152	1	   	260.43	DCR|4VULN|2DUR|1CDMG	19BEXP|2489VULN|34ERES|49BPWR|5CDMG|6RCR|79DUR|aLIT
51	64122 13413	10	 * 	260.22	DCR|3VULN|3ASPD|2DUR|1CDMG	145ASPD|2DMSP|34aVULN|4BPWR|6RCR|79DUR|8CDMG
52	63131 34521	2	   	260.21	DCR|3VULN|2DMG|2ASPD|1DUR	17ASPD|2LWND|3BELT|47aVULN|57DMG|6RCR|7BPWR|8DUR|9RMIN
53	65131 34221	2	   	260.21	DCR|3VULN|2DMG|2ASPD|1DUR	17ASPD|2DUR|3BELT|47aVULN|57DMG|6RCR|7BPWR|8CGEN|9LHND
54	65131 34121	2	   	260.11	DCR|3VULN|2DMG|2ASPD|1DUR	17ASPD|2DUR|3BELT|47aVULN|57DMG|6RCR|7BPWR|8DUST|9RMIN
55	65131 34211	2	   	260.11	DCR|3VULN|2DMG|2ASPD|1DUR	17ASPD|2DUR|3BELT|47aVULN|57DMG|6RCR|7BPWR|8CGEN|9MBVNT
56	65131 34231	2	   	260.11	DCR|3VULN|2DMG|2ASPD|1DUR	17ASPD|2DUR|3BELT|47aVULN|57DMG|6RCR|7BPWR|8CGEN|9DUST
57	65131 34133	2	   	260.01	DCR|3VULN|2DMG|2ASPD|1DUR	17ASPD|2DUR|3BELT|47aVULN|57DMG|6RCR|7BPWR|89DUST
58	22623 25326	10	 * 	259.34	DCR|3VULN|2TLV|1DMG|1DUR|1AART	18LHND|28TLV|3AART|4LIT|5DMG|678VULN|8BPWR|9DUR|aRCR
59	61212 31651	6	 * 	259.31	DCR|2VULN|2DMG|3CDMG|2ASPD|1DUR	19ASPD|2MLV|39aCDMG|4DUR|58DMG|69VULN|7RCR|9BPWR
60	61214 31151	6	   	259.31	DCR|2VULN|2DMG|3CDMG|2ASPD|1DUR	19ASPD|2MLV|39aCDMG|4DUR|58VULN|69DMG|7RCR|9BPWR
61	62211 31151	6	   	259.21	DCR|2VULN|2DMG|3CDMG|2ASPD|1DUR	19ASPD|2ERES|39aCDMG|4DUR|58VULN|69DMG|7RCR|9BPWR
62	21153 46123	1	 * 	259.04	DCR|4VULN|2DMG|1CDMG	19LHND|2489VULN|3aDMG|5CDMG|69ZMB|7RCR|9BPWR
63	31153 46123	1	   	259.04	DCR|4VULN|2DMG|1CDMG	19BEXP|2489VULN|3aDMG|5CDMG|69ZMB|7RCR|9BPWR
