0	Index      	Bounty	 *	Score 	Summary	Detail	
1	45311 31125	1	 * 	292.76	DCR|4VULN|3DUR|3CDMG|2LIT	189CDMG|25LIT|389aVULN|4TBNT|6RCR|789DUR|89BPWR
2	45311 31126	1	 * 	290.18	DCR|3VULN|3DUR|3CDMG|1DMG|2LIT	189CDMG|25LIT|389VULN|4TBNT|6RCR|789DUR|89BPWR|aDMG
3	12342 22632	1	 * 	288.44	DCR|4VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|2689VULN|3CDMG|4DMG|56DUR|6BPWR|7RCR|aMLV
4	12342 22634	1	   	288.44	DCR|4VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|2689VULN|3CDMG|4DMG|56DUR|6BPWR|7RCR|aLWND
5	12342 22636	1	   	288.44	DCR|4VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|2689VULN|3CDMG|4DMG|56DUR|6BPWR|7RCR|aBEXP
6	12342 22631	1	   	288.34	DCR|4VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|2689VULN|3CDMG|4DMG|56DUR|6BPWR|7RCR|aTBNT
7	12342 22633	1	   	288.34	DCR|4VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|2689VULN|3CDMG|4DMG|56DUR|6BPWR|7RCR|aDUST
8	12342 22635	1	   	288.34	DCR|4VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|2689VULN|3CDMG|4DMG|56DUR|6BPWR|7RCR|aLEGI
9	52212 22264	10	 * 	286.10	DCR|5VULN|3DUR|2LIT	156DUR|28LIT|3478aVULN|8BPWR|9RCR
10	35236 13261	7	 * 	283.92	DCR|5VULN|3ASPD|1DUR|1AART	1LWND|24567VULN|356ASPD|56BPWR|8DUR|9AART|aRCR
11	12342 22332	1	 * 	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|269VULN|3CDMG|48DMG|56DUR|6BPWR|7RCR|aMLV
12	12342 22334	1	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|269VULN|3CDMG|48DMG|56DUR|6BPWR|7RCR|aLWND
13	12342 22336	1	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|269VULN|3CDMG|48DMG|56DUR|6BPWR|7RCR|aBEXP
14	11336 22632	2	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|26DUR|3CDMG|489VULN|56DMG|6BPWR|7RCR|aMLV
15	11336 22634	2	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|26DUR|3CDMG|489VULN|56DMG|6BPWR|7RCR|aLWND
16	11336 22636	2	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|26DUR|3CDMG|489VULN|56DMG|6BPWR|7RCR|aBEXP
17	12342 22331	1	   	283.28	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|269VULN|3CDMG|48DMG|56DUR|6BPWR|7RCR|aTBNT
18	12342 22333	1	   	283.28	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|269VULN|3CDMG|48DMG|56DUR|6BPWR|7RCR|aDUST
19	12342 22335	1	   	283.28	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|269VULN|3CDMG|48DMG|56DUR|6BPWR|7RCR|aLEGI
20	11336 22631	2	   	283.28	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|26DUR|3CDMG|489VULN|56DMG|6BPWR|7RCR|aTBNT
21	11336 22633	2	   	283.28	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|26DUR|3CDMG|489VULN|56DMG|6BPWR|7RCR|aDUST
22	11336 22635	2	   	283.28	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|26DUR|3CDMG|489VULN|56DMG|6BPWR|7RCR|aLEGI
23	12342 22412	1	 * 	282.84	DCR|3VULN|3DUR|2TLV|1DMG|1CDMG	1aTLV|26aVULN|3CDMG|4DMG|56aDUR|6aBPWR|7RCR|8TBNT|9RMIN
24	45311 31124	1	   	281.12	DCR|3VULN|3DUR|3CDMG|2LIT|1ASPD	189CDMG|25LIT|389VULN|4TBNT|6RCR|789DUR|89BPWR|aASPD
25	35232 52622	8	   	281.11	DCR|3VULN|2DMG|1TLV|1DUR|2LIT|1ASPD	1LWND|24aVULN|3ASPD|5TLV|6RCR|7aLIT|8DUR|9aDMG|aBPWR
26	12342 22164	1	   	280.51	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG|1ASPD	1aTLV|269VULN|3CDMG|4DMG|56DUR|6BPWR|7RCR|8ASPD
27	12342 22221	1	   	279.02	DCR|3VULN|3DUR|1DMG|1TLV|1CDMG	1TLV|26aVULN|3CDMG|4DMG|568DUR|6BPWR|7RCR|9BEXP
28	12342 22112	1	   	276.80	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	1TLV|26aVULN|3CDMG|4DMG|56DUR|6BPWR|7RCR|8ASPD|9MLV
29	12342 22142	1	   	276.80	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	1TLV|26aVULN|3CDMG|4DMG|56DUR|6BPWR|7RCR|8ASPD|9CGEN
30	12342 22151	1	   	276.80	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	1TLV|26aVULN|3CDMG|4DMG|56DUR|6BPWR|7RCR|8ASPD|9BEXP
