0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31111 16433	4	 * 	335.85	DCR|5VULN|3DMG|3DUR|1ASPD	189DMG|2ASPD|3589aVULN|4RMIN|6RCR|789DUR|89BPWR
2	31116 16433	5	   	334.92	DCR|4VULN|3DMG|3DUR|2ASPD	189DMG|25ASPD|3589VULN|4RMIN|589BPWR|6RCR|789DUR|aLIT
3	31116 16432	5	   	326.62	DCR|4VULN|3DMG|3DUR|2ASPD	189DMG|25ASPD|3589VULN|4RMIN|589BPWR|6RCR|789DUR|aCGEN
4	31116 16431	5	   	326.52	DCR|4VULN|3DMG|3DUR|2ASPD	189DMG|25ASPD|3589VULN|4RMIN|589BPWR|6RCR|789DUR|aDUST
5	31121 25433	7	   	326.52	DCR|4VULN|3DMG|3DUR|2ASPD	189DMG|25ASPD|389aVULN|489DUR|6RCR|7RMIN|89BPWR
6	53211 16433	4	 * 	322.34	DCR|5VULN|3DUR|3ASPD|1DMG	1RMIN|2389aVULN|4DMG|589ASPD|6RCR|789DUR|89BPWR
7	53212 16433	5	   	322.34	DCR|5VULN|3DUR|3ASPD|1DMG	1RMIN|2389aVULN|4DMG|589ASPD|6RCR|789DUR|89BPWR
8	31111 16433	5	   	316.31	DCR|4VULN|3DMG|3DUR|1ASPD	189DMG|2ASPD|389aVULN|45RMIN|6RCR|789DUR|89BPWR
9	31115 16433	4	   	316.31	DCR|4VULN|3DMG|3DUR|1ASPD	189DMG|2ASPD|389aVULN|4RMIN|5RCVC|6RCR|789DUR|89BPWR
10	33321 16433	4	   	316.31	DCR|4VULN|3DMG|3DUR|1ASPD	189DMG|2RCVC|389aVULN|4ZMB|5ASPD|6RCR|789DUR|89BPWR
11	33322 16433	5	   	316.31	DCR|4VULN|3DMG|3DUR|1ASPD	189DMG|2RCVC|389aVULN|4ZMB|5ASPD|6RCR|789DUR|89BPWR
12	31111 16432	4	   	316.31	DCR|4VULN|3DMG|3DUR|1ASPD	189DMG|2ASPD|3589VULN|4RMIN|6RCR|789DUR|89BPWR|aCGEN
13	31111 16434	4	   	316.31	DCR|4VULN|3DMG|3DUR|1ASPD	189DMG|2ASPD|3589VULN|4RMIN|6RCR|789DUR|89BPWR|aBEXP
14	31111 16436	4	   	316.31	DCR|4VULN|3DMG|3DUR|1ASPD	189DMG|2ASPD|3589VULN|4RMIN|6RCR|789DUR|89BPWR|aMLV
15	31111 16431	4	   	316.21	DCR|4VULN|3DMG|3DUR|1ASPD	189DMG|2ASPD|3589VULN|4RMIN|6RCR|789DUR|89BPWR|aERES
16	26221 16433	3	 * 	307.20	DCR|5VULN|3DUR|3CDMG	1RPLT|289CDMG|34589VULN|6RCR|789DUR|89BPWR|aAART
