0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12124 16126	8	 * 	261.89	DCR|3VULN|2DMG|2DUR	1BELT|2aZMB|3aDMG|4LIT|57DUR|68aVULN|9RCR|aBPWR
2	12161 36262	10	 * 	261.04	DCR|4VULN|3DMG	1BELT|27ZMB|367DMG|4RCVC|579aVULN|7BPWR|8RCR
3	23215 62513	10	 * 	260.09	DCR|3VULN|3DUR|3ASPD	1DMSP|28aASPD|39BEXP|48aVULN|5BELT|6RCR|78aDUR|8aBPWR
4	43262 13152	9	 * 	259.48	DCR|5VULN|1DUR|1TLV	1TLV|2LHND|35789VULN|4DUR|6ERES|aRCR
5	43262 35133	7	   	259.48	DCR|5VULN|1TLV|1DUR	1TLV|2LHND|3589aVULN|4DUR|6DLOT|7RCR
6	53434 31331	6	   	259.46	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	1FEWX|2AART|3ASPD|48DMG|59aVULN|6RCR|7DUR
7	43233 34613	10	 * 	258.96	DCR|3VULN|2DMG|2TLV|1DUR	1aTLV|2LHND|39aVULN|4CGEN|5DMSP|6DUR|7RCR|8aDMG|aBPWR
8	41223 33663	10	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR	1aTLV|2ERES|3RCVC|47aVULN|5LHND|6DUR|8aDMG|9RCR|aBPWR
9	41223 34613	10	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR	1aTLV|2ERES|3RCVC|49aVULN|5LHND|6DUR|7RCR|8aDMG|aBPWR
10	16523 12341	10	 * 	258.76	DCR|3VULN|2DMG|2CDMG|1TLV	1BELT|29CDMG|39DUST|4TLV|57DMG|6RCR|89aVULN|9BPWR
11	23215 63241	8	 * 	258.74	DCR|4VULN|3ASPD|1DMG	1DMSP|278ASPD|378BEXP|478aVULN|5BELT|6RCR|78BPWR|9DMG
12	42233 21531	10	   	253.72	DCR|3VULN|2DMG|2TLV|1ASPD	18TLV|2ASPD|3RCVC|46RMIN|58DMG|78aVULN|8BPWR|9RCR
13	54216 22333	7	   	252.06	DCR|4VULN|1DMG|1DUR	1FEWX|2ERES|3789VULN|4LIT|5DMG|6DUR|aRCR
14	33431 42682	4	   	251.98	DCR|3VULN|2ASPD|1DMG|1DUR|1AART	18DUST|2AART|38ASPD|4DMG|5MBVNT|6DUR|78aVULN|8BPWR|9RCR
15	21112 52641	5	 * 	251.70	DCR|4VULN|3DUR	1DMSP|2aCGEN|3DUST|459aVULN|68aDUR|7RCR|aBPWR
16	31784 41712	2	   	251.26	DCR|4VULN|3DUR|1SELL	1aDUST|2MBVNT|3SELL|469aVULN|56aDUR|6aBPWR|7RCR|8TBNT
17	43212 31523	7	 * 	250.75	DCR|3VULN|2DUR|2TLV|2LIT	19TLV|2LHND|379VULN|46LIT|5CGEN|89DUR|9BPWR|aRCR
18	43214 32323	6	   	250.75	DCR|3VULN|2DUR|2TLV|2LIT	19TLV|2LHND|389VULN|46LIT|5MLV|79DUR|9BPWR|aRCR
19	23215 62511	8	   	250.37	DCR|3VULN|3DUR|2ASPD	1DMSP|28ASPD|3BEXP|48aVULN|5BELT|6RCR|789DUR|8BPWR
20	23114 35512	7	   	250.27	DCR|3VULN|3DUR|2ASPD	1DMSP|27ASPD|35DUST|457VULN|57BPWR|679DUR|8BEXP|aRCR
21	23114 35522	8	   	250.27	DCR|3VULN|3DUR|2ASPD	1DMSP|27ASPD|35DUST|457VULN|57BPWR|678DUR|9BEXP|aRCR
22	23114 35532	9	   	250.27	DCR|3VULN|3DUR|2ASPD	1DMSP|27ASPD|35DUST|457VULN|57BPWR|678DUR|9BEXP|aRCR
23	23114 35612	8	   	250.27	DCR|3VULN|3DUR|2ASPD	1DMSP|27ASPD|35DUST|457VULN|57BPWR|679DUR|8BEXP|aRCR
24	44112 53333	3	   	250.11	DCR|3VULN|1DUR|1TLV|1CDMG|1ASPD|1SELL	1TLV|2LIT|3SELL|479VULN|5DUR|6ASPD|8CDMG|aRCR
25	44122 53333	2	   	250.11	DCR|3VULN|1DUR|1TLV|1CDMG|1ASPD|1SELL	1TLV|2LIT|379VULN|4SELL|5DUR|6ASPD|8CDMG|aRCR
26	42323 21435	8	   	250.06	DCR|2VULN|1DMG|1DUR|1TLV|2LIT|1CDMG|1ASPD	1TLV|2ASPD|34LIT|5CDMG|6DMG|78VULN|9RCR|aDUR
27	43213 64233	5	   	249.95	DCR|3VULN|2DUR|1TLV|1AART	1TLV|2LHND|39aVULN|4LIT|5AART|68DUR|7RCR
28	14343 22334	6	   	249.46	DCR|4VULN|1DMG|1CDMG	1BELT|2DLOT|3LIT|4CDMG|5689VULN|7DMG|aRCR
29	14343 22334	5	   	249.46	DCR|4VULN|1DMG|1CDMG	1BELT|2DLOT|3LIT|4CDMG|5689VULN|7DMG|aRCR
30	14362 11334	7	   	249.46	DCR|4VULN|1DMG|1CDMG	1BELT|2DLOT|3LIT|4DMG|5789VULN|6CDMG|aRCR
31	12161 36263	10	   	249.41	DCR|3VULN|3DMG|1ASPD	1BELT|27ZMB|367DMG|4RCVC|579VULN|7BPWR|8RCR|aASPD
32	31784 41543	2	   	249.10	DCR|3VULN|2DUR|1DMG|1CDMG|1SELL	1DUST|2MBVNT|3SELL|46aVULN|56DUR|6BPWR|7RCR|8DMG|9CDMG
33	43122 15143	7	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|2LHND|3DUR|4BEXP|57aVULN|6ASPD|8RCR|9DMG
34	43221 35143	7	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|2LHND|37aVULN|4BEXP|5ASPD|6DUR|8RCR|9DMG
35	45215 22333	7	   	248.25	DCR|4VULN|1DUR|1TLV	1TLV|2FEWX|3789VULN|4LIT|5ERES|6DUR|aRCR
36	43262 35333	7	   	248.25	DCR|4VULN|1DUR|1TLV	1TLV|2LHND|359aVULN|4DUR|6DLOT|7RCR|8LIT
37	43262 35333	8	   	248.25	DCR|4VULN|1DUR|1TLV	1TLV|2LHND|359aVULN|4DUR|6DLOT|7RCR|8LIT
