0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41133 47513	3	 * 	282.37	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	19DUR|2BEXP|39DMG|4MBVNT|5CDMG|6TLV|7RCR|89aVULN|9BPWR
2	41531 22363	10	 * 	268.86	DCR|3VULN|3DUR|1TLV|2ASPD	15aDUR|2BEXP|37aVULN|4LIT|6TLV|8RCR|9aASPD|aBPWR
3	43363 31163	9	 * 	267.48	DCR|4VULN|2TLV|1DUR|1CDMG	1DUR|2LIT|3678VULN|45TLV|9RCR|aCDMG
4	31415 46323	10	   	266.40	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	17LIT|2DMSP|3MBVNT|4TLV|579VULN|67DMG|7BPWR|8CDMG|aRCR
5	22653 15223	2	 * 	264.36	DCR|3VULN|3DUR|1TLV|2CDMG	1DMSP|28CDMG|389VULN|4LHND|5TLV|68aDUR|7RCR|8BPWR
6	22663 15223	2	   	264.36	DCR|3VULN|3DUR|1TLV|2CDMG	1DMSP|28CDMG|389VULN|4BEXP|5TLV|68aDUR|7RCR|8BPWR
7	22623 15223	2	   	264.26	DCR|3VULN|3DUR|1TLV|2CDMG	1DMSP|28CDMG|389VULN|4DUST|5TLV|68aDUR|7RCR|8BPWR
8	24523 15223	3	   	264.26	DCR|3VULN|3DUR|1TLV|2CDMG	1DMSP|289VULN|38CDMG|4DUST|5TLV|68aDUR|7RCR|8BPWR
9	41143 22231	10	 * 	262.95	ACR|5VULN|3DUR|2DMG	19aDUR|2BEXP|39DMG|46789VULN|5RCR|9BPWR
10	41563 22231	10	   	262.95	ACR|5VULN|3DUR|2DMG	19aDUR|2BEXP|36789VULN|49DMG|5RCR|9BPWR
11	45143 22231	10	   	262.95	ACR|5VULN|3DUR|2DMG	19aDUR|2FEWX|39DMG|46789VULN|5RCR|9BPWR
12	46143 22231	10	   	262.85	ACR|5VULN|3DUR|2DMG	19aDUR|2DUST|39DMG|46789VULN|5RCR|9BPWR
13	33651 32611	1	   	262.69	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1LIT|245VULN|35DUR|5BPWR|6LWND|7AART|8RCR|9CDMG|aTLV
14	43622 31334	2	 * 	262.61	DCR|2VULN|3DUR|2TLV|1DMG|2LIT	135DUR|29LIT|49TLV|6TBNT|79VULN|8RCR|9BPWR|aDMG
15	31415 31128	9	 * 	262.57	DCR|5VULN|2TLV|2LIT	19LIT|2DMSP|3MBVNT|49TLV|56789VULN|9BPWR|aRCR
16	32246 63231	8	 * 	262.30	DCR|3VULN|2TLV|3LIT|1DMG|1CDMG	178LIT|2478CGEN|34TLV|478BPWR|5CDMG|678VULN|9DMG|aRCR
17	24511 42223	5	 * 	261.11	DCR|4VULN|2DMG|2CDMG	1DMSP|2489VULN|38CDMG|5CGEN|6ASPD|78DMG|8BPWR|aRCR
18	24512 42223	5	   	261.11	DCR|4VULN|2DMG|2CDMG	1DMSP|2489VULN|38CDMG|5MLV|6ASPD|78DMG|8BPWR|aRCR
19	22632 42223	2	   	261.01	DCR|4VULN|2DMG|2CDMG	1DMSP|28CDMG|3589VULN|4ERES|6ASPD|78DMG|8BPWR|aRCR
20	24511 42223	4	   	261.01	DCR|4VULN|2DMG|2CDMG	1DMSP|2489VULN|38CDMG|5ERES|6ASPD|78DMG|8BPWR|aRCR
21	24516 32223	6	   	261.01	DCR|4VULN|2DMG|2CDMG	1DMSP|2489VULN|38CDMG|5ASPD|6ERES|78DMG|8BPWR|aRCR
22	24532 42223	3	   	261.01	DCR|4VULN|2DMG|2CDMG	1DMSP|2589VULN|38CDMG|4ERES|6ASPD|78DMG|8BPWR|aRCR
23	43363 31161	10	   	260.37	DCR|4VULN|2TLV|1DUR|2LIT	1DUR|2aLIT|3678VULN|45TLV|9RCR
24	24513 15223	6	 * 	259.70	DCR|5VULN|1TLV|2CDMG	1DMSP|24589VULN|38CDMG|68CGEN|7RCR|8BPWR|aTLV
25	24513 25223	6	   	259.50	DCR|5VULN|1TLV|2CDMG	1DMSP|24589VULN|38CDMG|68ERES|7RCR|8BPWR|aTLV
26	24513 35223	5	   	259.50	DCR|5VULN|1TLV|2CDMG	1DMSP|24589VULN|38CDMG|68ERES|7RCR|8BPWR|aTLV
27	41143 22232	9	   	259.38	ACR|5VULN|2DMG|2DUR|1AART	19DUR|2BEXP|39DMG|46789VULN|5RCR|9BPWR|aAART
28	41563 22232	9	   	259.38	ACR|5VULN|2DMG|2DUR|1AART	19DUR|2BEXP|36789VULN|49DMG|5RCR|9BPWR|aAART
29	41531 22334	10	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2BEXP|379VULN|4LIT|6TLV|8RCR|aDMG
30	32216 63214	10	   	258.38	DCR|3VULN|2TLV|3LIT|1DUR|1CDMG	178LIT|278CGEN|34TLV|5CDMG|678VULN|78BPWR|9DUR|aRCR
31	41563 22233	10	   	258.03	ACR|5VULN|2DMG|2DUR	19DUR|2BEXP|36789VULN|49DMG|5RCR|9BPWR|aLIT
32	41143 22233	10	   	258.03	ACR|5VULN|2DMG|2DUR	19DUR|2BEXP|39DMG|46789VULN|5RCR|9BPWR|aLIT
33	45143 22233	9	   	258.03	ACR|5VULN|2DMG|2DUR	19DUR|2FEWX|39DMG|46789VULN|5RCR|9BPWR|aASPD
34	45143 22233	10	   	258.03	ACR|5VULN|2DMG|2DUR	19DUR|2FEWX|39DMG|46789VULN|5RCR|9BPWR|aLIT
35	46143 22233	10	   	257.93	ACR|5VULN|2DMG|2DUR	19DUR|2DUST|39DMG|46789VULN|5RCR|9BPWR|aLIT
36	46143 22233	9	   	257.93	ACR|5VULN|2DMG|2DUR	19DUR|2DUST|39DMG|46789VULN|5RCR|9BPWR|aASPD
37	22613 12216	2	   	257.85	DCR|3VULN|3DUR|1TLV|1CDMG	1DMSP|2CDMG|389VULN|467DUR|5TLV|aRCR
38	24513 12216	3	   	257.85	DCR|3VULN|3DUR|1TLV|1CDMG	1DMSP|289VULN|3CDMG|467DUR|5TLV|aRCR
39	41133 47512	3	   	257.68	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	19DUR|2BEXP|39DMG|4MBVNT|5CDMG|6TLV|7RCR|89VULN|9BPWR|aRCVC
40	41133 47511	3	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	19DUR|2BEXP|39DMG|4MBVNT|5CDMG|6TLV|7RCR|89VULN|9BPWR|aTBNT
41	33613 51323	1	 * 	256.38	DCR|2VULN|1TLV|1DMG|2CDMG|2ASPD|1DUR	1LIT|2aVULN|3DUR|4TLV|5aASPD|6RMIN|7RCR|8DMG|9aCDMG|aBPWR
42	33422 13364	3	 * 	256.03	DCR|3VULN|3DUR|3LIT|1AART	137LIT|2ASPD|47aVULN|567DUR|7BPWR|8AART|9RCR
43	33163 61523	1	 * 	254.71	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG|1NUKE	1LIT|2aVULN|3CGEN|4DMG|5aDUR|6TLV|7RCR|8NUKE|9aCDMG|aBPWR
44	43351 32611	3	   	254.66	DCR|3VULN|1TLV|1DUR|2LIT|1CDMG|1AART	1DUR|25LIT|345VULN|5BPWR|6LWND|7AART|8RCR|9CDMG|aTLV
45	33422 13112	3	   	254.31	DCR|3VULN|3DUR|3LIT|2ASPD	137LIT|28ASPD|478VULN|567DUR|78BPWR|9LWND|aRCR
46	41143 22531	10	   	254.26	ACR|4VULN|3DUR|2DMG|1AART	189DUR|2BEXP|39DMG|4679VULN|5RCR|9BPWR|aAART
47	21432 32623	1	   	254.14	DCR|3VULN|2DMG|1TLV|2ASPD	1DMSP|2aASPD|3TLV|4RPLT|59aVULN|6RCVC|7aDMG|8RCR|aBPWR
48	21432 42623	1	   	254.14	DCR|3VULN|2DMG|1TLV|2ASPD	1DMSP|2aASPD|3TLV|46RPLT|59aVULN|7aDMG|8RCR|aBPWR
49	43363 31161	9	   	253.83	DCR|4VULN|2TLV|1DUR	1DUR|2LIT|3678VULN|45TLV|9RCR|aCGEN
50	43363 31162	10	   	253.83	DCR|4VULN|2TLV|1DUR	1DUR|2LIT|3678VULN|45TLV|9RCR|aLHND
51	43363 31163	10	   	253.83	DCR|4VULN|2TLV|1DUR	1DUR|2LIT|3678VULN|45TLV|9RCR|aBEXP
52	43363 31115	10	   	253.73	DCR|4VULN|2TLV|1DUR	1DUR|2LIT|3678VULN|45TLV|9DLOT|aRCR
53	43363 31162	9	   	253.73	DCR|4VULN|2TLV|1DUR	1DUR|2LIT|3678VULN|45TLV|9RCR|aERES
54	22613 12266	2	   	253.22	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	1DMSP|2CDMG|38VULN|467DUR|5TLV|9DMG|aRCR
55	32212 35534	9	 * 	253.07	DCR|3VULN|3TLV|1DUR|2LIT|1CDMG	19LIT|2CGEN|349TLV|5DUR|6CDMG|789VULN|9BPWR|aRCR
56	41143 22532	10	   	252.91	ACR|4VULN|3DUR|2DMG	189DUR|2BEXP|39DMG|4679VULN|5RCR|9BPWR|aASPD
57	33453 11363	1	   	252.84	DCR|3VULN|2TLV|1DMG|1DUR	1LIT|249VULN|3LHND|5aTLV|6DUR|7RCR|8DMG
58	33614 21363	1	   	252.84	DCR|3VULN|2TLV|1DMG|1DUR	1LIT|269VULN|3DUR|4aTLV|5FEWX|7RCR|8DMG
59	36353 11363	3	   	252.84	DCR|3VULN|2TLV|1DMG|1DUR	1LIT|2LWND|349VULN|5aTLV|6DUR|7RCR|8DMG
60	43163 21363	5	   	252.84	DCR|3VULN|2TLV|1DMG|1DUR	1DUR|2LIT|3BEXP|4aTLV|569VULN|7RCR|8DMG
61	43314 21363	3	   	252.84	DCR|3VULN|2TLV|1DMG|1DUR	1DUR|2LIT|369VULN|4aTLV|5FEWX|7RCR|8DMG
62	31415 46413	10	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	17LIT|2DMSP|3MBVNT|4TLV|579VULN|67DMG|7BPWR|8LHND|aRCR
63	13355 11363	3	   	252.74	DCR|3VULN|2TLV|1DMG|1DUR	1DUST|2LIT|349VULN|5aTLV|6DUR|7RCR|8DMG
64	33255 11363	1	   	252.74	DCR|3VULN|2TLV|1DMG|1DUR	1LIT|249VULN|3DUST|5aTLV|6DUR|7RCR|8DMG
65	43363 33334	10	   	252.74	DCR|3VULN|2TLV|1DMG|1DUR	1DUR|2LIT|369VULN|45TLV|7DUST|8RCR|aDMG
66	43361 21363	5	   	252.74	DCR|3VULN|2TLV|1DMG|1DUR	1DUR|2LIT|369VULN|4aTLV|5DUST|7RCR|8DMG
67	24513 15123	5	   	252.70	DCR|4VULN|2DMG|2CDMG	1DMSP|245aVULN|3aCDMG|6ZMB|7RCR|8DUST|9aDMG|aBPWR
68	41531 22324	9	   	252.51	DCR|3VULN|3DUR|1TLV	159DUR|2BEXP|37aVULN|4LIT|6TLV|8RCR
69	41531 22336	9	   	252.51	DCR|3VULN|3DUR|1TLV	15aDUR|2BEXP|379VULN|4LIT|6TLV|8RCR
70	33163 61336	1	   	252.44	DCR|2VULN|2DMG|2DUR|1TLV	1LIT|2aVULN|3CGEN|48DMG|5aDUR|6TLV|7RCR|9aMLV|aBPWR
71	41351 23622	9	 * 	252.38	DCR|3VULN|3DUR|2TLV	189DUR|2aBEXP|3MBVNT|46aVULN|5aTLV|7RCR|aBPWR
72	45351 23322	9	   	252.38	DCR|3VULN|3DUR|2TLV	189DUR|2aFEWX|3MBVNT|46aVULN|5aTLV|7RCR|aBPWR
73	41325 42262	3	   	252.38	DCR|3VULN|3DUR|2TLV	145DUR|2aBEXP|3MBVNT|67aVULN|8aTLV|9RCR|aBPWR
