0	Index      	 *	Score 	Summary	Detail	
1	32636 33631	 * 	191.51	DCR|3VULN|3DMG|1FLTHEA|1DUR	19aVULN|2LIT|39aDMG|4FLTHEA|5DUR|6RCR|79aDUST|8NUKE|9aBPWR
2	35132 11536	 * 	188.57	ACR|5VULN|2DMG|1ZMB|1SELL	1246aVULN|3SELL|4aBPWR|5RCR|7ZMB|8aDUST|9aDMG
3	32636 34233	 * 	188.56	DCR|3VULN|1AART|1DMG|1FLTHEA|2DUR	18aVULN|2LIT|3DMG|4FLTHEA|59DUR|6RCR|7AART
4	42448 22115	 * 	186.40	DCR|3VULN|2DMG|1AART|2DUR	1MBVNT|28aVULN|3LEGI|4ERES|5AART|6aDMG|7aDUR|9RCR|aBPWR
5	32633 23146	 * 	185.21	DCR|2VULN|2DMG|1AART|1CDMG|1FLTHEA	19VULN|2LIT|39DMG|4FLTHEA|5CDMG|6LEGI|79DUST|8RCR|9BPWR|aAART
6	32636 33633	   	183.30	DCR|2VULN|2DMG|1AART|1FLTHEA|1DUR	19VULN|2LIT|39DMG|4FLTHEA|5DUR|6RCR|79DUST|8NUKE|9BPWR|aAART
7	32632 32141	   	181.35	DCR|3VULN|2DMG|1FLTHEA|2DUR	18aVULN|2LIT|3aDMG|4FLTHEA|5FEWX|6RCR|7RMIN|9aDUR|aBPWR
8	32632 32541	   	181.35	DCR|3DMG|2VULN|1FLTHEA|2DUR	1aVULN|2LIT|38aDMG|4FLTHEA|5FEWX|6RCR|7RMIN|9aDUR|aBPWR
9	42384 27121	   	179.37	DCR|3VULN|2DMG|1AART	1MBVNT|28aVULN|3NUKE|4AART|5DUST|6aDMG|7RCR|9aERES|aBPWR
10	33127 77113	   	179.32	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	18aVULN|2MLV|3ASPD|4MBVNT|5ZMB|6RCR|7DMG|9AART
11	35132 65113	 * 	177.60	ACR|3VULN|1AART|1CDMG|1FLTHEA|1ZMB|1SELL	124VULN|3SELL|4BPWR|5RCR|6FLTHEA|7AART|8CDMG|9ZMB|aRCVC
12	35132 22535	 * 	176.67	ACR|5VULN|1AART|1CDMG|1SELL	12478VULN|3SELL|48BPWR|5RCR|6MBVNT|9CDMG|aAART
13	35132 65133	 * 	176.64	ACR|3VULN|2AART|1CDMG|1FLTHEA|1SELL	124VULN|3SELL|4BPWR|5RCR|6FLTHEA|7aAART|8CDMG|9MBVNT
14	35136 24313	 * 	176.55	DCR|4VULN|2AART|2DUR|1SELL	1247VULN|3SELL|4BPWR|5aAART|69DUR|8RCR
15	35132 65112	 * 	176.29	ACR|3VULN|1AART|1CDMG|1FLTHEA|1ZMB|1SELL	124VULN|3SELL|4BPWR|5RCR|6FLTHEA|7AART|8CDMG|9ZMB|aBEXP
16	42182 22246	 * 	176.22	DCR|4VULN|1AART|2ASPD|1CDMG	1MBVNT|2578VULN|38ASPD|4AART|68LIT|8BPWR|9CDMG|aRCR
17	35132 65111	 * 	176.19	ACR|3VULN|1AART|1FLTHEA|1CDMG|1ZMB|1SELL	124VULN|3SELL|4BPWR|5RCR|6FLTHEA|7AART|8CDMG|9ZMB|aERES
18	32636 31151	   	176.05	DCR|3VULN|2DMG|1FLTHEA|1DUR	17aVULN|2LIT|3aDMG|4FLTHEA|5DUR|6RCR|8aBEXP|9RMIN|aBPWR
19	32636 32131	   	176.05	DCR|3VULN|2DMG|1FLTHEA|1DUR	18aVULN|2LIT|3aDMG|4FLTHEA|5DUR|6RCR|7RMIN|9aLWND|aBPWR
20	32636 32531	   	176.05	DCR|3DMG|2VULN|1FLTHEA|1DUR	1aVULN|2LIT|38aDMG|4FLTHEA|5DUR|6RCR|7RMIN|9aLWND|aBPWR
21	32634 42121	   	175.95	DCR|3DMG|2VULN|1FLTHEA|1DUR	1aVULN|2LIT|35aDMG|4FLTHEA|6RCR|7DUR|8aBEXP|9NUKE|aBPWR
22	32634 42221	   	175.95	DCR|3DMG|2VULN|1FLTHEA|1DUR	1aVULN|2LIT|35aDMG|4FLTHEA|6RCR|7DUR|8aLHND|9NUKE|aBPWR
23	32634 42321	   	175.95	DCR|3DMG|2VULN|1FLTHEA|1DUR	1aVULN|2LIT|35aDMG|4FLTHEA|6RCR|7DUR|8aLWND|9NUKE|aBPWR
24	32636 31121	   	175.95	DCR|3VULN|2DMG|1FLTHEA|1DUR	17aVULN|2LIT|3aDMG|4FLTHEA|5DUR|6RCR|8aBEXP|9NUKE|aBPWR
25	32636 31221	   	175.95	DCR|3VULN|2DMG|1FLTHEA|1DUR	17aVULN|2LIT|3aDMG|4FLTHEA|5DUR|6RCR|8aLHND|9NUKE|aBPWR
26	32636 31321	   	175.95	DCR|3VULN|2DMG|1FLTHEA|1DUR	17aVULN|2LIT|3aDMG|4FLTHEA|5DUR|6RCR|8aLWND|9NUKE|aBPWR
27	36132 11536	 * 	175.74	ACR|4VULN|2DMG|1ZMB|1SELL	146aVULN|2DMSP|3SELL|4aBPWR|5RCR|7ZMB|8aDUST|9aDMG
28	35136 22333	 * 	175.53	DCR|4VULN|3AART|1DUR|1SELL	1249VULN|3SELL|4BPWR|57aAART|6DUR|8RCR
29	42184 27121	 * 	175.43	DCR|3VULN|1AART|1DMG|2ASPD	1MBVNT|28aVULN|3aASPD|4AART|5DUST|6DMG|7RCR|9aERES|aBPWR
30	32331 43525	   	175.33	DCR|3VULN|1AART|1DMG|1FLTHEA	157VULN|2LIT|37LHND|47LWND|6RCR|7BPWR|8DMG|9AART|aFLTHEA
31	41222 21115	   	174.87	DCR|3VULN|2DMG|1AART	1MBVNT|2aMLV|3FEWX|4AART|58aVULN|6aDMG|7LEGI|9RCR|aBPWR
32	47422 21115	   	174.77	DCR|3VULN|2DMG|1AART	1MBVNT|2aFEWX|3ERES|4AART|58aVULN|6aDMG|7LEGI|9RCR|aBPWR
33	32636 34222	   	174.55	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1ASPD	18VULN|2LIT|3DMG|4FLTHEA|5DUR|6RCR|7AART|9BEXP|aASPD
34	32632 34232	   	174.55	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1ASPD	18VULN|2LIT|3DMG|4FLTHEA|5FEWX|6RCR|7AART|9DUR|aASPD
35	32632 34362	   	174.23	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	19VULN|2LIT|3DMG|4FLTHEA|5FEWX|6RCR|7AART|8TLV|aCDMG
36	32636 31622	 * 	173.67	DCR|4VULN|1DMG|1FLTHEA|1DUR	1789VULN|2LIT|3DMG|4FLTHEA|5DUR|6RCR|aRCVC
37	35136 22263	 * 	173.13	DCR|4VULN|3AART|1DUR|1SELL	1248VULN|3SELL|4BPWR|57aAART|6DUR|9RCR
38	32636 34231	   	172.91	DCR|2VULN|1AART|1DMG|1FLTHEA|2DUR	18VULN|2LIT|3DMG|4FLTHEA|59DUR|6RCR|7AART|aRMIN
39	32636 34232	   	172.91	DCR|2VULN|1AART|1DMG|1FLTHEA|2DUR	18VULN|2LIT|3DMG|4FLTHEA|59DUR|6RCR|7AART|aFEWX
40	35136 24331	 * 	172.64	DCR|5VULN|1AART|1DUR|1SELL	12479VULN|3SELL|4BPWR|5AART|6DUR|8RCR|aRMIN
41	35136 24332	 * 	172.54	DCR|5VULN|1AART|1DUR|1SELL	12479VULN|3SELL|4BPWR|5AART|6DUR|8RCR|aDUST
42	35136 24333	 * 	172.54	DCR|5VULN|1AART|1DUR|1SELL	12479VULN|3SELL|4BPWR|5AART|6DUR|8RCR|aTLV
43	42438 22148	   	172.42	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1MBVNT|28VULN|3LEGI|4ZMB|5AART|6DMG|7DUR|9RCR|aFLTHEA
44	32636 31621	   	172.37	DCR|4VULN|1DMG|1FLTHEA|1DUR	1789VULN|2LIT|3DMG|4FLTHEA|5DUR|6RCR|aRPLT
45	32636 31623	   	172.37	DCR|4VULN|1DMG|1FLTHEA|1DUR	1789VULN|2LIT|3DMG|4FLTHEA|5DUR|6RCR|aBELT
46	32632 31623	   	172.37	DCR|4VULN|1DMG|1FLTHEA|1DUR	1789VULN|2LIT|3DMG|4FLTHEA|5FEWX|6RCR|aDUR
47	32632 31625	   	172.37	DCR|4VULN|1DMG|1FLTHEA|1ASPD	1789VULN|2LIT|3DMG|4FLTHEA|5FEWX|6RCR|aASPD
48	35132 65123	 * 	172.23	ACR|3VULN|1AART|1CDMG|1FLTHEA|1DUR|1SELL	124VULN|3SELL|4BPWR|5RCR|6FLTHEA|7AART|8CDMG|9LHND|aDUR
49	32641 11214	 * 	172.13	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	18VULN|2LIT|3DMG|4MLV|5aCDMG|6AART|7RCR|9DUR
50	33322 24168	 * 	172.03	DCR|3VULN|1AART|1DMG|1CDMG	168VULN|2MLV|3DMG|4MBVNT|5LHND|7RCR|9CDMG|aAART
51	32611 11213	   	172.03	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	18VULN|2LIT|3DMG|4ERES|5aCDMG|6AART|7RCR|9DUR
52	34322 24168	   	171.93	DCR|3VULN|1AART|1DMG|1CDMG	168VULN|2TLV|3DMG|4MBVNT|5LHND|7RCR|9CDMG|aAART
53	32636 31632	 * 	171.92	DCR|3VULN|1DMG|1CDMG|1FLTHEA|1DUR	178VULN|2LIT|3DMG|4FLTHEA|5DUR|6RCR|9FEWX|aCDMG
54	32632 31652	   	171.92	DCR|3VULN|1DMG|1CDMG|1FLTHEA|1DUR	178VULN|2LIT|3DMG|4FLTHEA|5FEWX|6RCR|9DUR|aCDMG
55	36136 24333	 * 	171.26	DCR|4VULN|2AART|1DUR|1SELL	1479VULN|2DMSP|3SELL|4BPWR|5aAART|6DUR|8RCR
56	35136 22331	 * 	171.26	DCR|4VULN|2AART|1DUR|1SELL	1249VULN|3SELL|4BPWR|57AART|6DUR|8RCR|aRMIN
