0	Index      	 *	Score 	Summary	Detail	
1	34323 42632	 * 	190.51	ACR|3ZMB|1AART|1DMG|2CDMG|1VULN|2ASPD|1SELL	1aCDMG|2aASPD|3SELL|4RCR|5AART|6VULN|7DMG|89aZMB|aBPWR
2	61213 34363	 * 	185.57	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ERES|2CGEN|3aDMG|48VULN|5ZMB|6CDMG|7RCR|9AART
3	22111 13113	 * 	185.14	DCR|3VULN|1AART|1DMG|2CDMG|1DUR|1SELL	1DUST|2AART|367VULN|4SELL|56CDMG|6BPWR|8DUR|9RCR|aDMG
4	33335 14353	 * 	183.13	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1ASPD	15CDMG|2BEXP|3ZMB|4ASPD|6AART|7RCR|89VULN|aDMG
5	35233 32414	 * 	182.98	DCR|2VULN|2DMG|1AART|2CDMG	19CDMG|28VULN|3BELT|49DMG|579LHND|6RCR|9BPWR|aAART
6	22111 43113	 * 	178.72	DCR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1DUST|2AART|367VULN|4SELL|5CDMG|8DUR|9RCR|aDMG
7	54243 47144	 * 	178.26	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1BASICY|2MBVNT|35DMG|46AART|7RCR|8DUR|9CDMG|aVULN
8	22111 13513	 * 	178.20	DCR|3VULN|1AART|1DMG|2CDMG|1SELL	1DUST|2AART|367VULN|4SELL|56CDMG|6BPWR|8LWND|9RCR|aDMG
9	32523 42135	 * 	177.59	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1SELL	1CDMG|2SELL|3MLV|4RCR|5AART|6VULN|78DMG|9ZMB|aDUR
10	32523 42335	 * 	177.59	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1SELL	1CDMG|2SELL|3MLV|4RCR|5AART|68VULN|7DMG|9ZMB|aDUR
11	22132 33546	 * 	177.52	DCR|4VULN|2AART|1CDMG	1DUST|25AART|3678VULN|4MLV|9RCR|aCDMG
12	22132 22115	 * 	177.03	DCR|3VULN|2AART|1DMG	1DUST|25AART|37aVULN|4MLV|6RCR|8DMG|9LIT
13	33215 14253	   	176.09	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	15CDMG|2BEXP|3ERES|4ZMB|6AART|7RCR|89VULN|aDMG
14	62235 13316	 * 	176.07	DCR|3VULN|2DMG|1AART	1ERES|2AART|3RMIN|46LHND|56DMG|6BPWR|78aVULN|9RCR
15	62235 23316	   	175.97	DCR|3VULN|2DMG|1AART	1ERES|2AART|3RMIN|4LHND|56DMG|78aVULN|9RCR
16	33325 21613	   	175.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2BEXP|3ZMB|4LWND|59VULN|6ASPD|7RCR|8AART|aDMG
17	22132 22121	 * 	175.02	DCR|2AART|2VULN|1DMG|1CDMG	1DUST|25AART|37VULN|4MLV|6RCR|8DMG|9CGEN|aCDMG
18	61213 34361	   	174.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ERES|2CGEN|3DMG|48VULN|5ZMB|6CDMG|7RCR|9AART|aDUR
19	22162 32111	   	174.66	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	14DUST|25AART|3VULN|6DUR|78DMG|9RCR|aCDMG
20	22162 32311	   	174.66	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	14DUST|25AART|38VULN|6DUR|7DMG|9RCR|aCDMG
21	62235 13311	   	174.06	DCR|2VULN|2DMG|1AART|1CDMG	1ERES|2AART|3RMIN|46LHND|56DMG|6BPWR|78VULN|9RCR|aCDMG
22	62511 32111	   	174.06	DCR|2VULN|2DMG|1AART|1CDMG	1ERES|2AART|36FEWX|4RMIN|56VULN|6BPWR|78DMG|9RCR|aCDMG
23	62235 23311	   	173.96	DCR|2VULN|2DMG|1AART|1CDMG	1ERES|2AART|3RMIN|4LHND|56DMG|78VULN|9RCR|aCDMG
24	62235 42111	   	173.96	DCR|2VULN|2DMG|1AART|1CDMG	1ERES|2AART|3RMIN|4LHND|58DMG|67VULN|9RCR|aCDMG
25	22163 13111	 * 	173.76	DCR|3VULN|1AART|2ZMB|1CDMG|1DUR	14DUST|2AART|367VULN|56ZMB|6BPWR|8DUR|9RCR|aCDMG
26	34323 42322	 * 	173.53	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR|1SELL	1CDMG|2ASPD|3SELL|4RCR|5AART|6aVULN|7DMG|8DUR|9FEWX
27	34323 42332	 * 	173.53	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR|1SELL	1CDMG|2ASPD|3SELL|4RCR|5AART|6aVULN|7DMG|8DUR|9LHND
28	34323 42362	 * 	173.53	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD|1SELL	1CDMG|2ASPD|3SELL|4RCR|5AART|6aVULN|7DMG|8DUR|9LWND
29	22163 14341	 * 	173.24	DCR|3VULN|1AART|1DMG|2ZMB	14DUST|2AART|36aVULN|56ZMB|6BPWR|7BELT|8DMG|9RCR
30	34112 14251	 * 	172.80	DCR|2VULN|1AART|3DUR|1CDMG|1ZMB|1ASPD	1CDMG|2ASPD|35aDUR|4ZMB|6AART|7RCR|89VULN
31	61252 31363	 * 	172.58	ACR|2VULN|2DMG|1AART|1CDMG	1ERES|2CGEN|3aDMG|4RMIN|5RCR|6CDMG|78VULN|9AART
32	22122 22444	   	172.38	DCR|2AART|2DMG|1VULN|1ZMB	1DUST|25AART|3VULN|4CGEN|6RCR|7aDMG|8ZMB|9LIT
33	34233 14253	 * 	172.33	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1CDMG|24ASPD|3ERES|5BEXP|6AART|7RCR|89VULN|aDMG
34	22122 22421	 * 	172.29	DCR|2AART|1VULN|1DMG|2ZMB|1CDMG	1DUST|25AART|3VULN|4CGEN|6RCR|7DMG|89ZMB|aCDMG
35	64631 13133	 * 	172.20	ACR|3VULN|1AART|1DMG|1ZMB	1ERES|2LIT|3RCR|458VULN|6LWND|7ZMB|9DMG|aAART
36	22634 33311	   	172.05	DCR|2VULN|2DMG|1AART|1ASPD	1DUST|2AART|3RPLT|48DMG|5ASPD|69VULN|7RCR|aLWND
37	22634 33312	   	172.05	DCR|2VULN|2DMG|1AART|1ASPD	1DUST|2AART|3RPLT|48DMG|5ASPD|69VULN|7RCR|aBEXP
38	22634 33313	   	172.05	DCR|2VULN|2DMG|1AART|1ASPD	1DUST|2AART|3RPLT|48DMG|5ASPD|69VULN|7RCR|aRCVC
39	62235 42311	 * 	172.03	DCR|3VULN|1AART|1DMG|1CDMG	1ERES|2AART|3RMIN|4LHND|5DMG|678VULN|9RCR|aCDMG
40	22634 33315	   	171.95	DCR|2VULN|2DMG|1AART|1ASPD	1DUST|2AART|3RPLT|48DMG|5ASPD|69VULN|7RCR|aERES
41	62511 32115	 * 	171.86	DCR|2AART|2VULN|2DMG	1ERES|2aAART|36FEWX|4RMIN|56VULN|6BPWR|78DMG|9RCR
42	54243 47142	 * 	171.85	DCR|2AART|2DMG|1CDMG|1FLTHEA|1DUR	1BASICY|2MBVNT|35DMG|46AART|7RCR|8DUR|9CDMG|aFLTHEA
43	22634 33314	   	171.81	DCR|2VULN|2DMG|1AART|1ASPD|1SELL	1DUST|2AART|3RPLT|48DMG|5ASPD|69VULN|7RCR|aSELL
44	22111 43513	   	171.79	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1DUST|2AART|367VULN|4SELL|5CDMG|8LWND|9RCR|aDMG
45	62133 41116	   	171.76	DCR|2AART|2VULN|2DMG	1ERES|23AART|4LWND|58DMG|6aVULN|7CGEN|9RCR
46	62133 42216	   	171.76	DCR|2AART|2VULN|2DMG	1ERES|23AART|4LWND|57DMG|6aVULN|8CGEN|9RCR
47	62232 42116	   	171.76	DCR|2AART|2VULN|2DMG	1ERES|25AART|3RMIN|4LHND|6aVULN|78DMG|9RCR
