0	Index      	 *	Score 	Summary	Detail	
1	31332 45323	 * 	203.11	DCR|2VULN|2DMG|3CDMG|1AART|2ZMB|1DUR	1RCVC|248CDMG|34DMG|48BPWR|58ZMB|68VULN|7AART|9DUR|aRCR
2	31332 45333	   	196.17	DCR|2VULN|2DMG|3CDMG|1AART|2ZMB	1RCVC|248CDMG|34DMG|48BPWR|58ZMB|68VULN|7AART|9LHND|aRCR
3	31332 45343	   	196.17	DCR|2VULN|2DMG|3CDMG|1AART|2ZMB	1RCVC|248CDMG|34DMG|48BPWR|58ZMB|68VULN|7AART|9LWND|aRCR
4	31332 45313	   	196.07	DCR|2VULN|2DMG|3CDMG|1AART|2ZMB	1RCVC|248CDMG|34DMG|48BPWR|58ZMB|68VULN|7AART|9DUST|aRCR
5	34631 42321	 * 	195.18	DCR|4VULN|3DMG|2ZMB	1RCVC|2LEGI|39ZMB|4579VULN|69aDMG|8RCR|9BPWR
6	46113 34212	   	195.01	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1CDMG|24DMG|35VULN|6RCR|7ZMB|8CGEN|9AART|aDUR
7	34231 42321	 * 	193.87	DCR|4VULN|3DMG|2ASPD	1RCVC|2LEGI|39ASPD|4579VULN|69aDMG|8RCR|9BPWR
8	46113 31326	 * 	193.22	DCR|3VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35aVULN|6RCR|7LIT|8AART|9DUST
9	34631 42323	 * 	193.05	DCR|4VULN|2DMG|3ZMB	1RCVC|2LEGI|39aZMB|4579VULN|69DMG|8RCR|9BPWR
10	46113 32512	   	192.72	DCR|3VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|358VULN|6RCR|7LHND|9AART|aRCVC
11	46113 32513	   	192.72	DCR|3VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|358VULN|6RCR|7LHND|9AART|aDMSP
12	46113 33512	   	192.72	DCR|3VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|358VULN|6RCR|7LWND|9AART|aRCVC
13	46113 33513	   	192.72	DCR|3VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|358VULN|6RCR|7LWND|9AART|aDMSP
14	46113 32511	   	192.62	DCR|3VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|358VULN|6RCR|7LHND|9AART|aERES
15	46113 33511	   	192.62	DCR|3VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|358VULN|6RCR|7LWND|9AART|aERES
16	34631 42322	 * 	192.35	DCR|5VULN|2DMG|2ZMB	1RCVC|2LEGI|39ZMB|4579aVULN|69DMG|8RCR|9BPWR
17	46113 34213	   	191.92	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	1CDMG|24DMG|35VULN|6RCR|7aZMB|8CGEN|9AART
18	34231 42322	 * 	191.04	DCR|5VULN|2DMG|2ASPD	1RCVC|2LEGI|39ASPD|4579aVULN|69DMG|8RCR|9BPWR
19	46113 32121	 * 	190.84	DCR|3VULN|3DMG|2CDMG|1SELL	19CDMG|24aDMG|359VULN|6RCR|79LHND|8SELL|9BPWR
20	46113 33121	 * 	190.84	DCR|3VULN|3DMG|2CDMG|1SELL	19CDMG|24aDMG|359VULN|6RCR|79LWND|8SELL|9BPWR
21	46113 35121	 * 	190.64	DCR|3VULN|3DMG|2CDMG|1SELL	19CDMG|24aDMG|359VULN|6RCR|79DUST|8SELL|9BPWR
22	41613 31523	 * 	189.47	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3CGEN|4DMG|5ZMB|6RCR|7aVULN|89AART
23	41413 31523	   	189.37	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3ERES|4DMG|5ZMB|6RCR|7aVULN|89AART
24	42353 11153	   	189.36	DCR|2VULN|2DMG|1AART|3CDMG|1ASPD	127CDMG|37DMG|4RMIN|5AART|67VULN|7BPWR|8ASPD|9MLV|aRCR
25	46113 32122	 * 	189.28	DCR|4VULN|2DMG|2CDMG|1SELL	19CDMG|24DMG|359aVULN|6RCR|79LHND|8SELL|9BPWR
26	46113 33122	 * 	189.28	DCR|4VULN|2DMG|2CDMG|1SELL	19CDMG|24DMG|359aVULN|6RCR|79LWND|8SELL|9BPWR
