0	Index      	 *	Score 	Summary	Detail	
1	23523 24231	 * 	203.72	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	17LSRHEA|2ZMB|37DMG|47aVULN|5RMIN|6RCR|7BPWR|8CDMG|9AART
2	22533 36621	 * 	200.64	ACR|3VULN|3DMG|1AART|1ZMB	1LSRHEA|236DMG|489VULN|5RCR|7ZMB|aAART
3	61523 26332	   	197.31	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1ASPD	1ASPD|2ZMB|3CDMG|4aDMG|5AART|6RCR|7ERES|89VULN
4	22533 36623	 * 	195.49	ACR|4VULN|3DMG|2ZMB	1aLSRHEA|236DMG|489aVULN|5RCR|7aZMB|aBPWR
5	23523 24232	   	195.01	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	17LSRHEA|2ZMB|37DMG|47VULN|5RMIN|6RCR|7BPWR|8CDMG|9AART|aDUR
6	32111 13514	 * 	194.84	ACR|3VULN|2DMG|1AART|1CDMG	1LEGI|2FEWX|3RCR|47DMG|58aVULN|6AART|9CDMG
7	51356 32212	 * 	194.30	DCR|2VULN|2DMG|3ZMB|1AART	128ZMB|3aCGEN|4ERES|5AART|6RCR|7aDMG|9aVULN|aBPWR
8	22133 35216	 * 	192.24	ACR|3VULN|2DMG|1AART|2ASPD	1aLSRHEA|26DMG|3RCVC|49aVULN|5RCR|7aASPD|8AART|aBPWR
9	61523 26312	 * 	191.17	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB|1ASPD	1ASPD|2ZMB|3CDMG|4aDMG|59AART|6RCR|7ERES|8VULN
10	14142 62333	 * 	190.85	ACR|4VULN|1AART|1DMG|1CDMG	1FEWX|249aVULN|3RCR|5LIT|6DMG|7AART|8CDMG
11	14163 62333	   	190.85	ACR|4VULN|1AART|1DMG|1CDMG	1FEWX|259aVULN|3RCR|4LIT|6DMG|7AART|8CDMG
12	22524 35322	 * 	190.04	ACR|3DMG|2VULN|1AART|1CDMG	1LSRHEA|238DMG|4CDMG|5RCR|6AART|7CGEN|9aVULN
13	22524 36322	   	190.04	ACR|3DMG|2VULN|1AART|1CDMG	1LSRHEA|237DMG|4CDMG|5RCR|6AART|8CGEN|9aVULN
14	22533 33621	   	189.54	ACR|3VULN|3DMG|1AART	1LSRHEA|236DMG|489VULN|5RCR|7ERES|aAART
15	23523 24233	   	189.37	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17LSRHEA|2ZMB|37DMG|47VULN|5RMIN|6RCR|7BPWR|8CDMG|9AART|aRCVC
