0	Index      	 *	Score 	Summary	Detail	
1	53131 11315	 * 	190.07	DCR|4VULN|2DMG|1AART	1DUST|2AART|3567VULN|4CGEN|8aDMG|9RCR
2	53131 11314	 * 	186.13	DCR|4VULN|1AART|1DMG|1CDMG	1DUST|2AART|3567VULN|4CGEN|8DMG|9RCR|aCDMG
3	53131 11312	   	183.48	DCR|4VULN|1AART|1DMG|1ZMB	1DUST|2AART|3567VULN|4CGEN|8DMG|9RCR|aZMB
4	22636 11335	   	183.07	DCR|3VULN|2DMG|1AART|1ZMB	19CGEN|2RCVC|3ZMB|479VULN|5AART|6RMIN|89DMG|9BPWR|aRCR
5	13136 35133	 * 	182.72	DCR|4VULN|1AART|3DUR|1CDMG	18aFEWX|2AART|358aVULN|45LHND|58aBPWR|6CDMG|78aDUR|9RCR
6	65327 41443	   	180.65	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1aVULN|2aDMG|3ZMB|4MBVNT|5LEGI|6FEWX|7AART|8aDUR|9RCR|aBPWR
7	65327 11443	   	180.55	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1aVULN|2aDMG|3ZMB|4MBVNT|5LEGI|6DUST|7AART|8aDUR|9RCR|aBPWR
8	13132 25133	 * 	179.96	DCR|3VULN|2AART|3DUR|1CDMG	18aFEWX|26AART|38aVULN|4LHND|5CDMG|78aDUR|8aBPWR|9RCR
9	53131 11313	   	179.42	DCR|4VULN|1AART|1DMG|1DUR	1DUST|2AART|3567VULN|4CGEN|8DMG|9RCR|aDUR
10	53131 11415	   	179.42	DCR|4VULN|1AART|1DMG|1ASPD	1DUST|2AART|3567VULN|4CGEN|8ASPD|9RCR|aDMG
11	63212 25133	 * 	179.07	DCR|3VULN|1AART|3CDMG|3DUR	18aVULN|28aDUR|3FEWX|4LWND|5AART|6RCVC|78aCDMG|8aBPWR|9RCR
12	63212 42133	   	179.07	DCR|3VULN|1AART|3CDMG|3DUR	18aVULN|28aDUR|37FEWX|4LWND|5AART|68aCDMG|8aBPWR|9RCR
13	63212 44133	   	179.07	DCR|3VULN|1AART|3CDMG|3DUR	18aVULN|28aDUR|3FEWX|4LWND|5AART|68aCDMG|7RCVC|8aBPWR|9RCR
14	63212 65133	   	179.07	DCR|3VULN|1AART|3CDMG|3DUR	18aVULN|28aDUR|3FEWX|46LWND|5AART|78aCDMG|8aBPWR|9RCR
15	63222 25133	   	179.07	DCR|3VULN|1AART|3CDMG|3DUR	18aVULN|28aDUR|3FEWX|4LHND|5AART|6RCVC|78aCDMG|8aBPWR|9RCR
16	63222 42133	   	179.07	DCR|3VULN|1AART|3CDMG|3DUR	18aVULN|28aDUR|37FEWX|4LHND|5AART|68aCDMG|8aBPWR|9RCR
17	63222 44133	   	179.07	DCR|3VULN|1AART|3CDMG|3DUR	18aVULN|28aDUR|3FEWX|4LHND|5AART|68aCDMG|7RCVC|8aBPWR|9RCR
18	13136 25133	 * 	179.02	DCR|4VULN|1AART|3CDMG	18aFEWX|2AART|358aVULN|45LHND|58aBPWR|6LWND|78aCDMG|9RCR
19	32116 42315	 * 	178.80	DCR|2VULN|2DMG|1AART|1FLTHEA|1ASPD	1BELT|27LIT|3ASPD|4DMSP|57DMG|67VULN|7BPWR|8RCR|9FLTHEA|aAART
20	13112 44133	   	177.05	DCR|3VULN|1AART|3CDMG|2DUR	18aFEWX|2AART|38aVULN|4BEXP|57DUR|68aCDMG|8aBPWR|9RCR
21	43132 44133	   	177.05	DCR|3VULN|1AART|3CDMG|2DUR	18aBEXP|2AART|38aVULN|4FEWX|57DUR|68aCDMG|8aBPWR|9RCR
22	63151 42321	   	177.05	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18VULN|26DUR|3RPLT|4MBVNT|56DMG|6BPWR|7ZMB|9AART|aRCR
23	62321 23245	 * 	176.91	DCR|4VULN|3ZMB|3CDMG	1789VULN|2LHND|35RCVC|478CDMG|678ZMB|78BPWR|aRCR
24	13146 31315	   	176.17	DCR|3VULN|2DMG|1AART	15FEWX|2AART|357VULN|4RCVC|5BPWR|6CGEN|8aDMG|9RCR
25	13142 11315	   	176.07	DCR|3VULN|2DMG|1AART	1FEWX|2AART|367VULN|4RCVC|5MLV|8aDMG|9RCR
26	43112 11315	   	176.07	DCR|3VULN|2DMG|1AART	14BEXP|2AART|367VULN|5MLV|8aDMG|9RCR
27	43142 11315	   	176.07	DCR|3VULN|2DMG|1AART	1BEXP|2AART|367VULN|4RCVC|5MLV|8aDMG|9RCR
28	53131 31315	   	175.97	DCR|3VULN|2DMG|1AART	1DUST|2AART|357VULN|46CGEN|8aDMG|9RCR
29	53142 11315	   	175.97	DCR|3VULN|2DMG|1AART	1DUST|2AART|367VULN|4RCVC|5MLV|8aDMG|9RCR
30	53122 11315	   	175.87	DCR|3VULN|2DMG|1AART	14DUST|2AART|367VULN|5MLV|8aDMG|9RCR
31	53134 11315	   	175.87	DCR|3VULN|2DMG|1AART	15DUST|2AART|367VULN|4CGEN|8aDMG|9RCR
32	13136 35131	   	175.60	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	18FEWX|2AART|358VULN|45LHND|58BPWR|6CDMG|78DUR|9RCR|aZMB
33	55341 23311	 * 	174.68	DCR|2VULN|2DMG|3ZMB|1DUR|1ASPD	1DUST|24DMG|347ZMB|4BPWR|5aVULN|6ASPD|8DUR|9RCR
34	65321 51143	 * 	173.31	DCR|3DMG|2VULN|1ZMB|1ASPD	19VULN|279DMG|3ZMB|4MBVNT|5MLV|6RCR|89CGEN|9BPWR|aASPD
35	53131 11414	   	173.01	DCR|4VULN|1AART|1CDMG|1ASPD	1DUST|2AART|3567VULN|4CGEN|8ASPD|9RCR|aCDMG
36	53131 11311	   	172.48	DCR|4VULN|1AART|1DMG	1DUST|2AART|3567VULN|4CGEN|8DMG|9RCR|aMLV
