0	Index      	 *	Score 	Summary	Detail	
1	11123 63123	 * 	216.73	ACR|4VULN|3DMG|1CDMG|2DUR	1349VULN|2RCR|5RCVC|679DMG|89DUR|9BPWR|aCDMG
2	11143 35341	 * 	215.26	ACR|5VULN|2DMG|1AART	13578VULN|2RCR|4RMIN|67DMG|7BPWR|9DUR|aAART
3	11122 33332	 * 	214.42	ACR|5VULN|3DMG|2ASPD	1348aVULN|2RCR|5CGEN|67aDMG|9aASPD|aBPWR
4	11155 33332	   	214.42	ACR|5VULN|3DMG|2ASPD	1358aVULN|2RCR|4CGEN|67aDMG|9aASPD|aBPWR
5	16114 58443	 * 	211.78	DCR|3VULN|3DMG|1AART|2CDMG	17aVULN|2AART|3RPLT|4MBVNT|57CDMG|678DMG|7BPWR|9RCR
6	11332 16152	   	210.34	ACR|4VULN|2DMG|1AART|2ASPD	179aVULN|2RCR|3BEXP|49ASPD|59DMG|6RPLT|8AART|9BPWR
7	11432 16152	   	210.34	ACR|4VULN|2DMG|1AART|2ASPD	179aVULN|2RCR|3FEWX|49ASPD|59DMG|6RPLT|8AART|9BPWR
8	11332 16156	   	209.89	ACR|3VULN|2DMG|1AART|2ASPD|1CDMG	179VULN|2RCR|3BEXP|49ASPD|59DMG|6RPLT|8AART|9BPWR|aCDMG
9	14134 46162	 * 	209.14	ACR|4VULN|2DMG|1AART|2ZMB	169aVULN|29ZMB|3RCR|4MBVNT|59DMG|7RPLT|8AART|9BPWR
10	14134 46164	 * 	208.57	ACR|3VULN|2DMG|3ZMB|1AART	169VULN|29aZMB|3RCR|4MBVNT|59DMG|7RPLT|8AART|9BPWR
11	11143 35111	   	207.71	ACR|5VULN|3DMG	1357aVULN|2RCR|4RMIN|679DMG|7BPWR|8DUR
12	14133 82144	 * 	206.85	ACR|3VULN|2DMG|2CDMG|3DUR|2ZMB	17aVULN|27ZMB|3RCR|4MBVNT|567DUR|7aBPWR|8aDMG|9aCDMG
13	11126 35111	   	205.78	ACR|4VULN|3DMG|1ZMB	134aVULN|2RCR|5ZMB|679DMG|8DUR
14	11143 36322	 * 	205.75	ACR|4VULN|2DMG|2CDMG|1FLTHEA|1SELL	1359VULN|2RCR|4RMIN|69DMG|7SELL|89CDMG|9BPWR|aFLTHEA
15	12222 16152	   	205.54	ACR|4VULN|2DMG|1AART|2ASPD	179aVULN|2FEWX|39ASPD|4RCR|59DMG|6RPLT|8AART|9BPWR
16	14153 26333	 * 	205.31	ACR|4VULN|2DMG|3ZMB	157aVULN|27aZMB|3RCR|47DMG|6BELT|7aBPWR|8ASPD|9aCANSTR
17	12222 16156	   	205.09	ACR|3VULN|2DMG|1AART|2ASPD|1CDMG	179VULN|2FEWX|39ASPD|4RCR|59DMG|6RPLT|8AART|9BPWR|aCDMG
18	11123 63223	   	204.49	ACR|4VULN|3DMG|1CDMG	1349VULN|2RCR|5RCVC|679DMG|89BEXP|9BPWR|aCDMG
19	11123 63323	   	204.49	ACR|4VULN|3DMG|1CDMG	1349VULN|2RCR|5RCVC|679DMG|89FEWX|9BPWR|aCDMG
20	11126 35332	   	203.78	ACR|4VULN|2DMG|1FLTHEA|1ZMB	1348VULN|2RCR|5ZMB|67DMG|9ASPD|aFLTHEA
21	11212 16152	   	203.73	ACR|4VULN|2DMG|1AART	179aVULN|2RCR|3ASPD|49FEWX|59DMG|6RPLT|8AART|9BPWR
22	11212 16156	   	203.28	ACR|3VULN|2DMG|1AART|1CDMG	179VULN|2RCR|3ASPD|49FEWX|59DMG|6RPLT|8AART|9BPWR|aCDMG
23	11123 63121	   	203.08	ACR|4VULN|3DMG|2DUR	1349VULN|2RCR|5RCVC|679DMG|89DUR|9BPWR|aLIT
24	11123 63124	   	203.08	ACR|4VULN|3DMG|2DUR	1349VULN|2RCR|5RCVC|679DMG|89DUR|9BPWR|aLWND
25	11123 63126	   	203.08	ACR|4VULN|3DMG|2DUR	1349VULN|2RCR|5RCVC|679DMG|89DUR|9BPWR|aFEWX
26	16114 58444	   	203.07	DCR|3DMG|2VULN|1AART|2CDMG	17VULN|2AART|3RPLT|4MBVNT|57CDMG|678DMG|7BPWR|9RCR|aDUR
27	11552 31411	   	202.98	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	18VULN|2RCR|3CGEN|48DMG|58ZMB|6DLOT|7AART|8BPWR|9DUR|aCDMG
28	11123 63122	   	202.98	ACR|4VULN|3DMG|2DUR	1349VULN|2RCR|5RCVC|679DMG|89DUR|9BPWR|aTLV
29	11123 63125	   	202.98	ACR|4VULN|3DMG|2DUR	1349VULN|2RCR|5RCVC|679DMG|89DUR|9BPWR|aERES
30	11552 31412	   	202.86	ACR|2VULN|2DMG|3ZMB|1AART	18VULN|2RCR|3CGEN|48DMG|58aZMB|6DLOT|7AART|8BPWR|9DUR
31	11143 35242	   	202.37	ACR|5VULN|3DMG	1357aVULN|2RCR|4RMIN|67aDMG|7aBPWR|8aERES|9RCVC
32	14222 16152	   	201.12	ACR|3VULN|2DMG|1AART|2DUR|1ZMB	19aVULN|2ZMB|39DUR|4RCR|59DMG|67RPLT|8AART|9BPWR
33	16211 11616	 * 	200.97	DCR|4VULN|2DMG|1AART	159aVULN|2AART|3RCVC|4FEWX|6RCR|7aBEXP|8aDMG|aBPWR
34	16211 16316	   	200.97	DCR|4VULN|2DMG|1AART	159aVULN|2AART|3RCVC|4FEWX|6RCR|7aDMG|8aLHND|aBPWR
35	11122 36332	   	200.97	ACR|5VULN|2DMG|2ASPD	1348aVULN|2RCR|5CGEN|6aDMG|7RCVC|9aASPD|aBPWR
36	11133 36332	   	200.97	ACR|5VULN|2DMG|2ASPD	1358aVULN|2RCR|4MLV|6aDMG|7RCVC|9aASPD|aBPWR
37	11155 36332	   	200.97	ACR|5VULN|2DMG|2ASPD	1358aVULN|2RCR|4CGEN|6aDMG|7RCVC|9aASPD|aBPWR
38	16221 11616	   	200.87	DCR|4VULN|2DMG|1AART	159aVULN|2AART|3RCVC|4DUST|6RCR|7aFEWX|8aDMG|aBPWR
39	11124 52311	   	200.87	ACR|5VULN|3DMG	13467VULN|2RCR|567MGNLIT|67BPWR|89aDMG
40	16211 12616	   	200.77	DCR|4VULN|2DMG|1AART	159aVULN|2AART|3RCVC|4FEWX|6RCR|7aDUST|8aDMG|aBPWR
41	16211 16216	   	200.77	DCR|4VULN|2DMG|1AART	159aVULN|2AART|3RCVC|4FEWX|6RCR|7aDMG|8aDUST|aBPWR
42	11143 35611	   	200.77	ACR|5VULN|3DMG	1357aVULN|2RCR|4RMIN|679DMG|7BPWR|8LHND
43	11363 62313	   	200.77	ACR|5VULN|3DMG	14789VULN|2RCR|34BEXP|47BPWR|57DUST|67aDMG
44	11463 62313	   	200.77	ACR|5VULN|3DMG	14789VULN|2RCR|34FEWX|47BPWR|57DUST|67aDMG
45	11143 35335	   	200.52	ACR|5VULN|3DMG|1SELL	13578VULN|2RCR|4RMIN|67aDMG|7aBPWR|9SELL
46	11126 35242	   	200.45	ACR|4VULN|3DMG|1ZMB	134aVULN|2RCR|5ZMB|67aDMG|8aERES|9RCVC|aBPWR
47	14153 26133	 * 	200.27	ACR|3VULN|3DMG|2ZMB	157VULN|27ZMB|3RCR|478DMG|6BELT|7BPWR|9DUR|aASPD
48	14133 82174	 * 	200.18	ACR|3VULN|2DMG|3ZMB|3DUR|1SELL	17aVULN|27aZMB|3RCR|4MBVNT|567DUR|7aBPWR|8aDMG|9SELL
49	14134 16163	   	199.86	ACR|2VULN|2DMG|3ZMB|1AART	19VULN|269ZMB|3RCR|4MBVNT|59DMG|7RPLT|8AART|9BPWR|aDUR
50	14134 72371	   	199.84	ACR|3VULN|3DMG|2ZMB|1CDMG	178VULN|27ZMB|3RCR|4MBVNT|579DMG|6NUKE|7BPWR|aCDMG
51	14152 26213	 * 	199.83	ACR|3VULN|3DMG|3ZMB	179VULN|257ZMB|3RCR|47aDMG|6BELT|7BPWR|8LSRREG
52	11131 25243	   	199.55	ACR|5VULN|1AART|2ASPD|2DUR	1389aVULN|2RCR|4MLV|5AART|68DUR|78ASPD|8BPWR
53	11151 25243	   	199.55	ACR|5VULN|1AART|2ASPD|2DUR	1389aVULN|2RCR|4CGEN|5AART|68DUR|78ASPD|8BPWR
54	11126 32111	   	198.84	ACR|4VULN|3DMG|1ZMB	134aVULN|2RCR|5ZMB|689DMG|7FEWX
55	11126 35611	   	198.84	ACR|4VULN|3DMG|1ZMB	134aVULN|2RCR|5ZMB|679DMG|8LHND
56	11143 35314	   	198.76	ACR|5VULN|2DMG|1CDMG	13578VULN|2RCR|4RMIN|67DMG|7BPWR|9MLV|aCDMG
57	11122 31332	   	198.76	ACR|5VULN|2DMG|2ASPD	1348aVULN|2RCR|57CGEN|6aDMG|9aASPD|aBPWR
58	11155 31332	   	198.76	ACR|5VULN|2DMG|2ASPD	1358aVULN|2RCR|47CGEN|6aDMG|9aASPD|aBPWR
59	14152 26313	   	198.76	ACR|2VULN|2DMG|3ZMB|1AART	17VULN|257ZMB|3RCR|47DMG|6BELT|7BPWR|8ASPD|9BEXP|aAART
60	14152 26333	   	198.76	ACR|2VULN|2DMG|3ZMB|1AART	17VULN|257ZMB|3RCR|47DMG|6BELT|7BPWR|8ASPD|9LWND|aAART
61	11263 16112	   	198.66	ACR|5VULN|2DMG|2ASPD	1579aVULN|2RCR|3aASPD|4LHND|6TLV|8aDMG|aBPWR
62	11552 23232	 * 	198.59	ACR|5VULN|1DMG|2CDMG|1ZMB	1789aVULN|2RCR|39CGEN|4DMG|5ZMB|69CDMG|9BPWR
63	13416 13324	   	198.57	DCR|4VULN|1AART|1DMG|1CDMG	1278VULN|3CGEN|4ASPD|5AART|6RCR|9DMG|aCDMG
64	11613 34352	 * 	198.54	ACR|3VULN|3DMG|1AART	19aVULN|2RCR|39aLIT|457RMIN|69aDMG|8AART|9aBPWR
65	14153 26222	   	198.49	ACR|4VULN|2DMG|2ZMB|1CDMG	1578VULN|27ZMB|3RCR|47DMG|69BELT|7BPWR|aCDMG
66	11352 31341	   	198.27	ACR|4VULN|2DMG|1CDMG|2DUR	179aVULN|2RCR|3BEXP|4RPLT|57DUR|67DMG|7BPWR|8CDMG
67	11452 31341	   	198.27	ACR|4VULN|2DMG|1CDMG|2DUR	179aVULN|2RCR|3FEWX|4RPLT|57DUR|67DMG|7BPWR|8CDMG
68	11363 62611	   	197.99	ACR|4VULN|2DMG|1AART	1479VULN|2RCR|34BEXP|47BPWR|57DUST|67DMG|8AART|aRCVC
69	11434 32225	   	197.84	ACR|3VULN|2DMG|1AART|2ASPD	19aVULN|2RCR|3FEWX|4aASPD|5AART|6TLV|7LSRHEA|8aDMG|aBPWR
70	14152 26211	   	197.82	ACR|3VULN|2DMG|3ZMB|1FLTHEA	179VULN|257ZMB|3RCR|47DMG|6BELT|7BPWR|8LSRREG|aFLTHEA
71	11126 35336	   	197.07	ACR|4VULN|2DMG|1ZMB	1348VULN|2RCR|5ZMB|67DMG|9ASPD|aDUR
72	11126 35353	   	197.07	ACR|4VULN|2DMG|1ZMB	1348VULN|2RCR|5ZMB|67DMG|9DUR|aASPD
73	11126 35363	   	196.84	ACR|4VULN|2DMG|1CDMG|1ZMB	1348VULN|2RCR|5ZMB|67DMG|9LWND|aCDMG
74	14161 11523	 * 	196.80	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	18VULN|2ZMB|3RCR|4BELT|58CDMG|6AART|78DMG|8BPWR|9BEXP|aLHND
75	14161 11511	   	196.70	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	18VULN|2ZMB|3RCR|4BELT|58CDMG|6AART|78DMG|8BPWR|9LWND|aVENICY
76	14161 11513	   	196.70	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	18VULN|2ZMB|3RCR|4BELT|58CDMG|6AART|78DMG|8BPWR|9LWND|aLEGI
77	14161 11521	   	196.70	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	18VULN|2ZMB|3RCR|4BELT|58CDMG|6AART|78DMG|8BPWR|9BEXP|aVENICY
78	14161 11533	   	196.70	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	18VULN|2ZMB|3RCR|4BELT|58CDMG|6AART|78DMG|8BPWR|9DUST|aLHND
79	11363 62613	   	196.69	ACR|4VULN|2DMG|1AART	1479VULN|2RCR|34BEXP|47BPWR|57DUST|67DMG|8AART|aLHND
80	14161 11531	   	196.60	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	18VULN|2ZMB|3RCR|4BELT|58CDMG|6AART|78DMG|8BPWR|9DUST|aVENICY
81	11363 62612	   	196.59	ACR|4VULN|2DMG|1AART	1479VULN|2RCR|34BEXP|47BPWR|57aDUST|67DMG|8AART
82	14134 72215	   	196.50	ACR|3VULN|2DMG|3ZMB|2DUR	17aVULN|27aZMB|3RCR|4MBVNT|57DMG|6NUKE|7aBPWR|8LWND|9aDUR
83	14134 72415	   	196.50	ACR|3VULN|2DMG|3ZMB|2DUR	17aVULN|27aZMB|3RCR|4MBVNT|57DMG|6NUKE|7aBPWR|8FEWX|9aDUR
84	14153 36111	   	196.44	ACR|4VULN|3DMG|1ZMB	157aVULN|2ZMB|3RCR|489DMG|6LHND
85	11332 14152	   	196.24	ACR|3VULN|2DMG|1AART|2ASPD	19aVULN|2RCR|3BEXP|49ASPD|59DMG|67RPLT|8AART|9BPWR
86	11432 14152	   	196.24	ACR|3VULN|2DMG|1AART|2ASPD	19aVULN|2RCR|3FEWX|49ASPD|59DMG|67RPLT|8AART|9BPWR
87	31132 16152	   	196.24	ACR|3VULN|2DMG|1AART|2ASPD	19BEXP|2RCR|37aVULN|49ASPD|59DMG|6RPLT|8AART|9BPWR
88	11332 16151	   	196.24	ACR|3VULN|2DMG|1AART|2ASPD	179VULN|2RCR|3BEXP|49ASPD|59DMG|6RPLT|8AART|9BPWR|aLHND
89	11332 16154	   	196.24	ACR|3VULN|2DMG|1AART|2ASPD	179VULN|2RCR|3BEXP|49ASPD|59DMG|6aRPLT|8AART|9BPWR
90	11432 16151	   	196.24	ACR|3VULN|2DMG|1AART|2ASPD	179VULN|2RCR|3FEWX|49ASPD|59DMG|6RPLT|8AART|9BPWR|aLHND
91	11124 52316	   	196.22	ACR|5VULN|2DMG|1ZMB	13467VULN|2RCR|567MGNLIT|67BPWR|89DMG|aZMB
92	14111 62361	   	196.19	ACR|3VULN|3DMG|1CDMG|1ZMB	178VULN|2ZMB|3RCR|47FEWX|5RMIN|679DMG|7BPWR|aCDMG
93	34123 62361	   	196.19	ACR|3VULN|3DMG|1CDMG|1ZMB	17BEXP|2ZMB|3RCR|4RMIN|578VULN|679DMG|7BPWR|aCDMG
94	11143 35114	   	196.18	ACR|4VULN|3DMG	1357VULN|2RCR|4RMIN|679DMG|7BPWR|8DUR|aRCVC
95	11332 16153	   	196.14	ACR|3VULN|2DMG|1AART|2ASPD	179VULN|2RCR|3BEXP|49ASPD|59DMG|6RPLT|8AART|9BPWR|aERES
96	11363 62632	   	196.14	ACR|3VULN|2DMG|1AART|1CDMG	147VULN|2RCR|34BEXP|47BPWR|579DUST|67DMG|8AART|aCDMG
97	11432 16153	   	196.14	ACR|3VULN|2DMG|1AART|2ASPD	179VULN|2RCR|3FEWX|49ASPD|59DMG|6RPLT|8AART|9BPWR|aERES
98	16114 58442	   	196.13	DCR|3DMG|2VULN|1AART|2CDMG	17VULN|2AART|3RPLT|4MBVNT|57CDMG|678DMG|7BPWR|9RCR|aLHND
99	14112 62361	   	196.09	ACR|3VULN|3DMG|1CDMG|1ZMB	178VULN|2ZMB|3RCR|47FEWX|579DMG|6NUKE|7BPWR|aCDMG
100	11552 31421	   	196.04	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	18VULN|2RCR|3CGEN|48DMG|58ZMB|6DLOT|7AART|8BPWR|9LHND|aCDMG
101	51132 16152	   	196.04	ACR|3VULN|2DMG|1AART|2ASPD	19DUST|2RCR|37aVULN|49ASPD|59DMG|6RPLT|8AART|9BPWR
102	16114 58441	   	196.03	DCR|3DMG|2VULN|1AART|2CDMG	17VULN|2AART|3RPLT|4MBVNT|57CDMG|678DMG|7BPWR|9RCR|aERES
103	11552 31422	   	195.92	ACR|2VULN|2DMG|3ZMB|1AART	18VULN|2RCR|3CGEN|48DMG|58aZMB|6DLOT|7AART|8BPWR|9LHND
104	12143 62313	   	195.87	ACR|5VULN|3DMG	13789VULN|2FEWX|4RCR|57DUST|67aDMG|7BPWR
105	13343 62313	   	195.87	ACR|5VULN|3DMG	12789VULN|3BEXP|4RCR|57DUST|67aDMG|7BPWR
106	13643 62313	   	195.87	ACR|5VULN|3DMG	12789VULN|3FEWX|4RCR|57DUST|67aDMG|7BPWR
107	11552 16332	   	195.52	ACR|4VULN|2DMG|2DUR|1ZMB	179aVULN|2RCR|3CGEN|49DMG|5ZMB|6TLV|89DUR|9BPWR
108	11143 35411	   	195.49	ACR|4VULN|2DMG|1AART	1357VULN|2RCR|4RMIN|67DMG|7BPWR|8LIT|9BEXP|aAART
109	11126 23231	   	195.22	ACR|5VULN|1AART|1CDMG|1ZMB	13478VULN|2RCR|5ZMB|6RPLT|9CDMG|aAART
110	16421 26242	 * 	195.18	DCR|4VULN|2AART|1DMG|1CDMG	1579VULN|24AART|3MBVNT|6DMG|8CDMG|aRCR
111	11552 16333	   	195.07	ACR|3VULN|2DMG|1CDMG|2DUR|1ZMB	179VULN|2RCR|3CGEN|49DMG|5ZMB|6TLV|89DUR|9BPWR|aCDMG
112	14134 46161	   	195.04	ACR|3VULN|2DMG|1AART|2ZMB	169VULN|29ZMB|3RCR|4MBVNT|59DMG|7RPLT|8AART|9BPWR|aLHND
113	14134 46163	   	194.94	ACR|3VULN|2DMG|1AART|2ZMB	169VULN|29ZMB|3RCR|4MBVNT|59DMG|7RPLT|8AART|9BPWR|aERES
