0	Index      	 *	Score 	Summary	Detail	
1	16223 22358	 * 	203.75	ACR|3VULN|2DMG|1AART|2CDMG	1RCR|27LIT|38CDMG|479VULN|5MBVNT|67DMG|7BPWR|aAART
2	16221 16522	 * 	200.61	ACR|3VULN|2AART|2CDMG|1DMG	1RCR|28LIT|38CDMG|489VULN|56AART|7DLOT|8BPWR|aDMG
3	66512 31311	 * 	200.56	DCR|3VULN|3DMG|1AART|1ASPD	1MLV|256VULN|3AART|456DMG|56BPWR|7LHND|8RCR|9ERES|aASPD
4	66512 31313	   	200.56	DCR|3VULN|3DMG|1AART|1DUR	1MLV|256VULN|3AART|456DMG|56BPWR|7LHND|8RCR|9ERES|aDUR
5	66512 32311	   	200.46	DCR|3VULN|3DMG|1AART|1ASPD	1MLV|256VULN|3AART|456DMG|56BPWR|7LEGI|8RCR|9ERES|aASPD
6	66512 32313	   	200.46	DCR|3DMG|3VULN|1AART|1DUR	1MLV|256VULN|3AART|456DMG|56BPWR|7LEGI|8RCR|9ERES|aDUR
7	16223 22158	   	197.44	ACR|3VULN|2DMG|1AART|1CDMG	1RCR|27LIT|3CDMG|479VULN|5MBVNT|67DMG|7BPWR|8DMSP|aAART
8	51513 24543	   	195.91	DCR|3DMG|2VULN|1AART|1ZMB|1ASPD	17LHND|247DMG|3AART|5MBVNT|67VULN|7BPWR|8RCR|9ASPD|aZMB
9	16221 21452	 * 	194.73	ACR|4VULN|1AART|1CDMG|1ZMB|1DUR	1RCR|2LIT|3CDMG|489aVULN|5AART|6ZMB|7DUR
10	16221 21462	 * 	194.28	ACR|3VULN|1AART|1FLTHEA|1CDMG|1ZMB|1DUR	1RCR|2LIT|3CDMG|48aVULN|5AART|6ZMB|7DUR|9FLTHEA
11	16225 25132	 * 	193.75	ACR|4VULN|1AART|1DMG|1CDMG	1RCR|2LIT|3CDMG|4789VULN|5DMG|6VENICY|aAART
