0	Index      	 *	Score 	Summary	Detail	
1	15616 13232	 * 	209.07	DCR|3DMG|2VULN|1AART|2CDMG|1DUR	1aVULN|25CDMG|359DMG|4AART|5BPWR|6RCR|7LIT|8DUR
2	16113 13345	   	203.12	DCR|3DMG|2VULN|1AART|1CDMG|1ZMB	17VULN|2AART|3FEWX|49aDMG|5ZMB|6CDMG|8RCR
3	16113 13335	 * 	198.91	DCR|2AART|2VULN|2DMG|1CDMG|1ZMB	17VULN|29AART|3FEWX|4aDMG|5ZMB|6CDMG|8RCR
4	15616 13222	   	198.42	DCR|3DMG|1AART|1VULN|2CDMG|1DUR|1ASPD	1VULN|25CDMG|35aDMG|4AART|5BPWR|6RCR|7LIT|8DUR|9ASPD
5	61334 12131	 * 	197.37	ACR|3VULN|2DMG|1CDMG|2DUR|1ZMB	1RCR|25DUR|34DMG|68aVULN|7ZMB|9CDMG
6	61342 23136	 * 	196.83	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	1RCR|2DUR|3aDMG|4LHND|5AIRHEL|6aCDMG|7AART|8CGEN|9aVULN|aBPWR
7	61326 22522	   	196.76	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	1RCR|2DUR|3aDMG|4ASPD|56VULN|7CDMG|8AART|9LIT
8	63532 32531	 * 	196.30	ACR|3VULN|3DMG|3ASPD	1RCR|29aVULN|3AIRHEL|49aDMG|59aASPD|68RMIN|7DMSP|9aBPWR
9	61533 23342	   	195.62	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	1RCR|28DUR|3CANSTR|4aDMG|59VULN|6CDMG|7AART
10	61332 54313	   	195.41	ACR|3VULN|3DMG|2DUR|1ASPD	1RCR|29DUR|349DMG|5LWND|6MBVNT|7ASPD|89aVULN|9BPWR
11	61333 54313	   	195.41	ACR|3VULN|3DMG|2DUR|1ASPD	1RCR|29DUR|349DMG|5BEXP|6MBVNT|7ASPD|89aVULN|9BPWR
12	16411 13222	   	195.14	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	14VULN|2AART|3CDMG|5ASPD|6RCR|7LIT|8DUR|9aDMG
13	61336 12131	   	194.88	ACR|3VULN|2DMG|1CDMG|1ZMB|1DUR	1RCR|2DUR|34DMG|5RCVC|68aVULN|7ZMB|9CDMG
14	12336 25153	 * 	194.25	ACR|5VULN|1AART|1CDMG|2DUR	15678VULN|27BEXP|3RCR|47DUR|7BPWR|9CDMG|aAART
15	14532 32531	   	193.90	ACR|3VULN|3DMG|3ASPD	19aVULN|2RCR|3AIRHEL|49aDMG|59aASPD|68RMIN|7DMSP|9aBPWR
16	61322 11738	 * 	193.53	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1RCR|2DUR|3DMG|4ASPD|5CDMG|6MBVNT|789VULN|aAART
17	63332 12165	   	193.04	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	1RCR|28VULN|3RMIN|4aDMG|5SELL|6CDMG|7ZMB|9AART
18	61333 35114	 * 	192.78	ACR|3DMG|1AART|1VULN|1CDMG|2DUR	1RCR|28DUR|348DMG|5BEXP|6CDMG|78MGNSTR|8BPWR|9AART|aVULN
19	16112 13345	   	192.02	DCR|3DMG|2VULN|1AART|1CDMG	17VULN|2AART|3FEWX|49aDMG|5ERES|6CDMG|8RCR
20	61533 23432	   	191.93	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1RCR|2DUR|3CANSTR|4aDMG|58VULN|6CDMG|7AART|9RCVC
21	15616 13231	   	191.48	DCR|3DMG|1AART|1VULN|2CDMG|1DUR	1VULN|25CDMG|359DMG|4AART|5BPWR|6RCR|7LIT|8DUR|aBEXP
22	15616 13322	   	191.48	DCR|3DMG|1AART|1VULN|2CDMG|1ASPD	1VULN|25CDMG|35aDMG|4AART|5BPWR|6RCR|7LIT|8BEXP|9ASPD
23	61332 12316	   	191.47	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	1RCR|29DUR|34DMG|59LWND|6FEWX|7ZMB|89VULN|9BPWR|aAART
24	63342 32215	   	191.45	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1RCR|257VULN|3RMIN|45LHND|5BPWR|6CDMG|8ZMB|9AART|aDMG
25	15616 13212	   	191.38	DCR|3DMG|1AART|1VULN|2CDMG|1DUR	1VULN|25CDMG|35aDMG|4AART|5BPWR|6RCR|7LIT|8DUR|9ERES
26	15616 13233	   	191.38	DCR|3DMG|1AART|1VULN|2CDMG|1DUR	1VULN|25CDMG|359DMG|4AART|5BPWR|6RCR|7LIT|8DUR|aLSRREG
27	31313 31325	 * 	191.37	DCR|4VULN|3DMG|1CDMG	1NUKE|2378VULN|4ERES|578BASICY|678DMG|78BPWR|9RCR|aCDMG
28	31353 31325	   	191.37	DCR|4VULN|3DMG|1CDMG	1NUKE|2378VULN|4TLV|578BASICY|678DMG|78BPWR|9RCR|aCDMG
29	61334 12113	   	191.27	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	1RCR|25DUR|34DMG|68VULN|7ZMB|9BEXP|aAART
30	61334 12153	   	191.27	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	1RCR|25DUR|34DMG|68VULN|7ZMB|9FEWX|aAART
31	61326 26313	   	190.88	ACR|3VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1RCR|2DUR|3DMG|4ASPD|568VULN|7ZMB|9TLV|aAART
32	61326 26333	   	190.88	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1RCR|2DUR|3DMG|4ASPD|568VULN|7ZMB|9NUKE|aAART
33	61332 54315	   	190.76	ACR|3DMG|2VULN|2DUR|1ZMB|1ASPD	1RCR|29DUR|349DMG|5LWND|6MBVNT|7ASPD|89VULN|9BPWR|aZMB
34	61333 54315	   	190.76	ACR|3DMG|2VULN|2DUR|1ZMB|1ASPD	1RCR|29DUR|349DMG|5BEXP|6MBVNT|7ASPD|89VULN|9BPWR|aZMB
35	61322 15453	 * 	190.67	ACR|3DMG|1VULN|2ZMB|1CDMG|2DUR|1ASPD	1RCR|29DUR|379DMG|4ASPD|5CDMG|6MBVNT|89ZMB|9BPWR|aVULN
36	14332 12165	   	190.64	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	18VULN|2RCR|3RMIN|4aDMG|5SELL|6CDMG|7ZMB|9AART
37	61326 22531	 * 	190.62	ACR|2VULN|2AART|1DMG|1CDMG|1ASPD|1DUR	1RCR|2DUR|3DMG|4ASPD|56VULN|7CDMG|89AART|aLIT
