0	Index      	 *	Score 	Summary	Detail	
1	11442 32343	 * 	197.67	ACR|4VULN|1AART|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|569aVULN|6BPWR|7DMG|8AART
2	11442 32342	 * 	195.01	ACR|3VULN|2AART|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|569VULN|6BPWR|7DMG|8aAART
3	11622 63533	 * 	190.42	DCR|3VULN|2DMG|1AART|1CDMG	147LHND|2CDMG|37DMG|5AART|67aVULN|7BPWR|8RCR|9ERES
4	16323 16411	 * 	183.61	DCR|3DMG|2VULN|1AART|1ASPD	1LHND|2ASPD|3BELT|4aVULN|5AART|679DMG|8RCR
5	11442 32341	   	183.57	ACR|3VULN|1AART|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|569VULN|6BPWR|7DMG|8AART|aRPLT
6	11442 32363	   	183.57	ACR|3VULN|1AART|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|56aVULN|6BPWR|7DMG|8AART|9CGEN
7	11442 32333	   	183.47	ACR|3VULN|1AART|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|56aVULN|6BPWR|7DMG|8AART|9ERES
8	16322 26411	   	183.01	DCR|3DMG|2VULN|1AART|1ASPD	1LHND|2ASPD|3BELT|4aVULN|579DMG|6AART|8RCR
9	11622 63521	   	181.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	147LHND|2CDMG|37DMG|5AART|67VULN|7BPWR|8RCR|9DUR|aCGEN
10	11622 63522	   	181.70	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	147LHND|2CDMG|37DMG|5AART|67VULN|7BPWR|8RCR|9DUR|aDUST
11	11622 63523	   	181.70	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	147LHND|2CDMG|37DMG|5AART|67VULN|7BPWR|8RCR|9DUR|aTLV
12	11442 32211	   	180.20	ACR|4VULN|1DMG|2CDMG|1DUR	1LHND|26CDMG|3RCVC|4RCR|5689VULN|6BPWR|7DMG|aDUR
13	11442 32215	   	180.20	ACR|4VULN|1DMG|2CDMG|1ASPD	1LHND|26CDMG|3RCVC|4RCR|5689VULN|6BPWR|7DMG|aASPD
14	31442 32211	   	180.10	ACR|4VULN|1DMG|2CDMG|1DUR	1DUST|26CDMG|3RCVC|4RCR|5689VULN|6BPWR|7DMG|aDUR
15	31442 32215	   	180.10	ACR|4VULN|1DMG|2CDMG|1ASPD	1DUST|26CDMG|3RCVC|4RCR|5689VULN|6BPWR|7DMG|aASPD
