0	Index      	 *	Score 	Summary	Detail	
1	31353 15323	 * 	215.61	ACR|3DMG|2VULN|3ZMB|1AART|2DUR	16aDMG|2aVULN|3LWND|46DUR|5RCR|6aBPWR|78aZMB|9AART
2	31533 15323	   	210.31	ACR|3DMG|2VULN|3ZMB|1AART	16aDMG|2aVULN|3DUR|46LWND|5RCR|6aBPWR|78aZMB|9AART
3	31253 56331	   	206.38	ACR|3DMG|2VULN|1AART|2ASPD|1ZMB	17aDMG|27VULN|3BEXP|4DUR|5RCR|67ASPD|7BPWR|8ZMB|9AART
4	31653 15223	 * 	205.79	ACR|3DMG|2VULN|1AART|3DUR|2ZMB	18aDMG|26VULN|3LEGI|46aDUR|5RCR|6aBPWR|7aZMB|9AART
5	31653 15323	 * 	203.67	ACR|2VULN|2DMG|3ZMB|1AART|3DUR	1aDMG|26VULN|3LEGI|46aDUR|5RCR|6aBPWR|78aZMB|9AART
6	31253 56333	 * 	202.17	ACR|2VULN|2DMG|2AART|2ASPD|1ZMB	17DMG|27VULN|3BEXP|4DUR|5RCR|67ASPD|7BPWR|8ZMB|9aAART
7	31353 34223	   	201.98	ACR|3DMG|2VULN|1AART|2ZMB|2DUR	18aDMG|2aVULN|3LWND|47DUR|5RCR|6aZMB|9AART|aBPWR
8	31353 45223	   	201.98	ACR|3DMG|2VULN|1AART|2ZMB|2DUR	18aDMG|2aVULN|3LWND|46DUR|5RCR|7aZMB|9AART|aBPWR
9	31533 34223	   	201.98	ACR|3DMG|2VULN|1AART|2ZMB|2DUR	18aDMG|2aVULN|37DUR|4LWND|5RCR|6aZMB|9AART|aBPWR
10	31533 45223	   	201.98	ACR|3DMG|2VULN|1AART|2ZMB|2DUR	18aDMG|2aVULN|36DUR|4LWND|5RCR|7aZMB|9AART|aBPWR
11	31533 12223	   	200.77	ACR|3DMG|2VULN|1AART|2ASPD|2DUR	16aDMG|2aVULN|37DUR|46LWND|5RCR|6aBPWR|8aASPD|9AART
12	31353 54223	   	200.67	ACR|3DMG|2VULN|1AART|2ASPD|2DUR	18aDMG|2aVULN|3LWND|47DUR|5RCR|6aASPD|9AART|aBPWR
13	31533 54223	   	200.67	ACR|3DMG|2VULN|1AART|2ASPD|2DUR	18aDMG|2aVULN|37DUR|4LWND|5RCR|6aASPD|9AART|aBPWR
14	31353 34323	   	199.85	ACR|2VULN|2DMG|3ZMB|1AART|2DUR	1aDMG|2aVULN|3LWND|47DUR|5RCR|68aZMB|9AART|aBPWR
15	31353 45323	   	199.85	ACR|2VULN|2DMG|3ZMB|1AART|2DUR	1aDMG|2aVULN|3LWND|46DUR|5RCR|78aZMB|9AART|aBPWR
16	31533 34323	   	199.85	ACR|2VULN|2DMG|3ZMB|1AART|2DUR	1aDMG|2aVULN|37DUR|4LWND|5RCR|68aZMB|9AART|aBPWR
17	31533 45323	   	199.85	ACR|2VULN|2DMG|3ZMB|1AART|2DUR	1aDMG|2aVULN|36DUR|4LWND|5RCR|78aZMB|9AART|aBPWR
18	31353 33223	   	198.89	ACR|3DMG|2VULN|1AART|2ZMB	18aDMG|2aVULN|3LWND|4DUR|5RCR|6aZMB|7RCVC|9AART|aBPWR
19	31533 33223	   	198.89	ACR|3DMG|2VULN|1AART|2ZMB	18aDMG|2aVULN|3DUR|4LWND|5RCR|6aZMB|7RCVC|9AART|aBPWR
20	31253 15226	   	198.02	ACR|3DMG|2VULN|1AART|2DUR|1ZMB	168DMG|2aVULN|3BEXP|46DUR|5RCR|6BPWR|7ZMB|9AART
