0	Index      	 *	Score 	Summary	Detail	
1	35321 35263	 * 	306.56	橙橙2易伤2矿等1伤害	13易伤2平台48矿等5激光减费6a核7伤害9技能点
2	35321 35363	   	296.15	橙橙2易伤1伤害1矿等2平台	13易伤28平台4矿等5激光减费6a核7伤害9技能点
3	34225 35233	   	291.05	橙橙2易伤1伤害1矿等	15易伤2随机矿3平台4立即金币6a核7伤害8矿等9激光减费
4	33112 62365	 * 	289.14	橙5易伤2伤害3攻速	1289a易伤3赏金邻近459攻速6核79伤害9序列升级
5	43322 36521	   	288.87	橙橙2矿等1易伤1伤害	1低血量敌人2易伤3赏金塔4时间57矿等6全技能89核a伤害
6	33112 63115	 * 	287.43	橙橙2易伤2攻速1矿等	12易伤3赏金邻近45攻速6a核7加一8矿等9金币生成
7	35321 36263	   	286.26	橙橙2易伤2矿等1策反	13易伤2平台48矿等5激光减费6a核7策反9技能点
8	31343 62382	   	285.72	橙橙2易伤1伤害1攻速	13易伤2金币生成4攻速5伤害6加一7防空对甲8a核9时间
9	33134 41521	   	281.93	橙橙2易伤1伤害	12易伤3赏金邻近4敌人爆炸5全技能6时间7金币生成89核a伤害
10	33134 53521	   	281.93	橙橙2易伤1伤害	12易伤3赏金邻近4敌人爆炸5全技能6金币生成7时间89核a伤害
11	33112 62154	   	281.91	橙4易伤2伤害3攻速	129a易伤3赏金邻近459攻速6核79伤害8平台9序列升级
12	33141 53521	   	281.73	橙橙2易伤1伤害	12易伤3赏金邻近4技能点5挖尘6全技能7时间89核a伤害
13	33322 63515	   	281.39	橙橙2易伤1伤害1矿等	12易伤3双倍矿4赏金塔5矿等6a核7加一8伤害9金币生成
14	33322 63825	   	281.29	橙橙2易伤1伤害1矿等	12易伤3双倍矿4赏金塔5矿等6a核7加一8掉矿9伤害
15	33325 63125	   	281.29	橙橙2易伤1伤害1矿等	12易伤3双倍矿4赏金塔5掉矿6a核7加一8矿等9伤害
16	31343 62342	   	277.41	橙橙2易伤1伤害1攻速	13易伤2金币生成4攻速5伤害6加一7防空对甲8a核9敌人爆炸
17	31343 62352	   	277.41	橙橙2易伤1伤害1攻速	13易伤2金币生成4攻速5伤害6加一7防空对甲8a核9低血量敌人
18	31343 62372	   	277.41	橙橙2易伤1伤害1攻速	13易伤2金币生成4攻速5伤害6加一7防空对甲8a核9最后敌人
19	31343 62742	   	277.41	橙橙2易伤1伤害1攻速	13易伤2金币生成4攻速5伤害6加一7防空对甲8敌人爆炸9a核
20	31343 62142	   	277.31	橙橙2易伤1伤害1攻速	13易伤2金币生成4攻速5伤害6加一7防空对甲8挖尘9a核
21	33322 66142	   	276.94	橙橙2易伤2矿等	12易伤3双倍矿4赏金塔58矿等6a核7挖尘9金币生成
22	33322 66122	   	276.84	橙橙2易伤2矿等	12易伤3双倍矿4赏金塔58矿等6a核7挖尘9技能点
23	33522 66122	   	276.74	橙橙2易伤2矿等	12易伤3激光减费4赏金塔58矿等6a核7挖尘9技能点
