0	Index      	 *	Score 	Summary	Detail	
1	63526 42241	 * 	274.98	橙橙2易伤1矿等1暴击	1加一2金币生成3额外掉落4最后敌人57易伤69核8矿等a暴击
2	63526 42242	   	261.23	橙橙2易伤1矿等	1加一2金币生成3额外掉落4最后敌人57易伤69核8矿等a技能点
3	63526 42243	   	261.23	橙橙2易伤1矿等	1加一2金币生成3额外掉落4最后敌人57易伤69核8矿等a爆破对冰
4	63526 42244	   	261.23	橙橙2易伤1矿等	1加一2金币生成3额外掉落4最后敌人57易伤69核8矿等a掉矿
5	64351 33473	 * 	255.32	橙橙1易伤1伤害1平台	1加一2掉矿3双倍秒伤4伤害5挖尘6a核7平台8时间9易伤
6	23241 33355	   	254.20	橙橙1易伤1矿等1全技能1平台1策反	1平台2雷电3挖青4易伤5矿等6策反7赏金塔8a核9全技能
7	62176 33133	   	253.46	橙橙2易伤1平台	1加一2技能3赏金邻近4等级5敌人爆炸6平台7a核89易伤
8	62186 33133	   	253.36	橙橙2易伤1平台	1加一2技能3赏金邻近4掉矿5敌人爆炸6平台7a核89易伤
9	64161 33473	   	248.91	橙橙1易伤1攻速1平台	1加一2掉矿3攻速4双倍秒伤5挖尘6a核7平台8时间9易伤
10	32121 26411	   	248.88	橙橙1易伤1矿等1暴击	14敌人爆炸2易伤3暴击5最后敌人68核7雷电9金币生成a矿等
11	32121 26431	   	248.88	橙橙1易伤1矿等1暴击	14敌人爆炸2易伤3暴击5最后敌人68核7雷电9等级a矿等
12	32124 26411	   	248.88	橙橙1易伤1矿等1暴击	14敌人爆炸2易伤3暴击5低血量敌人68核7雷电9金币生成a矿等
13	32124 26431	   	248.88	橙橙1易伤1矿等1暴击	14敌人爆炸2易伤3暴击5低血量敌人68核7雷电9等级a矿等
14	32235 26411	   	248.88	橙橙1易伤1矿等1暴击	13敌人爆炸2易伤4最后敌人5暴击68核7雷电9金币生成a矿等
15	32235 26431	   	248.88	橙橙1易伤1矿等1暴击	13敌人爆炸2易伤4最后敌人5暴击68核7雷电9等级a矿等
16	31132 26436	   	248.78	橙橙1易伤1矿等1暴击	1敌人爆炸2低血量敌人3暴击4矿等5掉矿68核7雷电9等级a易伤
17	11436 51131	   	248.78	橙橙1易伤1矿等1暴击	1掉矿2敌人爆炸3额外掉落4暴击5矿等6基地爆炸7最后敌人8易伤9a核
18	32622 16313	 * 	247.96	紫橙2易伤1攻速1全技能1平台	1敌人爆炸2a易伤3平台47核5基地爆炸6金币生成8攻速9全技能
19	23334 53118	   	247.32	橙橙1易伤1伤害1平台	1平台2雷电3敌人爆炸4加一5额外掉落6a核7易伤8金币生成9伤害
20	61731 21163	   	247.22	橙橙1易伤1伤害1平台	1加一2低血量敌人3平台4易伤5伤害6技能点7a核8立即金币9赏金邻近
21	64351 33273	   	247.02	橙橙1易伤1伤害1平台	1加一2掉矿3双倍秒伤4伤害5挖尘6a核7平台8敌人爆炸9易伤
22	63523 72241	   	246.07	紫橙2易伤1矿等1暴击	1加一2金币生成3额外掉落4最后敌人59核67易伤8矿等a暴击
