0	Index      	 *	Score 	Summary	Detail	
1	26151 13412	 * 	293.96	橙橙3易伤1伤害1卖塔	1挖尘25a易伤3伤害4卖塔6时间7掉矿89核
2	26134 32223	 * 	290.46	橙5易伤3伤害1攻速1全技能	17挖尘24579易伤357伤害57序列升级6核8攻速a全技能
3	26134 32225	   	290.46	橙5易伤3伤害1攻速1平台	17挖尘24579易伤357伤害57序列升级6核8攻速a平台
4	26134 32326	   	285.75	橙4易伤3伤害1矿等1平台	17挖尘2457易伤357伤害57序列升级6核8平台9时间a矿等
5	26134 32324	   	281.87	橙4易伤3伤害1攻速1平台	17挖尘2457易伤357伤害57序列升级6核8平台9时间a攻速
6	26134 32234	   	281.44	橙4易伤3伤害1矿等1攻速	17挖尘2457易伤357伤害57序列升级6核8攻速9基地爆炸a矿等
7	26134 32212	   	281.34	橙4易伤3伤害1矿等1攻速	179挖尘2457易伤357伤害57序列升级6核8攻速a矿等
8	26134 32221	   	280.80	橙5易伤3伤害1攻速	17挖尘24579易伤357伤害57序列升级6核8攻速a基地爆炸
9	26134 32226	   	280.80	橙5易伤3伤害1攻速	17挖尘24579易伤357伤害57序列升级6核8攻速a最后敌人
10	26134 32232	   	280.80	橙5易伤3伤害1攻速	17挖尘2457a易伤357伤害57序列升级6核8攻速9基地爆炸
11	26134 32262	   	280.80	橙5易伤3伤害1攻速	17挖尘2457a易伤357伤害57序列升级6核8攻速9最后敌人
12	26134 32222	   	280.70	橙5易伤3伤害1攻速	17挖尘24579易伤357伤害57序列升级6核8攻速a毒液对毒
13	26134 32224	   	280.70	橙5易伤3伤害1攻速	17挖尘24579易伤357伤害57序列升级6核8攻速a挖青
14	26134 32233	   	277.55	橙4易伤3伤害1暴击1攻速	17挖尘2457易伤357伤害57序列升级6核8攻速9基地爆炸a暴击
15	26134 32263	   	277.55	橙4易伤3伤害1暴击1攻速	17挖尘2457易伤357伤害57序列升级6核8攻速9最后敌人a暴击
16	26134 32623	   	277.45	橙4易伤3伤害1矿等1全技能	17挖尘2457易伤357伤害57序列升级6核8全技能9额外掉落a矿等
17	26134 32633	   	277.45	橙4易伤3伤害1矿等1全技能	17挖尘2457易伤357伤害57序列升级6核8全技能9雷电a矿等
18	26134 32123	   	276.56	橙5易伤3伤害1全技能1策反	17挖尘24579易伤357伤害57序列升级6核8策反a全技能
19	26134 32125	   	276.56	橙5易伤3伤害1平台1策反	17挖尘24579易伤357伤害57序列升级6核8策反a平台
20	26134 34332	   	275.99	橙4易伤3伤害1矿等	1挖尘245a易伤358伤害5序列升级6核7时间9矿等
21	26134 32321	   	275.16	橙4易伤3伤害1平台	17挖尘2457易伤357伤害57序列升级6核8平台9时间a核弹
22	26134 32235	   	273.56	橙4易伤3伤害1攻速1平台	17挖尘2457易伤357伤害57序列升级6核8攻速9基地爆炸a平台
23	26134 32312	   	273.56	橙4易伤3伤害1暴击1平台	17挖尘2457易伤357伤害57序列升级6核8平台9金币生成a暴击
24	26134 32332	   	273.46	橙4易伤3伤害1暴击1平台	17挖尘2457易伤357伤害57序列升级6核8平台9掉矿a暴击
25	26151 13411	 * 	271.82	橙橙2易伤1伤害1卖塔	1挖尘25易伤3伤害4卖塔6时间7掉矿89核a基地爆炸
26	26151 13413	 * 	271.72	橙橙2易伤1伤害1卖塔	1挖尘25易伤3伤害4卖塔6时间7掉矿89核a技能点
27	26134 34333	   	270.48	橙3易伤3伤害1矿等1暴击	1挖尘245易伤358伤害5序列升级6核7时间9矿等a暴击
28	26134 32611	   	269.47	橙4易伤3伤害1全技能1平台	179挖尘2457易伤357伤害57序列升级6核8全技能a平台
29	26134 32322	   	268.22	橙4易伤3伤害1平台	17挖尘2457易伤357伤害57序列升级6核8平台9时间a基地爆炸
30	26134 32323	   	268.22	橙4易伤3伤害1平台	17挖尘2457易伤357伤害57序列升级6核8平台9时间a金币生成
31	26134 32325	   	268.22	橙4易伤3伤害1平台	17挖尘2457易伤357伤害57序列升级6核8平台9时间a赏金塔
32	26134 32412	   	267.69	橙4易伤3伤害1矿等	179挖尘2457易伤357伤害57序列升级6核8金币生成a矿等
33	26134 32512	   	267.59	橙4易伤3伤害1矿等	179挖尘2457易伤357伤害57序列升级6核8掉矿a矿等
34	26134 32134	   	267.54	橙4易伤3伤害1矿等1策反	17挖尘2457易伤357伤害57序列升级6核8策反9基地爆炸a矿等
35	26134 32112	   	267.44	橙4易伤3伤害1矿等1策反	179挖尘2457易伤357伤害57序列升级6核8策反a矿等
36	26134 32432	   	267.15	橙5易伤3伤害	17挖尘2457a易伤357伤害57序列升级6核8金币生成9基地爆炸
37	26134 32532	   	267.05	橙5易伤3伤害	17挖尘2457a易伤357伤害57序列升级6核8掉矿9基地爆炸
38	26134 32121	   	266.90	橙5易伤3伤害1策反	17挖尘24579易伤357伤害57序列升级6核8策反a基地爆炸
