0	Index      	 *	Score 	Summary	Detail	
1	21563 51332	 * 	254.47	紫2攻速1易伤2基地爆炸2基础对冰1伤害2暴击1全技能	1a攻速2易伤3a基础对冰4核59基地爆炸6全技能7伤害8a暴击a序列升级
2	51563 33222	 * 	252.94	紫2攻速2伤害1易伤2基础对冰1全技能1基地爆炸1暴击	1a伤害2易伤3a基础对冰4核5基地爆炸6立即金币7暴击8全技能9a攻速a序列升级
3	21563 33225	 * 	246.42	紫3攻速2易伤2暴击1基础对冰1全技能1基地爆炸	19a攻速2a易伤3基础对冰4核5基地爆炸6立即金币7a暴击8全技能a序列升级
4	51562 33222	   	239.29	紫2攻速2伤害1易伤2基础对冰1全技能1暴击	1a伤害2易伤3a基础对冰4核5敌人爆炸6立即金币7暴击8全技能9a攻速a序列升级
5	51563 13323	 * 	238.98	紫3易伤2攻速2伤害1基础对冰1基地爆炸	17伤害27a易伤3基础对冰4核5基地爆炸67a挖尘7a序列升级8技能点9a攻速
6	21561 34122	 * 	236.59	紫1基础对甲1易伤1攻速1伤害1基础对冰1基地爆炸1暴击	1攻速2易伤3基础对冰4核5火球减费6掉矿7伤害8基础对甲9暴击a基地爆炸
7	21166 53122	 * 	235.41	紫1基础对甲2伤害1易伤1攻速1基地爆炸1暴击	1攻速2易伤3防空对直升4核5技能点67伤害8基础对甲9暴击a基地爆炸
8	21163 51362	 * 	235.22	紫3攻速1易伤3暴击1伤害1基地爆炸1全技能	19a攻速2易伤39a防空对直升4核5基地爆炸6全技能7伤害89a暴击9a序列升级
9	21562 33225	   	232.77	紫3攻速2易伤2暴击1基础对冰1全技能	19a攻速2a易伤3基础对冰4核5敌人爆炸6立即金币7a暴击8全技能a序列升级
10	64331 11163	 * 	230.06	紫1基础对甲2基地爆炸1攻速1伤害1暴击1全技能	16基地爆炸2双倍秒伤3全技能4核5伤害7技能点8攻速9基础对甲a暴击
11	21166 24122	 * 	230.06	紫2易伤1基础对甲1攻速1伤害1基地爆炸1暴击	1攻速26易伤3防空对直升4核5技能点7伤害8基础对甲9暴击a基地爆炸
12	21561 34111	 * 	226.88	紫1基础对甲2攻速1易伤1基础对冰1伤害	1a攻速2易伤3基础对冰4核5火球减费6掉矿7伤害8基础对甲9策反
13	21163 33225	   	226.25	紫3攻速2易伤2暴击1基地爆炸1全技能	19a攻速2a易伤3防空对直升4核5基地爆炸6立即金币7a暴击8全技能a序列升级
14	21163 51332	   	225.78	紫2攻速1易伤2基地爆炸2暴击1伤害1全技能	1a攻速2易伤3a防空对直升4核59基地爆炸6全技能7伤害8a暴击a序列升级
15	21166 53111	 * 	225.69	紫1基础对甲2攻速2伤害1易伤	1a攻速2易伤3防空对直升4核5技能点67伤害8基础对甲9策反
16	51563 13321	   	225.65	紫2易伤2攻速2伤害1基础对冰1基地爆炸	17伤害27易伤3基础对冰4核5基地爆炸67挖尘7序列升级8技能点9a攻速
17	51562 13323	   	225.33	紫3易伤2攻速2伤害1基础对冰	17伤害27a易伤3基础对冰4核5敌人爆炸67a挖尘7a序列升级8技能点9a攻速
18	64331 11161	   	224.71	紫1基础对甲2基地爆炸1攻速1伤害1全技能1技能	16基地爆炸2双倍秒伤3全技能4核5伤害7技能点8攻速9基础对甲a技能
