0	Index      	 *	Score 	Summary	Detail	
1	21453 26233	 * 	233.35	紫3攻速2易伤1基础对甲1伤害	18易伤2技能点3基础对甲4导弹对黄5核69a攻速7伤害
2	21453 11243	 * 	224.36	紫2基础对甲2易伤2基地爆炸1伤害1技能	19易伤2技能点39基础对甲4导弹对黄5核6伤害79基地爆炸8双倍秒伤9序列升级a技能
3	21453 21243	 * 	224.36	紫2基础对甲2易伤2基地爆炸1攻速1技能	19易伤2技能点39基础对甲4导弹对黄5核6攻速79基地爆炸8双倍秒伤9序列升级a技能
4	21453 16333	 * 	218.76	紫3伤害1基础对甲1易伤1攻速	1易伤2技能点3基础对甲4导弹对黄5核67a伤害8随机矿9攻速
5	21453 16133	   	218.66	紫3伤害1基础对甲1易伤1攻速	1易伤2技能点3基础对甲4导弹对黄5核67a伤害8技能9攻速
6	21453 11127	   	216.06	紫2基础对甲2易伤2基地爆炸1伤害	1a易伤2技能点3a基础对甲4导弹对黄5核6伤害7a基地爆炸8加一9随机矿a序列升级
7	21453 21127	   	216.06	紫2基础对甲2易伤2基地爆炸1攻速	1a易伤2技能点3a基础对甲4导弹对黄5核6攻速7a基地爆炸8加一9随机矿a序列升级
8	21453 11241	   	215.96	紫2基础对甲2易伤2基地爆炸1伤害	19易伤2技能点39基础对甲4导弹对黄5核6伤害79基地爆炸8双倍秒伤9序列升级a挖尘
9	21453 21241	   	215.96	紫2基础对甲2易伤2基地爆炸1攻速	19易伤2技能点39基础对甲4导弹对黄5核6攻速79基地爆炸8双倍秒伤9序列升级a挖尘
10	21453 26231	   	215.35	紫2易伤1基础对甲2攻速1伤害	18易伤2技能点3基础对甲4导弹对黄5核69攻速7伤害a时间
11	21453 15233	 * 	215.25	紫2易伤1基础对甲2伤害1攻速	18易伤2技能点3基础对甲4导弹对黄5核6a伤害7技能9攻速
12	21453 26232	   	215.25	紫2易伤1基础对甲2攻速1伤害	18易伤2技能点3基础对甲4导弹对黄5核69攻速7伤害a火球减费
13	21453 26222	   	213.75	紫2易伤1基础对甲1攻速1伤害1全技能	18易伤2技能点3基础对甲4导弹对黄5核6攻速7伤害9最后敌人a全技能
14	21453 25233	   	210.84	紫3攻速2易伤1基础对甲	18易伤2技能点3基础对甲4导弹对黄5核69a攻速7技能
15	21453 26212	   	209.02	紫2易伤1基础对甲1攻速1伤害1基地爆炸	18易伤2技能点3基础对甲4导弹对黄5核6攻速7伤害9基地爆炸a双倍矿
16	21453 26223	   	209.02	紫2易伤1基础对甲1攻速1伤害1基地爆炸	18易伤2技能点3基础对甲4导弹对黄5核6攻速7伤害9最后敌人a基地爆炸
17	21453 26211	   	208.92	紫2易伤1基础对甲1攻速1伤害1基地爆炸	18易伤2技能点3基础对甲4导弹对黄5核6攻速7伤害9基地爆炸a等级
18	21453 26213	   	208.92	紫2易伤1基础对甲1攻速1伤害1基地爆炸	18易伤2技能点3基础对甲4导弹对黄5核6攻速7伤害9基地爆炸a掉矿
19	23322 56141	 * 	206.45	橙4易伤3攻速2基地爆炸1全技能	1378易伤27基地爆炸467攻速5全技能7序列升级9技能点a核
20	21453 11326	   	204.89	紫1基础对甲2易伤1伤害1基地爆炸1全技能	19易伤2技能点3基础对甲4导弹对黄5核6伤害7基地爆炸8掉矿a全技能
21	21453 21326	   	204.89	紫1基础对甲2易伤1攻速1基地爆炸1全技能	19易伤2技能点3基础对甲4导弹对黄5核6攻速7基地爆炸8掉矿a全技能
22	23322 66334	   	204.45	橙4易伤2攻速2基地爆炸1全技能1暴击	1367易伤27基地爆炸47攻速5全技能7序列升级8技能点9暴击a核
