0	Index      	 *	Score 	Summary	Detail	
1	51113 16331	 * 	316.54	橙橙3易伤1等级	1雷电减费2随机技能3最后敌人4等级58a易伤6时间79核
2	32154 11414	 * 	313.82	紫橙3易伤1等级	1策反2加一3最后敌人469易伤58核7随机技能a等级
3	51113 16431	   	311.91	橙橙2易伤1等级1火球减费	1雷电减费2随机技能3最后敌人4等级5a易伤6时间79核8火球减费
4	32154 21414	   	309.19	紫橙2易伤1等级1火球减费	1策反2加一3最后敌人49易伤58核6火球减费7随机技能a等级
5	26132 23162	   	306.21	紫橙1等级1易伤1伤害1毒气减费1攻速	1基地爆炸29核3攻速4易伤5等级6随机技能7矿等8伤害a毒气减费
6	32154 15173	   	300.89	紫橙2易伤1等级2时间	1策反2加一3最后敌人46易伤59核7等级8a时间
7	16162 16232	 * 	299.09	紫2等级2易伤2攻速1火球减费1暴击1卖塔	1敌人爆炸2核3a攻速4火球减费5暴击6卖塔7a易伤8时间9a等级a序列升级
8	32611 33618	   	296.95	橙橙1等级1易伤1伤害1攻速1全技能	1策反2加一3双倍物品4等级5伤害6攻速7全技能8a核9易伤
9	16532 32274	 * 	292.60	紫橙1等级1易伤2伤害	1敌人爆炸29核3a伤害4易伤5等级6加一7时间8挖尘
10	32154 51414	   	292.42	紫橙2易伤1等级	16策反2加一3最后敌人49易伤58核7随机技能a等级
11	32154 15171	   	291.85	紫橙2易伤1等级	1策反2加一3最后敌人46易伤59核7等级8时间a技能点
12	51113 16334	   	291.85	橙橙2易伤1等级	1雷电减费2随机技能3最后敌人4等级58易伤6时间79核a随机矿
13	51113 16335	   	291.85	橙橙2易伤1等级	1雷电减费2随机技能3最后敌人4等级58易伤6时间79核a低血量敌人
14	32154 15172	   	291.75	紫橙2易伤1等级	1策反2加一3最后敌人46易伤59核7等级8时间a狙击对黄
15	32154 15174	   	291.75	紫橙2易伤1等级	1策反2加一3最后敌人46易伤59核7等级8时间a双倍秒伤
16	51113 16332	   	291.75	橙橙2易伤1等级	1雷电减费2随机技能3最后敌人4等级58易伤6时间79核a激光对绿
17	51113 16333	   	291.75	橙橙2易伤1等级	1雷电减费2随机技能3最后敌人4等级58易伤6时间79核a双倍秒伤
18	51113 16336	   	291.75	橙橙2易伤1等级	1雷电减费2随机技能3最后敌人4等级58易伤6时间79核a加一
19	32154 25173	   	291.10	紫橙1等级1易伤1火球减费2时间	1策反2加一3最后敌人4易伤59核6火球减费7等级8a时间
20	16162 16132	 * 	289.43	紫2等级2易伤2攻速1火球减费1暴击1卖塔	1敌人爆炸2核3a攻速4火球减费5暴击6卖塔7a易伤8低血量敌人9a等级a序列升级
21	32154 34414	   	289.12	紫橙2易伤1等级	1策反2加一3最后敌人49易伤58核6随机技能7双倍矿a等级
22	26632 23411	   	289.12	紫橙2易伤1等级	1基地爆炸28核3加一4策反5等级6随机技能7矿等9a易伤
23	32154 11434	   	289.12	紫橙2易伤1等级	1策反2加一3最后敌人46易伤58核7随机技能9双倍矿a等级
24	16132 31574	   	288.67	紫橙1等级1易伤1伤害1攻速	1敌人爆炸29核3攻速4易伤5等级6加一7挖尘8时间a伤害
25	16132 32274	   	288.67	紫橙1等级1易伤1伤害1攻速	1敌人爆炸29核3攻速4易伤5等级6加一7时间8挖尘a伤害
26	26132 31573	   	288.67	紫橙1等级1易伤1伤害1攻速	1基地爆炸29核3攻速4易伤5等级6加一7挖尘8时间a伤害
27	26132 32273	   	288.67	紫橙1等级1易伤1伤害1攻速	1基地爆炸29核3攻速4易伤5等级6加一7时间8挖尘a伤害
28	26532 32273	   	288.67	紫橙1等级1易伤1伤害1攻速	1基地爆炸29核3伤害4易伤5等级6加一7时间8挖尘a攻速
