0	Index      	 *	Score 	Summary	Detail	
1	53432 33423	 * 	352.74	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1RCVC|24DMG|34aVULN|4BPWR|5FEWX|6DUR|7TLV|8AART|9RCR
2	21312 46431	 * 	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1ASPD|2LSRREG|3DMG|4DUR|57VULN|6BBNT|8RCR|9BEXP|aMDPS
3	24234 88114	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1ASPD|2MBVNT|3CGEN|45VULN|6RCR|7DUR|8FLTFST|9DMG|aMDPS
4	24243 13873	   	344.59	DCR|2VULN|1MDPS|1DUR|1AART	1ASPD|2MBVNT|3CGEN|4AART|5AEFRZ|6RCR|79VULN|8DUR|aMDPS
5	15332 12621	 * 	341.35	DCR|4VULN|1CDMG|1DUR	1ERES|2CGEN|349aVULN|5CANSTR|6CDMG|7RCR|8DUR
6	53435 13311	 * 	340.18	3VULN|1MDPS|2DMG|1CDMG|1DUR	1RCVC|24DMG|345VULN|4BPWR|6CDMG|7MLV|8DUR|9MDPS|aFRZARM
7	53435 13312	   	340.18	3VULN|1MDPS|2DMG|1CDMG|1DUR	1RCVC|24DMG|345VULN|4BPWR|6CDMG|7MLV|8DUR|9MDPS|aBBNT
8	53435 13313	   	340.18	3VULN|1MDPS|2DMG|1CDMG|1DUR	1RCVC|24DMG|345VULN|4BPWR|6CDMG|7MLV|8DUR|9MDPS|aAETHUN
9	53435 13333	   	340.18	3VULN|1MDPS|2DMG|1CDMG|1DUR	1RCVC|24DMG|345VULN|4BPWR|6CDMG|7MLV|8DUR|9MSLREG|aMDPS
10	11123 14424	 * 	339.08	2MDPS|2VULN|1CDMG|1DUR	12ERES|2BPWR|3LHND|45VULN|6DUR|7CDMG|8aMDPS|9MBVNT
11	11413 14424	   	339.08	2MDPS|2VULN|1CDMG|1DUR	12ERES|2BPWR|35VULN|4LHND|6DUR|7CDMG|8aMDPS|9MBVNT
12	11433 14424	   	339.08	2MDPS|2VULN|1CDMG|1DUR	12ERES|2BPWR|35VULN|4LWND|6DUR|7CDMG|8aMDPS|9MBVNT
13	21312 61266	 * 	337.29	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR|1AART	1ASPD|2LSRREG|3DMG|4DUR|5VULN|6AART|7RCR|8RAT|9TLV|aMDPS
14	44843 13444	   	337.29	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR|1AART	1DMG|2MBVNT|3TLV|4AART|5AEFBLL|6RCR|7VULN|8BELT|9DUR|aMDPS
15	21312 61113	   	337.19	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR|1AART	1ASPD|2LSRREG|3DMG|4DUR|5VULN|6AART|7RCR|8DUST|9TLV|aMDPS
16	41312 61113	   	337.19	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR|1AART	1DMG|2LSRREG|3ASPD|4DUR|5VULN|6AART|7RCR|8DUST|9TLV|aMDPS
17	44234 42832	   	334.11	DCR|4VULN|1DMG|1DUR	1DMG|2MBVNT|3CGEN|4579VULN|6LWND|8RCR|aDUR
