0	Index      	 *	Score 	Summary	Detail	
1	62513 32163	 * 	387.70	ACR|4VULN|1MDPS|1DUR|1AART	1369VULN|2RCR|4DUR|5AART|7RAT|8LWND|aMDPS
2	62515 22424	 * 	384.13	ACR|2MDPS|2VULN|2DUR	13VULN|2RCR|46DUR|5BEXP|7MBVNT|8ERES|9aMDPS
3	62512 13143	   	371.58	ACR|2MDPS|2VULN|1DUR|1MSE	13VULN|2RCR|4DUR|5BOSS|6MGNBOS|7aMDPS|8MSE|9LIT
4	62512 13243	   	371.58	ACR|2MDPS|2VULN|1DUR	13VULN|2RCR|4DUR|5BOSS|6MGNBOS|7aMDPS|8LWND|9LIT
5	62513 23612	 * 	369.17	ACR|DCR|3VULN|2CDMG|1DUR|1AART	139VULN|2aRCR|4DUR|5AART|69CDMG|7LEGI|89AEFRZ|9BPWR
6	62513 32122	   	368.75	ACR|3VULN|1MDPS|1DMG|1DUR|1AART	136VULN|2RCR|4DUR|5AART|7RAT|8LWND|9DMG|aMDPS
7	62553 32222	   	368.65	ACR|3VULN|1MDPS|1DMG|1DUR|1AART	136VULN|2RCR|4DUST|5AART|7RAT|8DUR|9DMG|aMDPS
8	62132 42531	 * 	362.63	ACR|3VULN|1MDPS|1CDMG|1DUR	189VULN|2RCR|369FEWX|4CDMG|5DUR|79MLV|9BPWR|aMDPS
9	62132 22516	   	362.43	ACR|3VULN|1MDPS|1CDMG|1DUR	168VULN|2RCR|3FEWX|4CDMG|5DUR|7MLV|9ZMB|aMDPS
10	62132 22526	   	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	168VULN|2RCR|3FEWX|4CDMG|5DUR|7MLV|9ASPD|aMDPS
11	62512 11234	   	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	137VULN|2RCR|4DUR|5BOSS|6MGNBOS|8CDMG|9RAT|aMDPS
12	62511 42311	 * 	361.23	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|2RCR|4DUR|5TLV|68BEXP|9BELT|aMDPS
13	62513 14131	 * 	361.23	ACR|3VULN|1MDPS|2DUR|1AART	139VULN|2RCR|49DUR|5AART|6VENTOX|7ASPD|89LHND|9BPWR|aMDPS
14	62513 14231	   	361.23	ACR|3VULN|1MDPS|2DUR|1AART	139VULN|2RCR|49DUR|5AART|6VENTOX|7ASPD|89FEWX|9BPWR|aMDPS
15	35533 31421	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	1TBNT|2FEWX|3RCR|478VULN|5TLV|6DUR|9RPLT|aMDPS
16	62511 12321	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|2RCR|4DUR|5TLV|6LHND|8BEXP|9MDPS|aLWND
17	62511 12322	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|2RCR|4DUR|5TLV|6LHND|8BEXP|9MDPS|aLIT
18	62511 12323	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|2RCR|4DUR|5TLV|6LHND|8BEXP|9MDPS|aSNITOX
19	62511 12325	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|2RCR|4DUR|5TLV|6LHND|8BEXP|9MDPS|aDUST
20	62511 12326	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|2RCR|4DUR|5TLV|6aLHND|8BEXP|9MDPS
21	62511 13321	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	138VULN|2RCR|4DUR|5TLV|6LHND|7BEXP|9MDPS|aLWND
22	62511 13322	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	138VULN|2RCR|4DUR|5TLV|6LHND|7BEXP|9MDPS|aLIT
23	62511 13323	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	138VULN|2RCR|4DUR|5TLV|6LHND|7BEXP|9MDPS|aSNITOX
24	62511 13325	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	138VULN|2RCR|4DUR|5TLV|6LHND|7BEXP|9MDPS|aDUST
25	62511 13326	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	138VULN|2RCR|4DUR|5TLV|6aLHND|7BEXP|9MDPS
26	62511 22321	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|2RCR|4DUR|5TLV|6FEWX|8BEXP|9MDPS|aLWND
27	62511 22322	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|2RCR|4DUR|5TLV|6FEWX|8BEXP|9MDPS|aLIT
28	62511 22323	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|2RCR|4DUR|5TLV|6FEWX|8BEXP|9MDPS|aSNITOX
