0	Index      	 *	Score 	Summary	Detail	
1	14141 11821	 * 	387.28	DCR|3VULN|1MDPS|2DUR	17DUR|27LSRHEA|3MBVNT|4RPLT|567VULN|7BPWR|8RCR|9BBNT|aMDPS
2	33525 62232	 * 	384.85	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	15VULN|2CDMG|3TLV|4DUR|6BOSS|7RCR|8ZMB|9LHND|aMDPS
3	33525 62222	   	384.75	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	15VULN|2CDMG|3TLV|4DUR|6BOSS|7RCR|8ZMB|9DUST|aMDPS
4	34331 43532	 * 	383.07	2MDPS|3VULN|1CDMG|1DUR	124VULN|24BPWR|3BBNT|5CGEN|6RPLT|7DUR|8CDMG|9aMDPS
5	34334 23532	   	383.07	2MDPS|3VULN|1CDMG|1DUR	124VULN|24BPWR|3BBNT|5RPLT|6CGEN|7DUR|8CDMG|9aMDPS
6	11222 11532	   	383.07	2MDPS|3VULN|1CDMG|1DUR	1DUR|2BBNT|356VULN|4RPLT|7CGEN|8CDMG|9aMDPS
7	11223 24132	   	383.07	2MDPS|3VULN|1CDMG|1DUR	1DUR|2BBNT|378VULN|4RPLT|5CDMG|6RMIN|9aMDPS
8	11221 34532	   	382.97	2MDPS|3VULN|1CDMG|1DUR	1DUR|2BBNT|367VULN|4RPLT|5AME|8CDMG|9aMDPS
9	34622 23315	   	375.73	2MDPS|3VULN|1DMG|1DUR	124VULN|2BPWR|3DMG|5BEXP|6DUR|7FEWX|8aMDPS|9DUST
10	14141 14821	   	374.73	DCR|3VULN|1MDPS|1DUR	1DUR|2LSRHEA|3MBVNT|4RPLT|567VULN|8RCR|9BBNT|aMDPS
11	33144 34223	 * 	371.83	DCR|3VULN|1MDPS|2TLV|1CDMG|2DUR|1AART	17aVULN|2CDMG|3MDPS|4BOSS|57TLV|67DUR|7BPWR|8AART|9RCR
12	13235 62233	 * 	371.70	3VULN|1MDPS|3CDMG|3DUR|1DMG	137DUR|278CDMG|4RMIN|578VULN|6BOSS|78BPWR|9DMG|aMDPS
13	33242 11632	 * 	371.10	DCR|2VULN|1MDPS|2CDMG|1DUR	14VULN|29CDMG|3DUR|5LWND|6LIT|7BEXP|8RCR|aMDPS
14	33242 51632	   	371.10	DCR|2VULN|1MDPS|2CDMG|1DUR	14VULN|29CDMG|3DUR|5LWND|6BOSS|7BEXP|8RCR|aMDPS
