0	Index      	 *	Score 	Summary	Detail	
1	33621 32322	 * 	364.76	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1LEGI|2LIT|3DUR|49VULN|5AME|6RCR|7AART|8DMG|aMDPS
2	12526 23631	 * 	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1BEXP|2CDMG|3BBNT|4MLV|56VULN|7DUR|8RCR|9MDPS|aLWND
3	12526 23632	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1BEXP|2CDMG|3BBNT|4MLV|56VULN|7DUR|8RCR|9MDPS|aLHND
4	12526 23633	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1BEXP|2CDMG|3BBNT|4MLV|56VULN|7DUR|8RCR|9MDPS|aRPLT
5	16152 33315	 * 	358.15	2MDPS|2VULN|1TLV|1DMG|1DUR	1BEXP|2TLV|3DMG|45VULN|6ZMB|7DUR|8aMDPS|9RPLT
6	33623 33543	 * 	357.45	DCR|2VULN|1MDPS|2DUR|1AART	1LEGI|279LIT|39DUR|49VULN|5RMIN|6RCR|8AART|9BPWR|aMDPS
7	13221 22524	 * 	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1BEXP|2LHND|3ERES|48VULN|5DUR|6TLV|7BBNT|9RCR|aMDPS
8	11621 22624	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1BEXP|2DUST|3ERES|48VULN|5DUR|6TLV|7BBNT|9RCR|aMDPS
9	31221 22524	   	357.05	DCR|2VULN|1MDPS|1TLV|1DUR	1LEGI|2DUST|3ERES|48VULN|5DUR|6TLV|7BBNT|9RCR|aMDPS
10	16152 26313	 * 	339.09	DCR|3VULN|2DMG|1TLV|1DUR	19BEXP|2TLV|39DMG|459VULN|6RMIN|7AETHUN|8RCR|9BPWR|aDUR
11	16152 23341	   	338.99	DCR|3VULN|2DMG|1TLV|1DUR	1BEXP|2TLV|39DMG|45aVULN|6RMIN|7DUR|8RCR
12	22424 23253	   	337.88	2MDPS|2VULN|1TLV|1DUR	1SPLJET|2ERES|3TLV|46VULN|5BBNT|7DUR|8LWND|9aMDPS
13	22424 23353	   	337.88	2MDPS|2VULN|1TLV|1DUR	1SPLJET|2ERES|3TLV|46VULN|5BBNT|7DUR|8LHND|9aMDPS
