0	Index      	 *	Score 	Summary	Detail	
1	51634 73243	 * 	387.28	DCR|3VULN|1MDPS|2DUR	17AIRBOS|2FEWX|37DUR|4MBVNT|567VULN|7BPWR|8RCR|9LSRICY|aMDPS
2	36234 73272	   	374.83	DCR|3VULN|1MDPS|1DUR	17DUST|2MBVNT|3SNIFST|47BEXP|567VULN|7BPWR|8RCR|9DUR|aMDPS
3	36234 72172	   	374.73	DCR|3VULN|1MDPS|1DUR	1DUST|2MBVNT|3SNIFST|4BEXP|568VULN|7RCR|9DUR|aMDPS
4	36234 74272	   	374.73	DCR|3VULN|1MDPS|1DUR	1DUST|2MBVNT|3SNIFST|4BEXP|567VULN|8RCR|9DUR|aMDPS
5	51634 72143	   	374.73	DCR|3VULN|1MDPS|1DUR	1AIRBOS|2FEWX|3DUR|4MBVNT|568VULN|7RCR|9LSRICY|aMDPS
6	51634 74243	   	374.73	DCR|3VULN|1MDPS|1DUR	1AIRBOS|2FEWX|3DUR|4MBVNT|567VULN|8RCR|9LSRICY|aMDPS
7	61422 22511	 * 	371.72	ACR|2MDPS|1VULN|1CDMG|1TLV|1DUR	1BEXP|2DUR|3LWND|4RCR|5CDMG|6VULN|7TLV|8aMDPS|9FEWX
8	61422 22521	   	371.72	ACR|2MDPS|1VULN|1CDMG|1TLV|1DUR	1BEXP|2DUR|3LWND|4RCR|5CDMG|6VULN|7TLV|8aMDPS|9DUST
9	11322 22511	   	371.62	ACR|2MDPS|1VULN|1CDMG|1TLV|1DUR	1LWND|2DUR|3DUST|4RCR|5CDMG|6VULN|7TLV|8aMDPS|9FEWX
10	11322 22561	   	371.62	ACR|2MDPS|1VULN|1CDMG|1TLV|1DUR	1LWND|2DUR|3DUST|4RCR|5CDMG|6VULN|7TLV|8aMDPS|9BEXP
11	31422 22511	   	371.62	ACR|2MDPS|1VULN|1CDMG|1TLV|1DUR	1DUST|2DUR|3LWND|4RCR|5CDMG|6VULN|7TLV|8aMDPS|9FEWX
12	31422 22561	   	371.62	ACR|2MDPS|1VULN|1CDMG|1TLV|1DUR	1DUST|2DUR|3LWND|4RCR|5CDMG|6VULN|7TLV|8aMDPS|9BEXP
13	31621 42511	   	371.62	ACR|2MDPS|1VULN|1CDMG|1TLV|1DUR	1DUST|2DUR|3VULN|4RCR|5LHND|6CDMG|7TLV|8aMDPS|9FEWX
14	31622 42511	   	371.62	ACR|2MDPS|1VULN|1CDMG|1TLV|1DUR	1DUST|2DUR|3VULN|4RCR|5CDMG|6LWND|7TLV|8aMDPS|9FEWX
15	61322 22511	   	371.62	ACR|2MDPS|1VULN|1CDMG|1TLV|1DUR	1BEXP|2DUR|3DUST|4RCR|5CDMG|6VULN|7TLV|8aMDPS|9FEWX
16	61622 32511	   	371.62	ACR|2MDPS|1VULN|1CDMG|1TLV|1DUR	1BEXP|2DUR|3VULN|4RCR|5CDMG|6AETHUN|7TLV|8aMDPS|9FEWX
17	61622 32521	   	371.62	ACR|2MDPS|1VULN|1CDMG|1TLV|1DUR	1BEXP|2DUR|3VULN|4RCR|5CDMG|6AETHUN|7TLV|8aMDPS|9DUST
18	31622 32511	   	371.52	ACR|2MDPS|1VULN|1CDMG|1TLV|1DUR	1DUST|2DUR|3VULN|4RCR|5CDMG|6AETHUN|7TLV|8aMDPS|9FEWX
19	31622 32561	   	371.52	ACR|2MDPS|1VULN|1CDMG|1TLV|1DUR	1DUST|2DUR|3VULN|4RCR|5CDMG|6AETHUN|7TLV|8aMDPS|9BEXP
20	61622 21231	 * 	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	1BEXP|2DUR|367VULN|4RCR|5CDMG|8LHND|9MDPS|aRMIN
21	61622 21232	   	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	1BEXP|2DUR|367VULN|4RCR|5CDMG|8aLHND|9MDPS
22	61622 21233	   	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	1BEXP|2DUR|367VULN|4RCR|5CDMG|8LHND|9MDPS|aDUST
23	61622 21235	   	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	1aBEXP|2DUR|367VULN|4RCR|5CDMG|8LHND|9MDPS
24	61622 21236	   	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	1BEXP|2DUR|367VULN|4RCR|5CDMG|8LHND|9MDPS|aAAC
25	61622 21331	   	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	1BEXP|2DUR|367VULN|4RCR|5CDMG|8LWND|9MDPS|aRMIN
26	61622 21332	   	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	1BEXP|2DUR|367VULN|4RCR|5CDMG|8LWND|9MDPS|aLHND
27	61622 21333	   	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	1BEXP|2DUR|367VULN|4RCR|5CDMG|8LWND|9MDPS|aAAC
28	61622 21335	   	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	1BEXP|2DUR|367VULN|4RCR|5CDMG|8LWND|9MDPS|aDUST
29	61622 21336	   	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	1BEXP|2DUR|367VULN|4RCR|5CDMG|8LWND|9MDPS|aFEWX
30	61622 21611	   	362.33	ACR|3VULN|1MDPS|1CDMG|1DUR	1BEXP|2DUR|367VULN|4RCR|5CDMG|8RCVC|9TBNT|aMDPS
31	31622 21231	   	362.23	ACR|3VULN|1MDPS|1CDMG|1DUR	1DUST|2DUR|367VULN|4RCR|5CDMG|8LHND|9MDPS|aRMIN
32	31622 21232	   	362.23	ACR|3VULN|1MDPS|1CDMG|1DUR	1DUST|2DUR|367VULN|4RCR|5CDMG|8aLHND|9MDPS
33	31622 21233	   	362.23	ACR|3VULN|1MDPS|1CDMG|1DUR	1aDUST|2DUR|367VULN|4RCR|5CDMG|8LHND|9MDPS
