0	Index      	 *	Score 	Summary	Detail	
1	12133 22256	 * 	351.16	ACR|2VULN|1MDPS|1TLV|1DMG|1DUR|1AART	1ZMB|2LWND|38VULN|4AART|5RCR|6DUR|7TLV|9DMG|aMDPS
2	12133 23516	 * 	348.58	ACR|3VULN|1MDPS|1DUR|1AART	1ZMB|2LWND|378VULN|4AART|5RCR|6DUR|9DUST|aMDPS
3	36232 14224	 * 	337.15	DCR|1MDPS|1VULN|2CDMG|1DMG|1DUR|1SELL	1FLTHEA|2FEWX|3DMG|4VULN|57CDMG|6SELL|8RCR|9DUR|aMDPS
4	36233 22424	 * 	336.20	DCR|1MDPS|1VULN|2DUR|1TLV|1DMG	1FLTHEA|2FEWX|3DMG|4VULN|5TLV|67DUR|8RCR|9RCVC|aMDPS
5	25312 24341	 * 	334.01	DCR|4VULN|1DMG|1DUR	1BOSS|2AEFBLL|3BBNT|4568VULN|7DMG|9RCR|aDUR
6	44333 12121	 * 	331.04	DCR|2VULN|1MDPS|1DUR	1LWND|2AETHUN|34VULN|5FEWX|6FRZARM|7DUR|8RCR|9MDPS|aASPD
7	44333 12122	   	331.04	DCR|2VULN|1MDPS|1DUR	1LWND|2AETHUN|34VULN|5FEWX|6FRZARM|7DUR|8RCR|9MDPS|aDUST
8	44333 12123	   	331.04	DCR|2VULN|1MDPS|1DUR|1AART	1LWND|2AETHUN|34VULN|5FEWX|6FRZARM|7DUR|8RCR|9MDPS|aAART
9	44333 12124	   	331.04	DCR|2VULN|1MDPS|1DUR	1LWND|2AETHUN|34VULN|5FEWX|6FRZARM|7DUR|8RCR|9MDPS|aBBNT
10	44333 12125	   	331.04	DCR|2VULN|1MDPS|1DUR	1LWND|2AETHUN|34VULN|5FEWX|6FRZARM|7DUR|8RCR|9MDPS|aAEWIND
11	44333 12126	   	331.04	DCR|2VULN|1MDPS|1DUR	1LWND|2AETHUN|34VULN|5FEWX|6FRZARM|7DUR|8RCR|9MDPS|aSNITOX
12	51121 35141	 * 	330.88	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1RAT|2TLV|3NUKE|4CDMG|5AEWIND|6VULN|7DUR|8RCR|9MDPS|aLWND
13	51121 35142	   	330.88	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1RAT|2TLV|3NUKE|4CDMG|5AEWIND|6VULN|7DUR|8RCR|9MDPS|aTBNT
14	51121 35143	   	330.88	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1RAT|2TLV|3NUKE|4CDMG|5AEWIND|6VULN|7DUR|8RCR|9MDPS|aDMSP
15	13142 45131	   	330.80	DCR|2VULN|1MDPS|1DUR|1SELL	1ZMB|2FEWX|37VULN|4TBNT|5SELL|6DUR|8RCR|9MDPS|aRCVC
16	13142 45132	   	330.80	DCR|2VULN|1MDPS|1DUR|1SELL	1ZMB|2FEWX|37VULN|4TBNT|5SELL|6DUR|8RCR|9MDPS|aMLV
17	13142 45133	   	330.80	DCR|2VULN|1MDPS|1DUR|1SELL	1ZMB|2FEWX|37VULN|4TBNT|5SELL|6DUR|8RCR|9MDPS|aDUST
