0	Index      	 *	Score 	Summary	Detail	
1	62214 13522	 * 	302.13	橙橙2等级1易伤1矿等1暴击	1矿等2双倍矿3雷电4低血量敌人5易伤69等级7a核8暴击
2	53322 11635	 * 	294.33	橙橙2易伤2矿等	1随机矿2a矿等3a敌人爆炸4平台5a易伤6雷电减费79核8赏金邻近a序列升级
3	53211 11451	 * 	286.10	橙4易伤3矿等2时间	1随机矿26a矿等349a易伤5a时间7赏金邻近8核a序列升级
4	61353 31233	   	282.87	橙橙1易伤1矿等1伤害1暴击	1矿等2金币生成3赏金塔4技能点5暴击6伤害79核8随机技能a易伤
5	34341 14333	   	281.75	橙橙2易伤1伤害1暴击	1赏金塔2a易伤3时间4策反5伤害69核7暴击8基地爆炸
6	11154 13522	   	281.75	橙橙2等级1易伤1暴击	12雷电3时间4掉矿5易伤69等级7a核8暴击
7	61353 41233	   	279.70	橙橙1易伤1矿等1技能1暴击	1矿等2金币生成3赏金塔4技能点5暴击6技能79核8随机技能a易伤
8	53213 63112	 * 	274.60	橙2易伤2矿等1等级1伤害1攻速	1随机矿25矿等34易伤6伤害7敌人爆炸8等级9攻速a核
9	53213 62112	   	274.50	橙2易伤2矿等1等级1伤害1攻速	1随机矿25矿等34易伤6伤害7挖尘8等级9攻速a核
10	35113 11311	 * 	274.29	橙3易伤2矿等2伤害	1赏金塔2雷电减费3全技能49伤害59矿等6双倍秒伤789易伤9序列升级a核
11	35141 11311	   	274.29	橙3易伤2矿等2伤害	1赏金塔2雷电减费3全技能49矿等59伤害6双倍秒伤789易伤9序列升级a核
12	35115 52311	   	274.29	橙3易伤2矿等2伤害	1赏金塔2雷电减费3全技能49伤害589易伤6双倍秒伤79矿等9序列升级a核
13	34241 14333	   	273.45	橙橙2易伤1伤害1暴击	1赏金塔2a易伤3敌人爆炸4策反5伤害69核7暴击8基地爆炸
14	11314 13522	   	273.45	橙橙2等级1易伤1暴击	12雷电3掉矿4低血量敌人5易伤69等级7a核8暴击
15	13134 13522	   	273.45	橙橙2等级1易伤1暴击	1雷电2技能点3低血量敌人4毒气减费5易伤69等级7a核8暴击
16	13214 13522	   	273.45	橙橙2等级1易伤1暴击	1雷电2技能点3火球减费4低血量敌人5易伤69等级7a核8暴击
17	13312 51522	   	273.45	橙橙2等级1易伤1暴击	1雷电2技能点3掉矿4易伤59等级6a核7金币生成8暴击
18	13312 63522	   	273.45	橙橙2等级1易伤1暴击	1雷电2技能点3掉矿4易伤59等级6金币生成7a核8暴击
