0	Index      	 *	Score 	Summary	Detail	
1	22323 63553	 * 	268.89	橙橙2伤害1易伤1攻速	14金币生成2攻速3挖尘5最后敌人6a核78伤害9易伤
2	13222 33346	   	264.95	橙橙1易伤1伤害1矿等1全技能	1赏金邻近2全技能3基地爆炸4等级5矿等6伤害7金币生成8a核9易伤
3	22314 63353	 * 	263.76	橙橙1易伤2攻速1伤害	1金币生成28攻速3挖尘4最后敌人5立即金币6a核7伤害9易伤
4	22323 63353	   	263.76	橙橙1易伤2攻速1伤害	14金币生成28攻速3挖尘5最后敌人6a核7伤害9易伤
5	23242 57462	   	260.97	橙橙1易伤1伤害1攻速1全技能	1金币生成2低血量敌人3加一4全技能5伤害6攻速7易伤8a核9技能
6	22613 65331	   	258.44	橙橙1易伤1矿等1攻速1平台	17金币生成2攻速3激光减费4易伤5最后敌人6a核8平台9矿等
7	26411 21363	   	251.41	橙橙1易伤1伤害1攻速	1金币生成24最后敌人37基地爆炸5易伤6a核8攻速9伤害
8	22314 63253	   	251.31	橙橙1易伤1伤害1攻速	1金币生成2攻速3挖尘4最后敌人58立即金币6a核7伤害9易伤
9	22323 63253	   	251.31	橙橙1易伤1伤害1攻速	14金币生成2攻速3挖尘5最后敌人6a核7伤害8立即金币9易伤
10	22323 63653	   	251.31	橙橙1易伤1伤害1攻速	14金币生成2攻速3挖尘58最后敌人6a核7伤害9易伤
11	22631 21653	   	251.31	橙橙1易伤1伤害1攻速	14金币生成2攻速3激光减费5伤害6基地爆炸7a核8低血量敌人9易伤
12	22323 62663	   	251.21	橙橙1易伤1伤害1攻速	14金币生成2攻速37挖尘5最后敌人6a核8易伤9伤害
13	22161 21346	   	249.21	橙橙1易伤1攻速1全技能	16金币生成2攻速3时间4全技能5挖尘7赏金邻近8a核9易伤
14	13641 24223	 * 	248.24	橙2易伤2矿等2暴击1伤害1全技能1平台	1赏金邻近2全技能3平台49暴击59易伤69矿等7额外掉落8核9序列升级a伤害
15	13131 11356	   	247.42	橙橙1易伤1伤害1全技能	1赏金邻近2全技能37金币生成4基地爆炸5易伤6伤害8a核9低血量敌人
16	13131 15356	   	247.42	橙橙1易伤1伤害1全技能	1赏金邻近2全技能3金币生成47基地爆炸5易伤6伤害8a核9低血量敌人
17	13151 11356	   	247.42	橙橙1易伤1伤害1全技能	1赏金邻近2全技能37金币生成4敌人爆炸5易伤6伤害8a核9低血量敌人
