0	Index      	 *	Score 	Summary	Detail	
1	13261 22313	 * 	278.65	紫橙2易伤2伤害2攻速	1技能29攻速3a核4挖青56技能点79易伤89伤害9序列升级
2	33251 13611	 * 	264.60	橙3易伤2矿等1伤害2暴击1攻速	16a易伤2基地爆炸3a暴击4攻速5伤害7a矿等8核9双倍秒伤a序列升级
3	32164 32223	 * 	261.76	橙橙2易伤1平台	19易伤28金币生成3立即金币4时间5毒液对冰6平台7a核
4	32164 32323	   	261.76	橙橙2易伤1平台	19易伤2金币生成38立即金币4时间5毒液对冰6平台7a核
5	32165 32223	   	261.76	橙橙2易伤1平台	19易伤28金币生成3立即金币4时间5寒冰对黄6平台7a核
6	32165 32323	   	261.76	橙橙2易伤1平台	19易伤2金币生成38立即金币4时间5寒冰对黄6平台7a核
7	31244 33523	   	257.25	橙橙2易伤1暴击	16易伤2低血量敌人3暴击4双倍秒伤5导弹对绿7a核8敌人爆炸9加一
8	35321 26421	 * 	254.99	橙橙1易伤2暴击2全技能	1易伤25暴击36全技能4双倍矿7喷火对愈8a核9爆破对壮
9	33251 33611	 * 	254.92	橙2易伤2矿等2攻速1伤害2暴击	1a易伤2基地爆炸3a暴击46攻速5伤害7a矿等8核9双倍秒伤a序列升级
10	32654 32223	   	253.46	橙橙2易伤1平台	19易伤28金币生成3敌人爆炸4双倍矿5毒液对冰6平台7a核
11	32654 32323	   	253.46	橙橙2易伤1平台	19易伤2金币生成3敌人爆炸4双倍矿5毒液对冰6平台7a核8立即金币
12	32655 32223	   	253.46	橙橙2易伤1平台	19易伤28金币生成3敌人爆炸4双倍矿5寒冰对黄6平台7a核
13	32655 32323	   	253.46	橙橙2易伤1平台	19易伤2金币生成3敌人爆炸4双倍矿5寒冰对黄6平台7a核8立即金币
14	36124 32223	   	253.46	橙橙2易伤1平台	19易伤2敌人爆炸3立即金币48金币生成5毒液对冰6平台7a核
15	36124 32323	   	253.46	橙橙2易伤1平台	19易伤2敌人爆炸38立即金币4金币生成5毒液对冰6平台7a核
16	36125 32223	   	253.46	橙橙2易伤1平台	19易伤2敌人爆炸3立即金币48金币生成5寒冰对黄6平台7a核
17	36125 32323	   	253.46	橙橙2易伤1平台	19易伤2敌人爆炸38立即金币4金币生成5寒冰对黄6平台7a核
18	33251 13631	   	250.89	橙3易伤1伤害1矿等1攻速1暴击	16a易伤2基地爆炸3暴击4攻速5伤害7矿等8核9时间
19	52431 33521	   	248.88	橙橙1易伤1矿等1攻速	17立即金币2技能3赏金邻近4攻速5赏金塔6易伤89核a矿等
20	13312 42526	   	248.78	橙橙1易伤1矿等1攻速	1技能2攻速3低血量敌人4双倍秒伤5金币生成6矿等7赏金塔89核a易伤
21	13312 43526	   	248.78	橙橙1易伤1矿等1攻速	1技能2攻速3低血量敌人4双倍秒伤5金币生成6矿等7赏金邻近89核a易伤
22	11624 23531	   	248.68	橙橙1易伤1矿等1攻速	1技能2赏金邻近3金币生成4毒液对黄5易伤6矿等7a核8加农对壮9攻速
23	35323 36421	   	248.68	橙橙1易伤2全技能1暴击	1易伤2暴击35全技能46双倍矿7喷火对愈8a核9爆破对壮
