0	Index      	 *	Score 	Summary	Detail	
1	35421 11633	 * 	283.47	橙橙3易伤1矿等	124易伤2序列升级3双倍秒伤5雷电6赏金塔7a核8矿等9低血量敌人
2	25261 11134	   	283.29	橙橙2易伤1矿等1攻速	1雷电2矿等3攻速4时间5赏金塔68易伤7a核9双倍秒伤
3	25262 11134	   	283.29	橙橙2易伤1矿等1攻速	1雷电2矿等3攻速4时间5赏金邻近68易伤7a核9双倍秒伤
4	35332 26125	   	276.67	橙橙2易伤1暴击1全技能1平台	12易伤2序列升级3基础对愈4挖尘5平台6a核7随机矿8暴击9全技能
5	32413 26342	 * 	275.82	橙橙1易伤1伤害2时间1暴击1平台	1易伤2赏金邻近34时间5暴击6伤害7双倍秒伤8a核9平台
6	35134 22428	   	274.14	橙橙3易伤	123易伤2序列升级4挖尘5加一6时间7a核8额外掉落9低血量敌人
7	35134 22448	   	274.14	橙橙3易伤	123易伤2序列升级4挖尘5加一6时间7a核8额外掉落9基地爆炸
8	33235 26342	 * 	273.18	橙橙2易伤1伤害1平台1卖塔	14易伤2卖塔3挖尘5赏金邻近6伤害7双倍秒伤8a核9平台
9	35211 22651	 * 	272.27	橙橙2易伤1伤害	12易伤2序列升级3伤害4敌人爆炸5随机矿6时间79核8低血量敌人a等级
10	35211 22652	   	272.27	橙橙2易伤1伤害	12易伤2序列升级3伤害4敌人爆炸5随机矿6时间79核8低血量敌人a雷电
11	35211 22653	   	272.27	橙橙2易伤1伤害	12易伤2序列升级3伤害4a敌人爆炸5随机矿6时间79核8低血量敌人
12	32425 21134	   	272.07	橙橙2易伤1伤害	18易伤2赏金邻近3时间4雷电5伤害6技能点7a核9双倍秒伤
13	32441 11134	   	272.07	橙橙2易伤1伤害	18易伤2赏金邻近3时间4技能点5伤害6雷电7a核9双倍秒伤
14	31613 25324	   	269.27	橙橙1易伤1伤害1攻速1平台	1易伤2挖尘3伤害4时间5攻速6低血量敌人7平台8a核9赏金塔
15	31613 35324	   	269.27	橙橙1易伤1伤害1攻速1平台	1易伤2挖尘3伤害4时间5攻速6基地爆炸7平台8a核9赏金塔
16	52523 14332	   	268.10	橙橙1易伤1矿等1攻速1全技能1平台	1基地爆炸2激光减费3平台4易伤5矿等6攻速7全技能89核a低血量敌人
17	11512 25243	   	268.00	橙橙1易伤1矿等1攻速1全技能1平台	1金币生成2易伤3激光对绿4矿等5平台6a核7导弹对毒8全技能9攻速
18	11522 25243	   	268.00	橙橙1易伤1矿等1攻速1全技能1平台	1金币生成2易伤3激光对绿4平台5矿等6a核7导弹对毒8全技能9攻速
19	52523 14331	   	268.00	橙橙1易伤1矿等1攻速1全技能1平台	1基地爆炸2激光减费3平台4易伤5矿等6攻速7全技能89核a挖尘
20	52523 14333	   	268.00	橙橙1易伤1矿等1攻速1全技能1平台1挖怪	1基地爆炸2激光减费3平台4易伤5矿等6攻速7全技能89核a挖怪
21	22232 24356	   	267.11	橙橙2易伤1暴击1平台	1雷电2基地爆炸38易伤4最后敌人5平台6挖尘79核a暴击
22	21261 11134	   	265.75	橙橙2易伤1攻速	1雷电2等级3攻速4时间5赏金塔68易伤7a核9双倍秒伤
23	21262 11134	   	265.75	橙橙2易伤1攻速	1雷电2等级3攻速4时间5赏金邻近68易伤7a核9双倍秒伤
24	21265 11134	   	265.75	橙橙2易伤1攻速	1雷电2等级3攻速4时间58易伤6赏金塔7a核9双倍秒伤
25	35531 62133	 * 	264.95	橙5易伤2矿等1平台	12468易伤26序列升级3平台56矿等7时间9低血量敌人a核
26	33563 35332	   	264.60	橙橙1易伤1伤害1矿等1全技能1卖塔	1易伤2卖塔3伤害4矿等5加一6敌人爆炸7全技能89核a低血量敌人
27	33563 35334	   	264.60	橙橙1易伤1伤害1矿等1全技能1卖塔	1易伤2卖塔3伤害4矿等5加一6敌人爆炸7全技能89核a基地爆炸
28	33563 35331	   	264.50	橙橙1易伤1伤害1矿等1全技能1卖塔	1易伤2卖塔3伤害4矿等5加一6敌人爆炸7全技能89核a挖尘
29	33563 35333	   	264.50	橙橙1易伤1伤害1矿等1全技能1卖塔1挖怪	1易伤2卖塔3伤害4矿等5加一6敌人爆炸7全技能89核a挖怪
30	23514 11124	   	263.49	橙橙1易伤1伤害1矿等	1雷电2挖尘3矿等4基地爆炸5伤害6赏金邻近7a核8易伤9时间
31	25114 11124	   	263.49	橙橙1易伤1伤害1矿等	1雷电2矿等3挖尘4基地爆炸5伤害6赏金邻近7a核8易伤9时间
32	51421 11124	   	263.49	橙橙1易伤1伤害1矿等	1基地爆炸2挖尘3赏金塔4矿等5伤害6雷电7a核8易伤9时间
33	23211 61633	   	261.33	橙橙2易伤1矿等	1雷电2挖尘34易伤5赏金塔6敌人爆炸7a核8矿等9低血量敌人
34	23212 61633	   	261.33	橙橙2易伤1矿等	1雷电2挖尘34易伤5赏金邻近6敌人爆炸7a核8矿等9低血量敌人
35	23214 11633	   	261.33	橙橙2易伤1矿等	1雷电2挖尘34易伤5敌人爆炸6赏金塔7a核8矿等9低血量敌人
36	31511 61633	   	261.33	橙橙2易伤1矿等	14易伤2挖尘3雷电5赏金塔6敌人爆炸7a核8矿等9低血量敌人
37	31512 61633	   	261.33	橙橙2易伤1矿等	14易伤2挖尘3雷电5赏金邻近6敌人爆炸7a核8矿等9低血量敌人
38	31514 11633	   	261.33	橙橙2易伤1矿等	14易伤2挖尘3雷电5敌人爆炸6赏金塔7a核8矿等9低血量敌人
39	32625 11633	   	261.33	橙橙2易伤1矿等	14易伤2赏金邻近3双倍秒伤5立即金币6雷电7a核8矿等9低血量敌人
40	34421 11633	   	261.33	橙橙2易伤1矿等	14易伤2双倍矿3双倍秒伤5雷电6赏金塔7a核8矿等9低血量敌人
41	25323 22111	   	261.18	橙橙2易伤1矿等1卖塔	18雷电2矿等3卖塔4a易伤5最后敌人6额外掉落79核
42	25324 12111	   	261.18	橙橙2易伤1矿等1卖塔	18雷电2矿等3卖塔4a易伤5额外掉落6最后敌人79核
43	25324 62111	   	261.18	橙橙2易伤1矿等1卖塔	18雷电2矿等3卖塔4a易伤5额外掉落6基地爆炸79核
44	25321 22111	   	261.08	橙橙2易伤1矿等1卖塔	18雷电2矿等3卖塔4a易伤5挖青6额外掉落79核
45	31641 22342	   	260.97	橙橙1易伤1伤害1暴击1平台	1易伤2挖尘3伤害467敌人爆炸5暴击8a核9平台
46	56136 11132	 * 	260.96	橙3易伤3矿等2攻速1全技能	127基地爆炸35a易伤45a矿等5a序列升级6a攻速8全技能9核
47	13526 22111	   	257.55	橙橙2易伤1暴击	1金币生成2暴击3a易伤4最后敌人58雷电6额外掉落79核
48	22231 45337	   	257.35	橙橙2易伤1暴击	1雷电2基地爆炸36易伤4最后敌人5加一7暴击8a核9技能点
49	23231 45337	   	257.25	橙橙2易伤1暴击	1雷电2挖尘36易伤4最后敌人5加一7暴击8a核9技能点
50	31531 45337	   	257.25	橙橙2易伤1暴击	16易伤2挖尘3雷电4最后敌人5加一7暴击8a核9技能点
51	25231 61124	   	257.18	橙橙1易伤1矿等1攻速	1雷电2矿等3攻速4低血量敌人5赏金塔6敌人爆炸7a核8易伤9时间
52	25232 61124	   	257.18	橙橙1易伤1矿等1攻速	1雷电2矿等3攻速4低血量敌人5赏金邻近6敌人爆炸7a核8易伤9时间
53	25234 11124	   	257.18	橙橙1易伤1矿等1攻速	1雷电2矿等3攻速4低血量敌人5敌人爆炸6赏金邻近7a核8易伤9时间
54	35231 32631	 * 	254.56	橙4易伤2伤害2暴击	127a易伤2a序列升级3a伤害4毒液对毒56雷电8核9a暴击
55	35313 52631	 * 	253.77	橙5易伤2暴击1伤害	1247a易伤2a序列升级3a基础对愈5伤害6雷电8核9a暴击
56	22232 44351	   	253.56	橙橙2易伤1平台	1雷电2基地爆炸38易伤4最后敌人5平台6敌人爆炸79核a双倍矿
57	22232 44352	   	253.56	橙橙2易伤1平台	1a雷电2基地爆炸38易伤4最后敌人5平台6敌人爆炸79核
