0	Index      	 *	Score 	Summary	Detail	
1	46252 32111	 * 	281.18	DCR|DCR|2VULN|2TLV|1MLV	17VULN|2DMSP|3LWND|4LEGI|57TLV|67AEWIND|7BPWR|8MLV|9aRCR
2	46212 32111	   	270.95	DCR|DCR|2VULN|1TLV|1MLV	17VULN|2DMSP|37LWND|4FEWX|5TLV|67AEWIND|7BPWR|8MLV|9aRCR
3	46512 21211	   	268.99	DCR|DCR|2VULN|1TLV|1DUR	17VULN|2DMSP|3DUR|4FEWX|5TLV|6BEXP|8CGEN|9aRCR
4	46512 23311	   	268.99	DCR|DCR|2VULN|1TLV|1DUR	18VULN|2DMSP|3DUR|4FEWX|5TLV|6BEXP|7CGEN|9aRCR
5	46512 21111	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	17VULN|2DMSP|3DUR|4FEWX|5TLV|6BEXP|8AME|9aRCR
6	46252 32211	   	265.58	DCR|DCR|2VULN|2TLV	17VULN|2DMSP|3LWND|4LEGI|57TLV|67AEWIND|7BPWR|8CGEN|9aRCR
7	41472 12113	 * 	263.19	DCR|2VULN|3DMG|2TLV|1MLV|1DUR	19VULN|2LHND|3MBVNT|49TLV|5DUR|6MLV|7RCR|89aDMG|9BPWR
8	52126 13125	 * 	262.75	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DMG|2MDPS|3DUR|4LHND|5VULN|6CGEN|7aRCR|8TLV|9FEWX
9	52136 13125	   	262.75	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DMG|2MDPS|3DUR|4LWND|5VULN|6CGEN|7aRCR|8TLV|9FEWX
10	52126 33125	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DMG|2MDPS|3DUR|4LHND|5VULN|6ERES|7aRCR|8TLV|9FEWX
11	52136 33125	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DMG|2MDPS|3DUR|4LWND|5VULN|6ERES|7aRCR|8TLV|9FEWX
12	54222 11612	 * 	260.14	DCR|2VULN|3DMG|2TLV|2DUR|1AAC	137DMG|2AAC|37BPWR|4LHND|57DUR|67TLV|8aVULN|9RCR
13	54232 11612	   	260.14	DCR|2VULN|3DMG|2TLV|2DUR|1AAC	137DMG|2AAC|37BPWR|4LWND|57DUR|67TLV|8aVULN|9RCR
14	46224 32111	   	258.29	DCR|DCR|2VULN|1MLV|1DUR	17VULN|2DMSP|37LWND|4ERES|5DUR|67AEWIND|7BPWR|8MLV|9aRCR
15	41622 15311	   	258.19	DCR|DCR|2VULN|1MLV|1DUR	17VULN|2LHND|3AME|4FEWX|5DUR|6MLV|8AEFBLL|9aRCR
16	46312 31111	 * 	256.94	DCR|DCR|1VULN|2MLV|1TLV	1VULN|2DMSP|3BEXP|4FEWX|5TLV|67MLV|8AETHUN|9aRCR
17	46352 31111	   	256.94	DCR|DCR|1VULN|2MLV|1TLV	1VULN|2DMSP|3BEXP|4LHND|5TLV|67MLV|8AETHUN|9aRCR
18	46212 21211	   	255.34	DCR|DCR|2VULN|1TLV	17VULN|2DMSP|3LWND|4FEWX|5TLV|6BEXP|8CGEN|9aRCR
19	46212 21511	   	255.34	DCR|DCR|2VULN|1TLV	17VULN|2DMSP|3LWND|4FEWX|5TLV|6BEXP|8RMIN|9aRCR
20	46212 32211	   	255.34	DCR|DCR|2VULN|1TLV	17VULN|2DMSP|37LWND|4FEWX|5TLV|67AEWIND|7BPWR|8CGEN|9aRCR
21	46212 32511	   	255.34	DCR|DCR|2VULN|1TLV	17VULN|2DMSP|37LWND|4FEWX|5TLV|67AEWIND|7BPWR|8RMIN|9aRCR
22	46212 51211	   	255.34	DCR|DCR|2VULN|1TLV	17VULN|2DMSP|3LWND|4FEWX|5TLV|6LHND|8CGEN|9aRCR
23	46312 51211	   	255.34	DCR|DCR|2VULN|1TLV	17VULN|2DMSP|3BEXP|4FEWX|5TLV|6LWND|8CGEN|9aRCR
24	46212 21111	   	255.24	DCR|DCR|2VULN|1TLV	17VULN|2DMSP|3LWND|4FEWX|5TLV|6BEXP|8AME|9aRCR
25	46212 51111	   	255.24	DCR|DCR|2VULN|1TLV	17VULN|2DMSP|3LWND|4FEWX|5TLV|6LHND|8AME|9aRCR
26	46252 21211	   	255.24	DCR|DCR|2VULN|1TLV	17VULN|2DMSP|3LWND|4LEGI|5TLV|6BEXP|8CGEN|9aRCR
27	46312 51111	   	255.24	DCR|DCR|2VULN|1TLV	17VULN|2DMSP|3BEXP|4FEWX|5TLV|6LWND|8AME|9aRCR
28	41632 21311	 * 	255.14	DCR|DCR|2VULN|2DUR	17VULN|2LHND|3AME|45DUR|6BEXP|8RMIN|9aRCR
29	41632 21611	   	255.14	DCR|DCR|2VULN|2DUR	17VULN|2LHND|3AME|45DUR|6BEXP|8CGEN|9aRCR
30	41632 51311	   	255.14	DCR|DCR|2VULN|2DUR	17VULN|2LHND|3AME|45DUR|6LWND|8RMIN|9aRCR
31	42633 21311	   	255.14	DCR|DCR|2VULN|2DUR	17VULN|24DUR|3AME|5LHND|6BEXP|8RMIN|9aRCR
32	42633 21611	   	255.14	DCR|DCR|2VULN|2DUR	17VULN|24DUR|3AME|5LHND|6BEXP|8CGEN|9aRCR
33	42633 51311	   	255.14	DCR|DCR|2VULN|2DUR	17VULN|24DUR|3AME|5LHND|6LWND|8RMIN|9aRCR
34	46252 21111	   	255.14	DCR|DCR|2VULN|1TLV	17VULN|2DMSP|3LWND|4LEGI|5TLV|6BEXP|8AME|9aRCR
35	12232 22661	   	252.60	DCR|DCR|1VULN|1DMG|1MSLTOX|1AART|1NUKE	1BBNT|2MDPS|3VULN|4FEWX|5MSLTOX|6aRCR|7NUKE|8AART|9DMG
36	22232 22661	   	252.60	DCR|DCR|1VULN|1DMG|1MSLTOX|1AART|1NUKE	1TBNT|2MDPS|3VULN|4FEWX|5MSLTOX|6aRCR|7NUKE|8AART|9DMG
