0	Index      	 *	Score 	Summary	Detail	
1	23111 41223	 * 	271.45	DCR|DCR|2VULN|1DMG|1MLV	1TBNT|2ERES|3MDPS|4ASPD|5MLV|6DMG|7aRCR|89VULN
2	15223 22344	 * 	268.89	DCR|DCR|2VULN|1TLV|1DUR	1FEWX|2LWND|3TBNT|4aVULN|5BEXP|6DUR|79RCR|8TLV
3	43242 43131	   	268.89	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2MGNSTR|36VULN|4FEWX|5MBVNT|79RCR|8LHND|aCDMG
4	43242 43138	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	1TLV|2MGNSTR|36VULN|4FEWX|5MBVNT|79RCR|8LHND|aDUR
5	43242 43831	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2MGNSTR|36VULN|4FEWX|5MBVNT|79RCR|8DUST|aCDMG
6	24126 61123	 * 	264.73	DCR|DCR|3VULN|1DUR	1TBNT|2BEXP|349VULN|5MBVNT|6DUR|7aRCR|8FEWX
7	24126 61233	   	264.73	DCR|DCR|3VULN|1DUR	1TBNT|2BEXP|348VULN|5MBVNT|6DUR|7aRCR|9LWND
8	24126 61243	   	264.73	DCR|DCR|3VULN|1DUR	1TBNT|2BEXP|348VULN|5MBVNT|6DUR|7aRCR|9LHND
9	24142 31123	   	264.73	DCR|DCR|3VULN|1DUR	1TBNT|2BEXP|369VULN|4DUR|5MBVNT|7aRCR|8FEWX
10	24142 31233	   	264.73	DCR|DCR|3VULN|1DUR	1TBNT|2BEXP|368VULN|4DUR|5MBVNT|7aRCR|9LWND
11	24142 31243	   	264.73	DCR|DCR|3VULN|1DUR	1TBNT|2BEXP|368VULN|4DUR|5MBVNT|7aRCR|9LHND
12	24126 71223	   	264.63	DCR|DCR|3VULN|1DUR	1TBNT|2BEXP|348VULN|5MBVNT|6AETHUN|7aRCR|9DUR
13	24142 31283	   	264.63	DCR|DCR|3VULN|1DUR	1TBNT|2BEXP|368VULN|4DUR|5MBVNT|7aRCR|9AETHUN
14	24142 31723	   	264.63	DCR|DCR|3VULN|1DUR	1TBNT|2BEXP|369VULN|4DUR|5MBVNT|7aRCR|8AETHUN
15	23141 41223	   	264.51	DCR|DCR|2VULN|1DMG|1MLV|1AAC	1TBNT|2ERES|3MDPS|4AAC|5MLV|6DMG|7aRCR|89VULN
16	43235 23122	 * 	259.69	DCR|4VULN|2DMG|2TLV	1aTLV|2MGNSTR|346aVULN|5RAT|7CGEN|8RCR|9aDMG|aBPWR
17	23132 22344	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1TBNT|2ERES|3MDPS|4MLV|5LWND|6DUR|79RCR|8TLV|aVULN
18	35214 11225	 * 	257.96	DCR|DCR|1FLTARM|1DMG|1DUR|1AART|1AAC|1CDMG	1CGEN|2AAC|3DUR|4CDMG|5TBNT|6DMG|7aRCR|8AART|9FLTARM
19	35216 11225	   	257.96	DCR|DCR|1FLTARM|1DMG|1DUR|1AART|1AAC|1CDMG	1CGEN|2AAC|3DUR|4CDMG|5BBNT|6DMG|7aRCR|8AART|9FLTARM
20	35214 12325	   	257.96	DCR|DCR|1FLTARM|1DMG|1DUR|1AART|1AAC|1CDMG	1CGEN|2AAC|3DUR|4CDMG|5TBNT|6DMG|7AART|8aRCR|9FLTARM
21	35216 12325	   	257.96	DCR|DCR|1FLTARM|1DMG|1DUR|1AART|1AAC|1CDMG	1CGEN|2AAC|3DUR|4CDMG|5BBNT|6DMG|7AART|8aRCR|9FLTARM
22	43241 63133	 * 	256.14	DCR|DCR|1VULN|1TLV|1DMG	1TLV|2MGNSTR|3VULN|4FEWX|5DMG|6ASPD|79RCR|8LHND|aLWND
23	43241 63131	   	256.04	DCR|DCR|1VULN|1TLV|1DMG	1TLV|2MGNSTR|3VULN|4FEWX|5DMG|6ASPD|79RCR|8LHND|aMBVNT
24	43241 63132	   	256.04	DCR|DCR|1VULN|1TLV|1DMG	1TLV|2MGNSTR|3VULN|4FEWX|5DMG|6ASPD|79RCR|8LHND|aERES
25	23116 41223	   	255.74	DCR|DCR|2VULN|1DMG	1TBNT|2ERES|3MDPS|4ASPD|5AME|6DMG|7aRCR|89VULN
26	43242 43132	   	255.24	DCR|DCR|2VULN|1TLV	1TLV|2MGNSTR|36VULN|4FEWX|5MBVNT|79RCR|8LHND|aCGEN
27	43242 43133	   	255.24	DCR|DCR|2VULN|1TLV	1TLV|2MGNSTR|36VULN|4FEWX|5MBVNT|79RCR|8LHND|aLIT
28	43242 43134	   	255.24	DCR|DCR|2VULN|1TLV	1TLV|2MGNSTR|36VULN|4FEWX|5MBVNT|79RCR|8LHND|aRPLT
29	43242 43136	   	255.24	DCR|DCR|2VULN|1TLV	1TLV|2MGNSTR|36VULN|4FEWX|5MBVNT|79RCR|8LHND|aBEXP
30	43242 43135	   	255.14	DCR|DCR|2VULN|1TLV	1TLV|2MGNSTR|36VULN|4FEWX|5MBVNT|79RCR|8LHND|aERES
31	43242 43832	   	255.14	DCR|DCR|2VULN|1TLV	1TLV|2MGNSTR|36VULN|4FEWX|5MBVNT|79RCR|8DUST|aCGEN
32	43242 43833	   	255.14	DCR|DCR|2VULN|1TLV	1TLV|2MGNSTR|36VULN|4FEWX|5MBVNT|79RCR|8DUST|aLIT
33	43242 43834	   	255.14	DCR|DCR|2VULN|1TLV	1TLV|2MGNSTR|36VULN|4FEWX|5MBVNT|79RCR|8DUST|aRPLT
34	24142 21123	 * 	255.04	DCR|DCR|2VULN|2DUR	1TBNT|2BEXP|39VULN|46DUR|5MBVNT|7aRCR|8FEWX
35	24142 21233	   	255.04	DCR|DCR|2VULN|2DUR	1TBNT|2BEXP|38VULN|46DUR|5MBVNT|7aRCR|9LWND
36	24142 21243	   	255.04	DCR|DCR|2VULN|2DUR	1TBNT|2BEXP|38VULN|46DUR|5MBVNT|7aRCR|9LHND
37	64242 21223	   	255.04	DCR|DCR|2VULN|2DUR	1BEXP|2LHND|3TBNT|46DUR|5MBVNT|7aRCR|89VULN
38	65242 21223	   	255.04	DCR|DCR|2VULN|2DUR	1BEXP|2LWND|3TBNT|46DUR|5MBVNT|7aRCR|89VULN
39	24143 12343	 * 	255.04	DCR|DCR|1VULN|2DUR|1TLV	1TBNT|2BEXP|3VULN|4aDUR|5FEWX|6DUST|79RCR|8TLV
40	24142 21283	   	254.94	DCR|DCR|2VULN|2DUR	1TBNT|2BEXP|38VULN|46DUR|5MBVNT|7aRCR|9AETHUN
41	24142 21723	   	254.94	DCR|DCR|2VULN|2DUR	1TBNT|2BEXP|39VULN|46DUR|5MBVNT|7aRCR|8AETHUN
42	24141 41213	   	252.31	DCR|4VULN|2DMG|1MLV|1DUR	1TBNT|29BEXP|389aVULN|4DUR|5MLV|69DMG|7RCR|9BPWR
43	23111 61223	   	251.38	DCR|DCR|2VULN|1MLV|1AAC	1TBNT|2ERES|3MDPS|4ASPD|5MLV|6AAC|7aRCR|89VULN
44	24126 71123	   	250.98	DCR|DCR|3VULN	1TBNT|2BEXP|349VULN|5MBVNT|6AETHUN|7aRCR|8FEWX
45	24126 71213	   	250.98	DCR|DCR|3VULN	1TBNT|2BEXP|348VULN|5MBVNT|6AETHUN|7aRCR|9LWND
46	44251 22123	   	250.68	DCR|3VULN|2DMG|1TLV|1DUR	1TLV|29DMG|3DUR|4ASPD|59aVULN|6DUST|79CGEN|8RCR|9BPWR
47	24131 51123	   	249.63	DCR|DCR|2VULN|1DUR|1AAC	1TBNT|2BEXP|39VULN|4ASPD|5AAC|6DUR|7aRCR|8FEWX
48	24131 51233	   	249.63	DCR|DCR|2VULN|1DUR|1AAC	1TBNT|2BEXP|38VULN|4ASPD|5AAC|6DUR|7aRCR|9LWND
