0	Index      	 *	Score 	Summary	Detail	
1	32311 26432	 * 	297.45	DCR|DCR|3VULN|1TLV|1DMG	1LWND|247VULN|3TLV|5RMIN|6DMG|8ERES|9aRCR
2	32313 26232	 * 	296.55	DCR|DCR|4VULN|1TLV|1AAC	1LWND|2467VULN|3TLV|5DUST|8AAC|9aRCR
3	32411 26432	   	286.85	DCR|DCR|3VULN|1DMG|1MLV	1LWND|247VULN|3MLV|5RMIN|6DMG|8ERES|9aRCR
4	32413 26232	   	285.95	DCR|DCR|4VULN|1MLV|1AAC	1LWND|2467VULN|3MLV|5DUST|8AAC|9aRCR
5	32311 25532	 * 	285.74	DCR|DCR|2VULN|2TLV|1DMG	1LWND|24VULN|38TLV|5RMIN|6DMG|7CGEN|9aRCR
6	32311 24532	   	285.64	DCR|DCR|2VULN|2TLV|1DMG	1LWND|24VULN|38TLV|5RMIN|6DMG|7ERES|9aRCR
7	12461 22232	 * 	280.34	DCR|DCR|2VULN|2DMG|1DUR	1ERES|26DMG|3CGEN|4DUR|5RMIN|78VULN|9aRCR
8	32312 45324	   	277.48	DCR|DCR|3VULN|1TLV	1LWND|249VULN|3TLV|5LHND|6VENTOX|7BEXP|8aRCR
9	32311 56432	   	277.38	DCR|DCR|3VULN|1TLV|1AAC	1LWND|246VULN|3TLV|5RMIN|7AAC|8ERES|9aRCR
10	32313 21232	   	277.28	DCR|DCR|3VULN|1TLV|1AAC	1LWND|246VULN|3TLV|57DUST|8AAC|9aRCR
11	32311 25132	   	275.41	DCR|DCR|2VULN|1TLV|1DMG	18LWND|24VULN|3TLV|5RMIN|6DMG|7CGEN|9aRCR
12	32311 25332	   	275.41	DCR|DCR|2VULN|1TLV|1DMG	1LWND|24VULN|3TLV|58RMIN|6DMG|7CGEN|9aRCR
13	32311 22432	   	275.31	DCR|DCR|2VULN|1TLV|1DMG	1LWND|24VULN|3TLV|57RMIN|6DMG|8ERES|9aRCR
14	32311 24132	   	275.31	DCR|DCR|2VULN|1TLV|1DMG	18LWND|24VULN|3TLV|5RMIN|6DMG|7ERES|9aRCR
15	32311 24332	   	275.31	DCR|DCR|2VULN|1TLV|1DMG	1LWND|24VULN|3TLV|58RMIN|6DMG|7ERES|9aRCR
16	32232 26432	   	271.34	DCR|DCR|3VULN|1DMG	14LWND|257VULN|35FEWX|5BPWR|6DMG|8ERES|9aRCR
17	42216 53232	   	271.24	DCR|DCR|3VULN|1DMG	1CGEN|2DMG|3RCVC|4FEWX|568VULN|7LEGI|9aRCR
18	63314 25232	   	271.24	DCR|DCR|3VULN|1DMG	1LEGI|2FEWX|3DMG|468VULN|5RCVC|7CGEN|9aRCR
19	63314 24232	   	271.14	DCR|DCR|3VULN|1DMG	1LEGI|2FEWX|3DMG|468VULN|5RCVC|7ERES|9aRCR
20	14132 43324	 * 	270.75	DCR|DCR|1VULN|2DUR|1TLV|1MLV	1ERES|2VENTOX|3FEWX|45DUR|6TLV|7MLV|8aRCR|9VULN
21	14232 43324	   	270.75	DCR|DCR|1VULN|2DUR|1TLV|1MLV	1ERES|2VENTOX|3BEXP|45DUR|6TLV|7MLV|8aRCR|9VULN
22	46323 62232	   	268.89	DCR|DCR|2VULN|1TLV|2ASPD	1CGEN|28VULN|36ASPD|4LHND|5TLV|7RMIN|9aRCR
23	16323 62232	   	268.79	DCR|DCR|2VULN|1TLV|2ASPD	1ERES|28VULN|36ASPD|4LHND|5TLV|7RMIN|9aRCR
24	62343 15232	   	268.59	DCR|DCR|2VULN|1TLV|2ASPD	1LEGI|23ASPD|45DUST|6TLV|78VULN|9aRCR
