0	Index      	 *	Score 	Summary	Detail	
1	15322 13266	 * 	258.10	DCR|DCR|2VULN|1MLV|1CDMG	1BEXP|2MDPS|35VULN|4CDMG|6ERES|79RCR|8BLASTR|aMLV
2	21333 54673	 * 	255.14	DCR|DCR|2VULN|2DUR	1aCGEN|2aDUR|3LHND|4MBVNT|5AETHUN|69RCR|7VENICY|8aVULN|aBPWR
3	23642 21226	   	255.10	DCR|DCR|2VULN|2DUR|1SELL	19CGEN|2LHND|3SELL|49VULN|5AEBURN|6FEWX|7aRCR|89DUR|9BPWR
4	26431 11226	 * 	249.20	DCR|DCR|1VULN|2DUR|2CDMG	19CGEN|2DMSP|3VULN|49CDMG|5BEXP|6LHND|7aRCR|89DUR|9BPWR
5	15322 13261	 * 	248.80	DCR|DCR|2VULN|2CDMG	1BEXP|2MDPS|35VULN|4aCDMG|6ERES|79RCR|8BLASTR
6	32211 51124	 * 	247.64	DCR|2VULN|2DMG|2TLV|1MLV|1DUR	1RAT|2aDMG|3DUR|4RMIN|5MLV|6RCR|7aVULN|8FEWX|9aTLV|aBPWR
7	32211 51624	   	247.54	DCR|2VULN|2DMG|2TLV|1MLV|1DUR	1RAT|2aDMG|3DUR|4RMIN|5MLV|6RCR|7aVULN|8DUST|9aTLV|aBPWR
8	41512 12352	 * 	246.27	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1SPLREG|2CGEN|3LIT|4TLV|5BELT|67RCR|8DUR|9MLV|aDMG
9	52341 25212	   	244.54	DCR|DCR|2VULN|1MLV|1AAC	1LIT|2ERES|3AAC|46VULN|5MLV|79RCR|8AIRHEA|aBELT
10	52341 25211	   	244.44	DCR|DCR|2VULN|1MLV|1AAC	1LIT|2ERES|3AAC|46VULN|5MLV|79RCR|8AIRHEA|aFLTFST
11	52341 25213	   	244.44	DCR|DCR|2VULN|1MLV|1AAC|1MSE	1LIT|2ERES|3AAC|46VULN|5MLV|79RCR|8AIRHEA|aMSE
12	21451 41312	 * 	243.11	DCR|DCR|2DUR|1TLV|1DMG	1CGEN|27DUR|3MSLFST|4DMG|5LIT|6TLV|89RCR|aBELT
13	21451 41311	   	243.01	DCR|DCR|2DUR|1TLV|1DMG	1CGEN|27DUR|3MSLFST|4DMG|5LIT|6TLV|89RCR|aTSLFST
14	21451 41313	   	243.01	DCR|DCR|2DUR|1TLV|1DMG|1MSE	1CGEN|27DUR|3MSLFST|4DMG|5LIT|6TLV|89RCR|aMSE
15	22341 61226	   	242.89	DCR|DCR|1VULN|2DUR|1CDMG	19CGEN|2FEWX|39LHND|4CDMG|5DMSP|6VULN|7aRCR|89DUR|9BPWR
16	22343 61226	   	242.89	DCR|DCR|1VULN|2DUR|1CDMG	19CGEN|2FEWX|359LHND|4CDMG|6VULN|7aRCR|89DUR|9BPWR
17	22342 61226	   	242.69	DCR|DCR|1VULN|2DUR|1CDMG	1CGEN|29FEWX|3LHND|4CDMG|59AEBURN|6VULN|7aRCR|89DUR|9BPWR
18	33212 65232	 * 	242.69	DCR|DCR|1VULN|1FLTARM|1DUR	1RAT|2MDPS|3LHND|4CGEN|5FLTARM|6aRCR|7RMIN|8DUR|9VULN
19	33512 65232	   	242.69	DCR|DCR|1VULN|1FLTARM|1DUR	1RAT|2MDPS|3BEXP|4CGEN|5FLTARM|6aRCR|7RMIN|8DUR|9VULN
20	15322 13262	   	242.49	DCR|DCR|2VULN|1CDMG	1BEXP|2MDPS|35VULN|4CDMG|6ERES|79RCR|8BLASTR|aFEWX
21	15322 13264	   	242.49	DCR|DCR|2VULN|1CDMG	1BEXP|2MDPS|35VULN|4CDMG|6ERES|79RCR|8BLASTR|aRCVC
22	15322 13263	   	242.39	DCR|DCR|2VULN|1CDMG	1BEXP|2MDPS|35VULN|4CDMG|6ERES|79RCR|8BLASTR|aDUST
23	15322 13265	   	242.39	DCR|DCR|2VULN|1CDMG|1SELL	1BEXP|2MDPS|35VULN|4CDMG|6ERES|79RCR|8BLASTR|aSELL
24	41512 12312	   	237.60	DCR|DCR|1TLV|1DMG|1DUR	1SPLREG|2CGEN|3LIT|4TLV|5BELT|67RCR|8DUR|9ASPD|aDMG
