0	Index      	 *	Score 	Summary	Detail	
1	23132 53524	 * 	268.89	DCR|DCR|2VULN|1TLV|1DUR	1RAT|2BOSS|3BEXP|4aVULN|5MDPS|67RCR|8TLV|9DUR
2	23132 53261	   	255.24	DCR|DCR|2VULN|1TLV	1RAT|2BOSS|3BEXP|48VULN|5MDPS|67RCR|9LIT|aTLV
3	23132 53534	   	255.24	DCR|DCR|2VULN|1TLV	1RAT|2BOSS|3BEXP|4aVULN|5MDPS|67RCR|8TLV|9LHND
4	23132 53521	 * 	255.14	DCR|DCR|1VULN|2DUR|1TLV	1RAT|2BOSS|3BEXP|4VULN|5MDPS|67RCR|8TLV|9aDUR
5	43752 21344	   	255.04	DCR|DCR|2VULN|1TLV	1LHND|2MBVNT|36VULN|4AIRHEA|5AETHUN|7TLV|8RPLT|9aRCR
6	43772 21344	   	255.04	DCR|DCR|2VULN|1TLV	1LHND|2MBVNT|36VULN|4MULARM|5AETHUN|7TLV|8RPLT|9aRCR
7	23132 53262	 * 	251.38	DCR|DCR|3VULN	1aRAT|2BOSS|3BEXP|48aVULN|5MDPS|67RCR|9aLIT|aBPWR
8	12324 64175	   	249.43	DCR|DCR|2VULN|1AART	1ASPD|2ZMB|3DUST|4MBVNT|5AART|6MDPS|79RCR|8aVULN
9	12324 64176	   	249.43	DCR|DCR|1VULN|1TLV|1AART	1ASPD|2ZMB|3DUST|4MBVNT|5AART|6MDPS|79RCR|8VULN|aTLV
10	16311 25225	 * 	248.43	ACR|DCR|2VULN|1TLV|1DMG	1ASPD|2RAT|3TLV|47RCR|5BEXP|6aVULN|8CGEN|9DMG
11	66512 31113	 * 	245.49	DCR|3VULN|2DMG|1TLV|1MLV	1LEGI|25aVULN|3RPLT|4TLV|67DMG|8MLV|9RCR
12	43614 42454	 * 	245.41	ACR|DCR|2VULN|2TLV|1DUR	17LHND|2MBVNT|3RPLT|47TLV|5aRCR|67VULN|7BPWR|8DUR|9SNITOX
13	23132 53211	   	242.69	DCR|DCR|2VULN|1DUR	1RAT|2BOSS|3BEXP|48VULN|5MDPS|67RCR|9DUR|aLWND
14	23132 53213	   	242.69	DCR|DCR|2VULN|1DUR	1RAT|2BOSS|3aBEXP|48VULN|5MDPS|67RCR|9DUR
15	23132 53215	   	242.69	DCR|DCR|2VULN|1DUR	1RAT|2BOSS|3BEXP|48VULN|5MDPS|67RCR|9DUR|aRMIN
16	23132 53265	   	242.69	DCR|DCR|2VULN|1AAC	1RAT|2BOSS|3BEXP|48VULN|5MDPS|67RCR|9LIT|aAAC
17	23132 53324	   	242.69	DCR|DCR|2VULN|1DUR	1RAT|2BOSS|3BEXP|4aVULN|5MDPS|67RCR|8RMIN|9DUR
18	23132 53623	   	242.69	DCR|DCR|2VULN|1DUR	1RAT|2BOSS|3BEXP|4aVULN|5MDPS|67RCR|8FRZICY|9DUR
19	23132 53511	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG	1RAT|2BOSS|3BEXP|4VULN|5MDPS|67RCR|8TLV|9RPLT|aCDMG
20	23132 53522	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1RAT|2BOSS|3BEXP|4VULN|5MDPS|67RCR|8TLV|9DUR|aRPLT
21	23132 53523	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1RAT|2BOSS|3BEXP|4VULN|5MDPS|67RCR|8TLV|9DUR|aDMSP
22	23132 53525	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1aRAT|2BOSS|3BEXP|4VULN|5MDPS|67RCR|8TLV|9DUR
23	23132 53531	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1RAT|2BOSS|3BEXP|4VULN|5MDPS|67RCR|8TLV|9LHND|aDUR
24	23132 53541	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1RAT|2BOSS|3BEXP|4VULN|5MDPS|67RCR|8TLV|9FEWX|aDUR
25	23132 53212	   	242.59	DCR|DCR|2VULN|1DUR|1SELL	1RAT|2BOSS|3BEXP|48VULN|5MDPS|67RCR|9DUR|aSELL
26	23132 53216	   	242.59	DCR|DCR|2VULN|1DUR	1RAT|2BOSS|3BEXP|48VULN|5MDPS|67RCR|9DUR|aLSRHEA
27	23132 53222	   	242.59	DCR|DCR|2VULN|1AAC	1RAT|2BOSS|3BEXP|48VULN|5MDPS|67RCR|9MULARM|aAAC
28	23132 53232	   	242.59	DCR|DCR|2VULN|1AAC	1RAT|2BOSS|3BEXP|48VULN|5MDPS|67RCR|9SPLJET|aAAC
29	23132 53252	   	242.59	DCR|DCR|2VULN|1AAC	1RAT|2BOSS|3BEXP|48VULN|5MDPS|67RCR|9SPLARM|aAAC
30	23132 53526	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1RAT|2BOSS|3BEXP|4VULN|5MDPS|67RCR|8TLV|9DUR|aTBNT
31	23132 53561	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1RAT|2BOSS|3BEXP|4VULN|5MDPS|67RCR|8TLV|9BBNT|aAART
32	16225 43313	   	242.49	DCR|DCR|1VULN|1TLV|2ASPD	1aASPD|2RAT|3AEFBLL|4RCVC|5TLV|6VULN|7BLAICY|89RCR
33	35561 31211	   	241.56	DCR|3VULN|1TLV|1DMG|1MLV|1DUR	1RPLT|2DUR|3ERES|4TLV|568VULN|7DMG|9RCR|aMLV
34	13216 13252	 * 	240.32	DCR|DCR|2TLV|1FLTARM	1ASPD|2CGEN|3AEFBLL|4FLTARM|58TLV|6aRCR|7LHND|9VENICY
