0	Index      	 *	Score 	Summary	Detail	
1	32631 26531	 * 	266.69	DCR|DCR|2DMG|1VULN|2DUR	1AEFBLL|2aDUR|3FLTHEA|4VULN|5aZMB|68RCR|7LIT|9aDMG|aBPWR
2	43114 23363	 * 	265.71	DCR|3VULN|3DMG|1TLV|2CDMG	127DMG|37CDMG|47aVULN|5BELT|6MDPS|7BPWR|8TLV|9RCR
3	13222 53266	 * 	264.83	DCR|DCR|3VULN|1AART	147VULN|27FEWX|3RPLT|57ERES|6aRCR|7BPWR|8AEFRZ|9AART
4	12222 51266	   	264.73	DCR|DCR|3VULN|1AART	147VULN|2LWND|3RPLT|5ERES|6aRCR|8AEFRZ|9AART
5	13222 51266	   	264.73	DCR|DCR|3VULN|1AART	147VULN|2FEWX|3RPLT|5ERES|6aRCR|8AEFRZ|9AART
6	11142 23615	 * 	262.70	DCR|4VULN|2DMG|1TLV|1DUR	127aVULN|2BPWR|3DUR|4DUST|59DMG|6TLV|8RCR
7	32631 26533	 * 	262.65	DCR|DCR|2VULN|1DMG|1DUR	1AEFBLL|2DUR|3FLTHEA|4aVULN|5ZMB|68RCR|7LIT|9DMG
8	63234 22413	 * 	260.14	DCR|2VULN|3DMG|2TLV|2DUR|1AAC	1aDUR|27aDMG|39VULN|4RAT|5aTLV|6AAC|8RCR|aBPWR
9	32313 46232	   	257.99	DCR|DCR|1VULN|2DUR|1MLV|1CDMG	1AEFBLL|23DUR|4ERES|5VENICY|68RCR|7VULN|9CDMG|aMLV
10	11112 23616	   	257.29	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	127VULN|2BPWR|3DUR|4LHND|59DMG|6TLV|8RCR|aCDMG
11	11112 23611	 * 	256.09	DCR|3VULN|2DMG|2DUR|1TLV	127VULN|2BPWR|3aDUR|4LHND|59DMG|6TLV|8RCR
12	11625 23611	   	256.09	DCR|3VULN|2DMG|2DUR|1TLV	123VULN|23BPWR|4aDUR|59DMG|6LHND|7TLV|8RCR
13	11142 23611	   	255.99	DCR|3VULN|2DMG|2DUR|1TLV	127VULN|2BPWR|3aDUR|4DUST|59DMG|6TLV|8RCR
14	11625 33611	   	255.99	DCR|3VULN|2DMG|2DUR|1TLV	123VULN|23BPWR|4aDUR|59DMG|6DUST|7TLV|8RCR
15	63243 23611	   	255.99	DCR|3VULN|2DMG|2DUR|1TLV	1aDUR|29DMG|347VULN|5DUST|6TLV|8RCR
16	22342 62222	   	255.84	DCR|DCR|2VULN|1DMG	1RAT|2BASICY|3ASPD|4DMG|58VULN|6DLOT|7BBNT|9aRCR
17	32313 46251	 * 	254.94	DCR|DCR|1VULN|2DUR|1TLV	1AEFBLL|23DUR|4ERES|5VENICY|68RCR|7VULN|9BOSS|aTLV
18	14423 41123	   	253.00	DCR|3VULN|2DMG|2CDMG|1MLV|1AART	14aVULN|2MDPS|3aCDMG|5MLV|6ERES|7RCR|8AART|9aDMG|aBPWR
19	63234 32413	   	252.26	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	1aDUR|2DMG|39aVULN|4RAT|5TLV|6DMSP|7aASPD|8RCR|aBPWR
20	51234 32413	 * 	251.36	DCR|4VULN|2DUR|1TLV|2ASPD|1AAC	1AAC|2aDUR|369aVULN|4RAT|5TLV|7aASPD|8RCR|aBPWR
21	11142 21613	   	250.71	DCR|2VULN|3DMG|1TLV|1DUR|1AART	12VULN|2BPWR|3DUR|4DUST|579DMG|6TLV|8RCR|aAART
22	63243 21613	   	250.71	DCR|2VULN|3DMG|1TLV|1DUR|1AART	1DUR|279DMG|34VULN|5DUST|6TLV|8RCR|aAART
23	43114 23263	   	246.44	DCR|3VULN|3DMG|2CDMG	127DMG|37CDMG|47aVULN|5BELT|6MDPS|7BPWR|8ASPD|9RCR
24	11625 11142	   	246.31	DCR|4VULN|1DMG|1DUR|1AART|1CDMG	1236VULN|23BPWR|4DUR|5DMG|7FEWX|8CDMG|9RCR|aAART
25	11622 33165	   	246.21	DCR|4VULN|1DMG|1DUR|1AART|1CDMG	1238VULN|23BPWR|4DUR|5CDMG|6DMG|7BBNT|9AART|aRCR
26	43642 31122	   	245.49	DCR|3VULN|2DMG|1TLV|1MLV	12DMG|3MDPS|48aVULN|5RPLT|6TLV|7MLV|9RCR
27	32423 46232	   	245.44	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1AEFBLL|2DUR|3ERES|4AEWIND|5VENICY|68RCR|7VULN|9CDMG|aMLV
28	65322 23611	 * 	245.40	DCR|2VULN|3DUR|2DMG|1TLV	14aDUR|2LHND|37VULN|59DMG|6TLV|8RCR
29	11622 33265	   	244.64	DCR|3VULN|2DMG|1DUR|1AART|1CDMG	123VULN|23BPWR|4DUR|5CDMG|68DMG|7BBNT|9AART|aRCR
