0	Index      	 *	Score 	Summary	Detail	
1	11646 12323	 * 	282.62	DCR|DCR|2VULN|1DMG|2CDMG|1DUR	16VULN|2BBNT|3VENFST|4DUR|5DMG|78CDMG|9aRCR
2	12421 12423	 * 	278.38	DCR|DCR|3VULN|1DUR|1CDMG|1AAC	138VULN|2AAC|4TBNT|5DUR|6SNITOX|7CDMG|9aRCR
3	12516 12423	   	278.38	DCR|DCR|3VULN|1DUR|1CDMG|1AAC	168VULN|2AAC|3TBNT|4SPLJET|5DUR|7CDMG|9aRCR
4	12551 12423	   	278.38	DCR|DCR|3VULN|1DUR|1CDMG|1AAC	148VULN|2AAC|3TBNT|5DUR|6SNITOX|7CDMG|9aRCR
5	16421 12423	   	278.38	DCR|DCR|3VULN|1DUR|1CDMG	138VULN|2ZMB|4TBNT|5DUR|6SNITOX|7CDMG|9aRCR
6	11251 12423	   	276.30	DCR|DCR|2VULN|1DMG|1DUR|1CDMG	18VULN|2BBNT|3DMSP|4DUR|5DMG|6SNITOX|7CDMG|9aRCR
7	24512 12324	 * 	271.95	DCR|DCR|1VULN|1TLV|1MLV|1AART|1CDMG	1MBVNT|2RAT|3BEXP|4AART|5TLV|6MLV|7CDMG|8VULN|9aRCR
8	15223 25126	 * 	271.34	DCR|DCR|3VULN|1DMG	14aVULN|2RPLT|34RAT|4BPWR|5DMG|68RCR|7ERES|9FEWX
9	15223 25136	   	271.34	DCR|DCR|3VULN|1DMG	14aVULN|2RPLT|34RAT|4BPWR|5DMG|68RCR|7ERES|9LHND
10	12155 23622	   	271.14	DCR|DCR|3VULN|1DMG|1AAC	14aVULN|2AAC|3RPLT|5MDPS|6TBNT|7DMG|89RCR
11	22523 38722	 * 	270.75	DCR|DCR|2VULN|1TLV|1MLV	1MBVNT|2MLV|3aVULN|4TLV|5BBNT|6RPLT|7BEXP|89RCR
12	28223 38722	   	270.75	DCR|DCR|2VULN|1TLV|1MLV	1MBVNT|2aVULN|3MLV|4TLV|5BBNT|6RPLT|7BEXP|89RCR
13	23416 63163	   	269.59	DCR|DCR|2VULN|1DMG|1DUR	1MBVNT|2VENFST|3RPLT|45VULN|6aRCR|7DUR|8DMG|9ASPD
14	26524 83111	   	268.89	DCR|DCR|2VULN|1TLV|1CDMG	1MBVNT|2ZMB|3aVULN|4TLV|5RAT|6CDMG|78RCR|9RPLT
15	12511 22423	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG|1AAC	18VULN|2AAC|3TBNT|4SPLJET|5CGEN|6TLV|7CDMG|9aRCR
