0	Index      	 *	Score 	Summary	Detail	
1	31251 51111	 * 	282.44	DCR|DCR|2VULN|1TLV|1DUR|1CDMG	1CDMG|2AIRHEA|3RMIN|49VULN|5DUR|6TLV|7TBNT|8aRCR
2	31251 21111	   	271.85	DCR|DCR|2VULN|1MLV|1DUR|1CDMG	1CDMG|2AIRHEA|3RMIN|49VULN|5DUR|6MLV|7TBNT|8aRCR
3	31253 51111	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2AIRHEA|3RMIN|49VULN|5BEXP|6TLV|7TBNT|8aRCR
4	31255 11111	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2AIRHEA|3RMIN|49VULN|5TLV|6FEWX|7TBNT|8aRCR
5	31255 41111	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2AIRHEA|3RMIN|49VULN|5TLV|6LHND|7TBNT|8aRCR
6	31435 12111	 * 	268.69	DCR|DCR|2VULN|2DUR|1CDMG	1CDMG|2AIRHEA|3BBNT|49VULN|5LWND|67DUR|8aRCR
7	31433 26111	 * 	264.73	DCR|DCR|3VULN|1CDMG	1CDMG|2AIRHEA|3BBNT|459VULN|6LWND|7BEXP|8aRCR
8	31253 21111	   	258.19	DCR|DCR|2VULN|1MLV|1CDMG	1CDMG|2AIRHEA|3RMIN|49VULN|5BEXP|6MLV|7TBNT|8aRCR
9	31433 22161	   	258.19	DCR|DCR|2VULN|1MLV|1CDMG	1CDMG|2AIRHEA|3BBNT|45VULN|6LWND|7MLV|8aRCR|9RMIN
10	31165 13131	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1CDMG|2AIRHEA|3FEWX|4MDPS|5VULN|6MLV|7LWND|8aRCR|9TLV
11	31165 14131	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1CDMG|2AIRHEA|3FEWX|4MDPS|5VULN|6MLV|7LHND|8aRCR|9TLV
12	31325 13131	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1CDMG|2AIRHEA|3BEXP|4MDPS|5VULN|6MLV|7LWND|8aRCR|9TLV
13	31325 14131	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1CDMG|2AIRHEA|3BEXP|4MDPS|5VULN|6MLV|7LHND|8aRCR|9TLV
14	31165 12131	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1CDMG|2AIRHEA|3FEWX|4MDPS|5VULN|6MLV|7DUST|8aRCR|9TLV
15	31325 12131	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1CDMG|2AIRHEA|3BEXP|4MDPS|5VULN|6MLV|7DUST|8aRCR|9TLV
16	36144 23111	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|23LWND|4DUR|59VULN|6TBNT|7FRZARM|8aRCR
17	31435 13111	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1CDMG|2AIRHEA|3BBNT|49VULN|57LWND|6DUR|8aRCR
18	31251 51121	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1CDMG|2AIRHEA|39RMIN|4VULN|5DUR|6TLV|7TBNT|8aRCR
19	21413 31826	   	256.14	DCR|DCR|2VULN|1DUR|1AART	1BEXP|2AART|3DUR|4DUST|59VULN|6AEBURN|7MBVNT|8aRCR
20	21611 31826	   	256.14	DCR|DCR|2VULN|1DUR|1AART	1BEXP|2AART|39VULN|4DUST|5DUR|6AEBURN|7MBVNT|8aRCR
