0	Index      	 *	Score 	Summary	Detail	
1	43131 26352	 * 	275.80	ACR|DCR|2VULN|1DMG|1MLV|1ASPD|1RPLT	1TSLARM|28RCR|3RPLT|49VULN|5FEWX|6DMG|7MLV|aASPD
2	43131 36352	 * 	268.19	ACR|DCR|2VULN|2ASPD|1MLV|1RPLT	1TSLARM|28RCR|3RPLT|49VULN|5FEWX|6aASPD|7MLV
3	43326 33135	 * 	265.76	ACR|DCR|4VULN|1AART	1TSLARM|28RCR|3RMIN|4DUST|5AART|679aVULN
4	21215 28544	 * 	264.39	DCR|DCR|2MLV|1VULN|1CDMG	1FEWX|2RCVC|3MBVNT|48MLV|5CDMG|6CGEN|79RCR|aVULN
5	43326 33134	   	264.12	ACR|DCR|3VULN|1MLV|1AART	1TSLARM|28RCR|3RMIN|4DUST|5AART|679VULN|aMLV
6	23523 26533	   	262.86	DCR|DCR|1VULN|1ASPD|1CDMG|1AART	1FEWX|2CDMG|3ASPD|4MBVNT|5DUR|6CGEN|7VULN|8aRCR|9AART
7	43131 26351	   	262.05	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1TSLARM|28RCR|3RPLT|49VULN|5FEWX|6DMG|7MLV|aDUST
8	43131 26353	   	262.05	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1TSLARM|28RCR|3RPLT|49VULN|5FEWX|6DMG|7MLV|aSPLREG
9	43133 26352	   	262.05	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1TSLARM|28RCR|3RPLT|49VULN|5DUST|6DMG|7MLV|aLIT
10	43133 26351	   	261.95	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1TSLARM|28RCR|3RPLT|49VULN|5aDUST|6DMG|7MLV
11	43133 26353	   	261.95	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1TSLARM|28RCR|3RPLT|49VULN|5DUST|6DMG|7MLV|aSPLREG
12	43131 23352	   	258.17	ACR|DCR|2VULN|1DMG|1ASPD|1RPLT	1TSLARM|28RCR|3RPLT|49VULN|5FEWX|6DMG|7ERES|aASPD
13	43514 32112	 * 	257.70	ACR|DCR|2VULN|2MLV|1AART	1TSLARM|28RCR|3AART|47MLV|5FEWX|6aVULN|9CGEN
14	43514 32122	   	257.70	ACR|DCR|2VULN|2MLV|1AART	1TSLARM|28RCR|3AART|47MLV|5FEWX|6aVULN|9BBNT
15	43516 32112	   	257.70	ACR|DCR|2VULN|2MLV|1AART	1TSLARM|28RCR|3AART|47MLV|5LHND|6aVULN|9CGEN
16	43514 32131	   	257.70	ACR|DCR|2VULN|2MLV|1AART	1TSLARM|28RCR|3AART|47MLV|5FEWX|69VULN|aLWND
17	43514 32133	   	257.70	ACR|DCR|2VULN|2MLV|1AART	1TSLARM|28RCR|3AART|47MLV|5FEWX|69VULN|aBEXP
18	43516 32131	   	257.70	ACR|DCR|2VULN|2MLV|1AART	1TSLARM|28RCR|3AART|47MLV|5LHND|69VULN|aLWND
19	43516 32133	   	257.70	ACR|DCR|2VULN|2MLV|1AART	1TSLARM|28RCR|3AART|47MLV|5LHND|69VULN|aBEXP
20	43514 32132	   	257.60	ACR|DCR|2VULN|2MLV|1AART	1TSLARM|28RCR|3AART|47MLV|5FEWX|69VULN|aERES
21	43516 32132	   	257.60	ACR|DCR|2VULN|2MLV|1AART	1TSLARM|28RCR|3AART|47MLV|5LHND|69VULN|aERES
22	43366 33133	   	256.35	ACR|DCR|3VULN|1AART|1RPLT	1TSLARM|28RCR|3RMIN|4LWND|5AART|679VULN|aRPLT
23	43522 53133	   	256.35	ACR|DCR|3VULN|1AART|1RPLT	1TSLARM|28RCR|3AART|479VULN|5LWND|6RMIN|aRPLT
24	43131 36353	   	255.74	ACR|DCR|2VULN|1MLV|1ASPD|1RPLT	1TSLARM|28RCR|3RPLT|49VULN|5FEWX|6ASPD|7MLV|aLHND
25	43133 36352	   	255.64	ACR|DCR|2VULN|1MLV|1ASPD|1RPLT	1TSLARM|28RCR|3RPLT|49VULN|5DUST|6ASPD|7MLV|aLIT
26	43131 36351	   	255.64	ACR|DCR|2VULN|1MLV|1ASPD|1RPLT	1TSLARM|28RCR|3RPLT|49VULN|5FEWX|6ASPD|7MLV|aDUST
27	43133 36351	   	255.54	ACR|DCR|2VULN|1MLV|1ASPD|1RPLT	1TSLARM|28RCR|3RPLT|49VULN|5aDUST|6ASPD|7MLV
28	43133 36353	   	255.54	ACR|DCR|2VULN|1MLV|1ASPD|1RPLT	1TSLARM|28RCR|3RPLT|49VULN|5DUST|6ASPD|7MLV|aSPLREG
