0	Index      	 *	Score 	Summary	Detail	
1	33355 28224	 * 	301.54	DCR|DCR|3VULN|1ASPD|1CDMG	14aVULN|2TLV|3CDMG|5DUR|6MBVNT|78RCR|9ASPD
2	33355 28231	   	297.55	DCR|DCR|3VULN|1CDMG	14aVULN|2TLV|3CDMG|5DUR|6MBVNT|78RCR|9RPLT
3	33355 28223	   	289.06	DCR|DCR|2VULN|1ASPD|1CDMG	14VULN|2TLV|3CDMG|5DUR|6MBVNT|78RCR|9ASPD|aAART
4	33355 28214	   	287.89	DCR|DCR|3VULN|1CDMG	14aVULN|2TLV|3CDMG|5DUR|6MBVNT|78RCR|9RMIN
5	33355 28242	   	287.89	DCR|DCR|3VULN|1CDMG	14aVULN|2TLV|3CDMG|5DUR|6MBVNT|78RCR|9FEWX
6	33365 28224	   	285.82	DCR|DCR|2VULN|2CDMG|1ASPD	1aVULN|24TLV|34CDMG|4BPWR|5DUR|6MBVNT|78RCR|9ASPD
7	33355 28244	   	283.29	DCR|DCR|2VULN|1MLV|1CDMG	14VULN|2TLV|3CDMG|5DUR|6MBVNT|78RCR|9FEWX|aMLV
8	33365 28231	   	281.83	DCR|DCR|2VULN|2CDMG	1aVULN|24TLV|34CDMG|4BPWR|5DUR|6MBVNT|78RCR|9RPLT
9	33355 28222	   	279.40	DCR|DCR|2VULN|1ASPD|1CDMG	14VULN|2TLV|3CDMG|5DUR|6MBVNT|78RCR|9ASPD|aTBNT
10	33355 28221	   	279.30	DCR|DCR|2VULN|1ASPD|1CDMG	14VULN|2TLV|3CDMG|5DUR|6MBVNT|78RCR|9ASPD|aMDPS
11	11712 33456	 * 	277.14	DCR|DCR|2VULN|2MLV	1MBVNT|2TBNT|3RMIN|4aMLV|5TLV|6aVULN|7aBEXP|89RCR|aBPWR
12	33355 28213	   	275.41	DCR|DCR|2VULN|1CDMG	14VULN|2TLV|3CDMG|5DUR|6MBVNT|78RCR|9RMIN|aAART
13	33355 28233	   	275.41	DCR|DCR|2VULN|1CDMG	14VULN|2TLV|3CDMG|5DUR|6MBVNT|78RCR|9RPLT|aRMIN
14	33355 28232	   	275.31	DCR|DCR|2VULN|1CDMG	14VULN|2TLV|3CDMG|5DUR|6MBVNT|78RCR|9RPLT|aAELOIC
15	33355 28234	   	275.31	DCR|DCR|2VULN|1CDMG|1MSE	14VULN|2TLV|3CDMG|5DUR|6MBVNT|78RCR|9RPLT|aMSE
16	31143 33155	 * 	274.68	ACR|DCR|3VULN|2DMG	18aVULN|2FEWX|3MDPS|49RCR|5aDMG|6aERES|7BBNT|aBPWR
17	32412 51222	 * 	274.61	ACR|DCR|2VULN|2ASPD|1DMG|1CDMG	1aVULN|2DMG|3AME|48RCR|5LEGI|69ASPD|7CDMG
18	32414 51222	   	274.61	ACR|DCR|2VULN|2ASPD|1DMG|1CDMG	1aVULN|2DMG|3AME|48RCR|5DUST|69ASPD|7CDMG
19	31626 33632	   	274.00	DCR|DCR|3VULN|1ZMB	14aVULN|2FEWX|3TBNT|5DUR|68RCR|7ZMB|9DUST
20	15512 14514	   	273.52	DCR|DCR|2VULN|1DMG	1MBVNT|2RPLT|3LIT|4TLV|5aVULN|6LHND|78RCR|9DMG
21	15514 34514	   	273.42	DCR|DCR|2VULN|1DMG	1MBVNT|2RPLT|3LIT|4TLV|5LEGI|6aVULN|78RCR|9DMG
22	15522 44514	   	273.42	DCR|DCR|2VULN|1DMG	1MBVNT|2RPLT|3LIT|4LHND|5ERES|6aVULN|78RCR|9DMG
23	15722 14514	   	273.42	DCR|DCR|2VULN|1DMG	1MBVNT|2RPLT|3AME|4LIT|5aVULN|6LHND|78RCR|9DMG
24	15724 34514	   	273.32	DCR|DCR|2VULN|1DMG	1MBVNT|2RPLT|3AME|4LIT|5LEGI|6aVULN|78RCR|9DMG
25	33355 28241	   	272.30	DCR|DCR|2VULN|2DUR|1CDMG	14VULN|2TLV|3CDMG|5aDUR|6MBVNT|78RCR|9FEWX
26	33365 28214	   	272.17	DCR|DCR|2VULN|2CDMG	1aVULN|24TLV|34CDMG|4BPWR|5DUR|6MBVNT|78RCR|9RMIN
27	33365 28242	   	272.17	DCR|DCR|2VULN|2CDMG	1aVULN|24TLV|34CDMG|4BPWR|5DUR|6MBVNT|78RCR|9FEWX
