0	Index      	 *	Score 	Summary	Detail	
1	21177 52433	 * 	299.73	DCR|DCR|2VULN|2DMG|1CDMG	18VULN|2LIT|3MBVNT|48DUST|58DMG|6MDPS|7aRCR|8BPWR|9CDMG
2	24353 12262	 * 	296.49	ACR|DCR|3VULN|3DMG	18aVULN|2AAC|3LHND|46RCR|57aDMG|9aERES|aBPWR
3	21126 32443	 * 	285.40	DCR|DCR|3VULN|1CDMG|1ZMB	169VULN|2LIT|3MBVNT|4TBNT|5ZMB|7aRCR|8CDMG
4	21136 32443	 * 	285.40	DCR|DCR|3VULN|1CDMG|1ZMB	169VULN|2LIT|3MBVNT|4BBNT|5ZMB|7aRCR|8CDMG
5	24353 13262	   	280.84	ACR|DCR|3VULN|2DMG	18aVULN|2AAC|37LHND|46RCR|5aDMG|9aERES|aBPWR
6	14253 11341	   	280.63	ACR|DCR|2VULN|1DMG|1MLV|1CDMG	1LWND|2AAC|39VULN|46RCR|5DMG|7CDMG|8AART|aMLV
7	24353 11341	   	280.63	ACR|DCR|2VULN|1DMG|1MLV|1CDMG	19VULN|2AAC|3LHND|46RCR|5DMG|7CDMG|8AART|aMLV
8	41253 11336	   	280.39	ACR|DCR|2VULN|1DMG|1MLV|1CDMG|1ZMB	1ZMB|2LHND|3aVULN|46RCR|5DMG|7CDMG|8AART|9MLV
9	41253 11341	   	280.39	ACR|DCR|2VULN|1DMG|1MLV|1CDMG|1ZMB	1ZMB|2LHND|39VULN|46RCR|5DMG|7CDMG|8AART|aMLV
10	14253 12212	   	275.34	ACR|DCR|2VULN|2DMG	1LWND|2AAC|38VULN|46RCR|57DMG|9DUR|aRPLT
11	64253 12212	   	275.34	ACR|DCR|2VULN|2DMG	1LHND|2AAC|38VULN|46RCR|57DMG|9DUR|aRPLT
12	24353 12212	   	275.34	ACR|DCR|2VULN|2DMG	18VULN|2AAC|3LHND|46RCR|57DMG|9DUR|aRPLT
13	41253 12212	   	275.10	ACR|DCR|2VULN|2DMG|1ZMB	1ZMB|2LHND|38VULN|46RCR|57DMG|9DUR|aRPLT
14	41253 12225	   	274.56	ACR|DCR|2VULN|2DMG|1MLV|1ZMB	1ZMB|2LHND|38VULN|46RCR|57DMG|9SPLREG|aMLV
15	14253 12262	   	273.03	ACR|DCR|2VULN|3DMG	1aLWND|2AAC|38VULN|46RCR|57aDMG|9aERES|aBPWR
16	24353 12362	   	273.03	ACR|DCR|2VULN|3DMG	1aVULN|2AAC|38LHND|46RCR|57aDMG|9aERES|aBPWR
17	11612 13253	   	272.91	ACR|DCR|3VULN|1DMG	1LWND|2LIT|3aRCR|468VULN|5DMSP|7DMG|9RPLT
18	11616 13253	   	272.91	ACR|DCR|3VULN|1DMG	1LWND|25LIT|3aRCR|468VULN|7DMG|9RPLT
19	53612 13253	   	272.91	ACR|DCR|3VULN|1DMG	1LIT|2LHND|3aRCR|468VULN|5DMSP|7DMG|9RPLT
20	53613 13253	   	272.91	ACR|DCR|3VULN|1DMG	1LIT|25LHND|3aRCR|468VULN|7DMG|9RPLT
21	61612 13253	   	272.91	ACR|DCR|3VULN|1DMG	1LHND|2LIT|3aRCR|468VULN|5DMSP|7DMG|9RPLT
22	61613 13253	   	272.91	ACR|DCR|3VULN|1DMG	15LHND|2LIT|3aRCR|468VULN|7DMG|9RPLT
23	24653 12211	   	272.13	ACR|DCR|2VULN|2DMG|2DUR	18VULN|2AAC|3DUST|46RCR|57DMG|9aDUR
24	14253 12123	   	271.02	ACR|DCR|2VULN|2DMG|1ASPD	1LWND|2AAC|3aVULN|46RCR|57DMG|8ASPD|9FEWX
25	64253 12123	   	271.02	ACR|DCR|2VULN|2DMG|1ASPD	1LHND|2AAC|3aVULN|46RCR|57DMG|8ASPD|9FEWX
26	24353 12123	   	271.02	ACR|DCR|2VULN|2DMG|1ASPD	1aVULN|2AAC|3LHND|46RCR|57DMG|8ASPD|9FEWX
27	14253 12221	   	270.92	ACR|DCR|2VULN|2DMG|1ASPD	1LWND|2AAC|38VULN|46RCR|57DMG|9SPLREG|aASPD
28	24653 12123	   	270.92	ACR|DCR|2VULN|2DMG|1ASPD	1aVULN|2AAC|3DUST|46RCR|57DMG|8ASPD|9FEWX
29	64253 12221	   	270.92	ACR|DCR|2VULN|2DMG|1ASPD	1LHND|2AAC|38VULN|46RCR|57DMG|9SPLREG|aASPD
30	24353 12221	   	270.92	ACR|DCR|2VULN|2DMG|1ASPD	18VULN|2AAC|3LHND|46RCR|57DMG|9SPLREG|aASPD
31	24653 12221	   	270.82	ACR|DCR|2VULN|2DMG|1ASPD	18VULN|2AAC|3DUST|46RCR|57DMG|9SPLREG|aASPD
32	41253 12123	   	270.78	ACR|DCR|2VULN|2DMG|1ASPD|1ZMB	1ZMB|2LHND|3aVULN|46RCR|57DMG|8ASPD|9FEWX
33	41253 12221	   	270.68	ACR|DCR|2VULN|2DMG|1ASPD|1ZMB	1ZMB|2LHND|38VULN|46RCR|57DMG|9SPLREG|aASPD
