0	Index      	 *	Score 	Summary	Detail	
1	23521 11366	 * 	280.91	ACR|DCR|4VULN|2DUR|1RPLT	1RPLT|2579VULN|3aRCR|47DUR|67BEXP|7BPWR|8ERES
2	26144 34628	 * 	280.76	DCR|DCR|2VULN|1ASPD|1CDMG|1RPLT	1RPLT|2MBVNT|37FEWX|45VULN|6CDMG|8aRCR|9ASPD
3	26425 33418	   	277.28	DCR|DCR|1VULN|1MLV|2RPLT|1ASPD|1CDMG	16RPLT|2MBVNT|3VULN|4TLV|5ASPD|7aRCR|8MLV|9CDMG
4	23521 13366	   	274.16	ACR|DCR|4VULN|1RPLT	1RPLT|2579VULN|3aRCR|4DUR|6BEXP|8ERES
5	23521 31366	   	274.06	ACR|DCR|4VULN|1RPLT	1RPLT|2569VULN|3aRCR|4DUR|7DUST|8ERES
6	26442 43563	 * 	273.52	DCR|DCR|2VULN|1DMG|1RPLT	1RPLT|2MBVNT|34VULN|5RCVC|6DMG|79RCR|8LWND|aDMSP
7	26442 43564	   	273.52	DCR|DCR|2VULN|1DMG|1RPLT	1RPLT|2MBVNT|34VULN|5RCVC|6DMG|79RCR|8LWND|aAAC
8	21323 53415	   	273.42	DCR|DCR|2VULN|1DMG|1RPLT	1RPLT|2MDPS|3AME|4TBNT|5DMG|6aVULN|78RCR|9AAC
9	21323 53435	   	273.42	DCR|DCR|2VULN|1DMG|1RPLT	1RPLT|2MDPS|3AME|4TBNT|5DMG|6aVULN|78RCR|9RMIN
10	26442 43561	   	273.42	DCR|DCR|2VULN|1DMG|1RPLT	1RPLT|2MBVNT|34VULN|5RCVC|6DMG|79RCR|8LWND|aAME
11	26442 43562	   	273.42	DCR|DCR|2VULN|1DMG|1RPLT|1MSE	1RPLT|2MBVNT|34VULN|5RCVC|6DMG|79RCR|8LWND|aMSE
12	26434 14436	   	267.01	DCR|DCR|2VULN|1CDMG|1RPLT	1RPLT|2MBVNT|36VULN|4TBNT|5BBNT|7aRCR|8CDMG|9MDPS
13	52111 45331	   	265.85	DCR|DCR|2VULN|1CDMG	1LIT|29LHND|3BELT|47VULN|5DUR|68RCR|aCDMG
14	11353 42332	   	264.33	ACR|DCR|3VULN|1ASPD|1CDMG	1CGEN|2TBNT|37aVULN|49RCR|5MDPS|6CDMG|8ASPD
15	51216 33316	 * 	263.86	DCR|DCR|2VULN|2CDMG	1LIT|2FEWX|39CDMG|47VULN|5LWND|6TLV|8aRCR
16	22232 62266	 * 	261.84	ACR|DCR|2DMG|1VULN|1MLV|1RPLT	1RPLT|27DMG|3MLV|48RCR|5BBNT|6MDPS|9DUR|aVULN
17	23415 23623	   	261.66	DCR|DCR|2VULN|1RPLT	1RPLT|25VULN|3FEWX|4SPLARM|6MDPS|7TBNT|8aRCR|9DUR
18	23521 11166	   	261.65	ACR|DCR|3VULN|2DUR|1RPLT	1RPLT|257VULN|3aRCR|47DUR|67BEXP|7BPWR|8AELOIC|9ERES
19	23115 23623	   	261.56	DCR|DCR|2VULN|1RPLT	1RPLT|25VULN|3DUST|4SPLARM|6MDPS|7TBNT|8aRCR|9DUR
20	23615 23623	   	261.56	DCR|DCR|2VULN|1RPLT	1RPLT|25VULN|3LEGI|4SPLARM|6MDPS|7TBNT|8aRCR|9DUR
21	21323 53416	   	260.87	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1RPLT|2MDPS|3AME|4TBNT|5DMG|6VULN|78RCR|9AAC|aCDMG
22	21323 53436	   	260.87	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1RPLT|2MDPS|3AME|4TBNT|5DMG|6VULN|78RCR|9RMIN|aCDMG
23	26425 33318	   	259.65	DCR|DCR|1VULN|2RPLT|1ASPD|1CDMG	16RPLT|2MBVNT|3VULN|4TLV|5ASPD|7aRCR|8ERES|9CDMG
