0	Index      	 *	Score 	Summary	Detail	
1	41543 22123	 * 	281.73	DCR|DCR|2VULN|1DMG|1RPLT	1RPLT|2DMSP|3aVULN|4DMG|5AME|6LSRHEA|78RCR|9DUR
2	12324 32512	   	279.05	DCR|DCR|2VULN|1MLV|1RPLT|1ZMB	1MLV|2RPLT|3aVULN|4ZMB|5FEWX|68RCR|7MDPS|9DUR
3	12543 22123	   	273.06	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1MLV|2RPLT|3CGEN|4DMG|5AME|6LSRHEA|78RCR|9DUR|aVULN
4	12324 32522	   	270.74	DCR|DCR|2VULN|1MLV|1RPLT|1ZMB	1MLV|2RPLT|3aVULN|4ZMB|5FEWX|68RCR|7MDPS|9LWND
5	12324 32532	   	270.65	DCR|DCR|2VULN|1MLV|1RPLT|1ZMB	1MLV|2RPLT|3aVULN|4ZMB|5FEWX|68RCR|7MDPS|9DUST
6	12324 32513	 * 	268.46	DCR|DCR|2MLV|1VULN|1RPLT|1ZMB	1aMLV|2RPLT|3VULN|4ZMB|5FEWX|68RCR|7MDPS|9DUR
7	33641 22822	 * 	265.84	DCR|DCR|3VULN	1BBNT|2RMIN|3MBVNT|4MDPS|5LWND|69aVULN|78RCR
8	33647 12822	   	265.84	DCR|DCR|3VULN	1BBNT|2RMIN|3MBVNT|4MDPS|59aVULN|6LWND|78RCR
9	33647 22822	   	265.84	DCR|DCR|3VULN	1BBNT|2RMIN|3MBVNT|4MDPS|59aVULN|6BEXP|78RCR
10	41543 22133	 * 	264.80	DCR|DCR|2DMG|1VULN|1RPLT	1RPLT|2DMSP|3VULN|4aDMG|5AME|6LSRHEA|78RCR|9LHND
11	12324 32543	   	264.60	DCR|DCR|1VULN|1DMG|1MLV|1RPLT|1ZMB	1MLV|2RPLT|3VULN|4ZMB|5FEWX|68RCR|7MDPS|9DMG|aRMIN
12	12324 32541	   	264.50	DCR|DCR|1VULN|1DMG|1MLV|1RPLT|2ZMB	1MLV|2RPLT|3VULN|4aZMB|5FEWX|68RCR|7MDPS|9DMG
13	12324 32542	   	264.50	DCR|DCR|1VULN|1DMG|1MLV|1RPLT|1ZMB	1MLV|2RPLT|3VULN|4ZMB|5FEWX|68RCR|7MDPS|9DMG|aAME
14	33641 22824	   	263.76	DCR|DCR|2VULN|1DMG	1BBNT|2RMIN|3MBVNT|4MDPS|5LWND|69VULN|78RCR|aDMG
