0	Index      	 *	Score 	Summary	Detail	
1	32521 31515	 * 	324.19	橙橙1等级1易伤1雷电1矿等1伤害	1挖青2矿等3易伤4伤害5平台6等级7赏金邻近8雷电9a核
2	26211 53224	 * 	320.35	橙5易伤2雷电2矿等1等级	13789易伤2立即金币48矿等58雷电6核8序列升级a等级
3	26211 55213	 * 	315.72	橙3易伤3雷电2矿等1等级1暴击	138易伤2立即金币48矿等578雷电6核8序列升级9等级a暴击
4	52131 11131	 * 	312.31	橙橙2易伤1等级1雷电	1赏金塔25易伤3等级4低血量敌人6雷电7a核8基地爆炸9时间
5	52141 11331	   	312.31	橙橙2易伤1等级1雷电	1赏金塔25易伤3等级4基地爆炸6雷电7a核8敌人爆炸9时间
6	52141 11531	   	312.31	橙橙2易伤1等级1雷电	1赏金塔25易伤3等级4基地爆炸6雷电7a核8低血量敌人9时间
7	52131 11531	   	312.21	橙橙2易伤1等级1雷电	1赏金塔25易伤3等级4低血量敌人6雷电7a核8挖尘9时间
8	62253 32215	   	312.16	橙橙1等级1易伤1雷电1攻速	1攻速2赏金邻近3雷电4等级5时间6平台7金币生成8易伤9a核
9	22333 33315	   	308.81	橙橙1等级1易伤1雷电1伤害	1易伤2雷电3技能点4平台5赏金邻近6伤害7等级8敌人爆炸9a核
10	22333 35615	   	308.81	橙橙1等级1易伤1雷电1伤害	1易伤2雷电3技能点4平台5赏金邻近6伤害7低血量敌人8等级9a核
11	12333 33215	   	308.71	橙橙1等级1易伤1雷电1伤害	1挖尘2雷电3技能点4平台5赏金邻近6伤害7等级8易伤9a核
12	22333 36615	   	308.71	橙橙1等级1易伤1雷电1伤害	1易伤2雷电3技能点4平台5赏金邻近6伤害7挖尘8等级9a核
13	52132 11131	 * 	306.75	橙橙2等级1易伤1雷电	1赏金塔2易伤35等级45低血量敌人5序列升级6雷电7a核8基地爆炸9时间
14	52142 11331	   	306.75	橙橙2等级1易伤1雷电	1赏金塔2易伤35等级45基地爆炸5序列升级6雷电7a核8敌人爆炸9时间
15	52142 11531	   	306.75	橙橙2等级1易伤1雷电	1赏金塔2易伤35等级45基地爆炸5序列升级6雷电7a核8低血量敌人9时间
16	52132 11531	   	306.65	橙橙2等级1易伤1雷电	1赏金塔2易伤35等级45低血量敌人5序列升级6雷电7a核8挖尘9时间
17	52136 11131	   	306.65	橙橙2等级1易伤1雷电	1赏金塔2易伤35等级4低血量敌人6雷电7a核8基地爆炸9时间
18	52136 11531	   	306.55	橙橙2等级1易伤1雷电	1赏金塔2易伤35等级4低血量敌人6雷电7a核8挖尘9时间
19	62252 32215	   	302.50	橙橙1等级1易伤1雷电1攻速	1攻速2赏金邻近3雷电4等级5低血量敌人6平台7金币生成8易伤9a核
20	26211 55212	   	301.97	橙3易伤3雷电2矿等1等级	138易伤2立即金币48矿等578雷电6核8序列升级9等级a掉矿
21	25311 31515	   	298.51	橙橙1等级1易伤1雷电	1易伤2策反3金币生成4时间5平台6等级7赏金邻近8雷电9a核
22	21355 11341	 * 	297.86	橙3易伤2等级1雷电1矿等	19a易伤2掉矿39金币生成4赏金邻近5矿等6雷电7核89等级9序列升级
23	52132 11321	 * 	296.52	橙橙3等级1易伤1雷电	1赏金塔2易伤358等级459低血量敌人5序列升级6雷电7a核
24	52136 11321	   	296.42	橙橙3等级1易伤1雷电	1赏金塔2易伤358等级49低血量敌人6雷电7a核
25	52114 11632	   	296.21	橙橙1等级1易伤1雷电1伤害	1赏金塔2易伤3等级49掉矿5伤害6雷电7a核8导弹对黄
