0	Index      	 *	Score 	Summary	Detail	Bounty	
1	42154 13212	 * 	301.06	橙3易伤3等级3时间2伤害	1随机矿28a等级3a伤害458时间68a易伤7赏金塔8a序列升级9核	3
2	51122 57242	   	281.95	橙3易伤3时间2伤害1等级	137时间2金币生成4加一57伤害679易伤7序列升级8核a等级	6
3	51122 87242	   	281.95	橙3易伤3时间2伤害1等级	137时间2金币生成4加一57伤害679易伤7序列升级8核a等级	5
4	53122 57242	   	281.85	橙3易伤3时间2伤害1等级	137时间2掉矿4加一57伤害679易伤7序列升级8核a等级	6
5	53122 87242	   	281.85	橙3易伤3时间2伤害1等级	137时间2掉矿4加一57伤害679易伤7序列升级8核a等级	5
6	51322 22431	 * 	279.20	橙4易伤3时间1等级1暴击	189时间2暴击3789易伤489基地爆炸5赏金邻近6核89序列升级a等级	1
7	36111 12356	 * 	277.98	橙5易伤2时间1伤害1暴击	1金币生成24568易伤35时间5序列升级7伤害9暴击a核	5
8	51122 57244	 * 	276.80	橙4易伤3时间2伤害	137时间2金币生成4加一57伤害679a易伤7序列升级8核	6
9	51122 87244	   	276.80	橙4易伤3时间2伤害	137时间2金币生成4加一57伤害679a易伤7序列升级8核	5
10	53122 57244	   	276.70	橙4易伤3时间2伤害	137时间2掉矿4加一57伤害679a易伤7序列升级8核	6
11	53122 87244	   	276.70	橙4易伤3时间2伤害	137时间2掉矿4加一57伤害679a易伤7序列升级8核	5
12	42154 13213	   	276.27	橙2易伤2等级3时间2伤害	1随机矿28等级3a伤害458时间68易伤7赏金塔8序列升级9核	3
13	51532 23212	 * 	271.60	橙3易伤3伤害3时间	148时间2a金币生成38a伤害58a易伤6随机矿7赏金塔8a序列升级9核	3
14	51534 13212	   	271.60	橙3易伤3伤害3时间	148时间2a金币生成38a伤害5随机矿68a易伤7赏金塔8a序列升级9核	3
15	51632 23212	   	271.60	橙3易伤3伤害3时间	148时间2a金币生成38a伤害58a易伤6随机矿7赏金塔8a序列升级9核	2
16	51634 13212	   	271.60	橙3易伤3伤害3时间	148时间2a金币生成38a伤害5随机矿68a易伤7赏金塔8a序列升级9核	2
17	53632 23212	   	271.40	橙3易伤3伤害3时间	148时间2a掉矿38a伤害58a易伤6随机矿7赏金塔8a序列升级9核	2
18	53634 13212	   	271.40	橙3易伤3伤害3时间	148时间2a掉矿38a伤害5随机矿68a易伤7赏金塔8a序列升级9核	2
