0	Index      	Bounty	 *	Score 	Summary	Detail	
1	46132 31341	6	 * 	291.33	橙3易伤2等级3暴击3雷电1时间1全技能	17a雷电2时间357暴击4全技能67a易伤7a序列升级8a等级9核
2	12412 25321	7	 * 	289.82	紫4易伤3等级3时间2伤害	148时间2a伤害3核58a等级678a易伤8a序列升级9赏金塔
3	32121 32311	2	 * 	289.45	橙4易伤3伤害1等级2雷电	1挖尘246伤害3456易伤46序列升级79雷电8等级a核
4	32521 32311	3	   	289.45	橙4易伤3伤害1等级2雷电	1挖尘246伤害3456易伤46序列升级79雷电8等级a核
5	32621 32311	1	   	289.45	橙4易伤3伤害1等级2雷电	1挖尘2456易伤346伤害46序列升级79雷电8等级a核
6	36621 32311	2	   	289.45	橙4易伤3伤害1等级2雷电	1挖尘2456易伤346伤害46序列升级79雷电8等级a核
7	32516 35122	10	 * 	288.71	橙3易伤3伤害2等级1时间	19挖尘289伤害357易伤4时间69等级9序列升级a核
8	32121 32514	2	 * 	287.53	橙4易伤3伤害2时间	1挖尘246伤害3456易伤46序列升级7雷电8核9a时间
9	32521 32514	3	   	287.53	橙4易伤3伤害2时间	1挖尘246伤害3456易伤46序列升级7雷电8核9a时间
10	32621 32514	1	   	287.53	橙4易伤3伤害2时间	1挖尘2456易伤346伤害46序列升级7雷电8核9a时间
11	12412 25331	7	   	285.88	紫4易伤2等级3时间1伤害1暴击	148时间2伤害3核58等级6789易伤8序列升级a暴击
12	32365 12411	1	 * 	284.02	橙5易伤2时间1等级1暴击	1挖尘2456a易伤36时间6序列升级7暴击8核9等级
13	36335 12411	4	   	284.02	橙5易伤2时间1等级1暴击	1挖尘2456a易伤36时间6序列升级7暴击8核9等级
14	32121 32525	2	   	282.80	橙4易伤3伤害1等级	1挖尘246伤害3456易伤46序列升级7雷电8核9赏金邻近a等级
15	32521 32525	3	   	282.80	橙4易伤3伤害1等级	1挖尘246伤害3456易伤46序列升级7雷电8核9赏金邻近a等级
16	32621 32525	1	   	282.80	橙4易伤3伤害1等级	1挖尘2456易伤346伤害46序列升级7雷电8核9赏金邻近a等级
17	12412 25335	7	   	281.89	紫4易伤2等级3时间1伤害1全技能	148时间2伤害3核58等级6789易伤8序列升级a全技能
18	32121 32545	2	 * 	281.59	橙5易伤3伤害2雷电	1挖尘246伤害3456a易伤46序列升级79雷电8核
19	32121 32512	2	   	281.25	橙4易伤3伤害1时间	1挖尘246伤害3456易伤46序列升级7雷电8核9时间a攻速
20	32521 32512	3	   	281.25	橙4易伤3伤害1时间	1挖尘246伤害3456易伤46序列升级7雷电8核9时间a攻速
21	32621 32512	1	   	281.25	橙4易伤3伤害1时间	1挖尘2456易伤346伤害46序列升级7雷电8核9时间a攻速
22	36621 32512	2	   	281.25	橙4易伤3伤害1时间	1挖尘2456易伤346伤害46序列升级7雷电8核9时间a攻速
23	32121 35333	2	   	279.23	橙4易伤3伤害2时间	1挖尘246伤害3456易伤46序列升级7额外掉落8a时间9核
24	32521 35333	3	   	279.23	橙4易伤3伤害2时间	1挖尘246伤害3456易伤46序列升级7额外掉落8a时间9核
25	32621 35333	1	   	279.23	橙4易伤3伤害2时间	1挖尘2456易伤346伤害46序列升级7额外掉落8a时间9核
26	36621 35333	2	   	279.23	橙4易伤3伤害2时间	1挖尘2456易伤346伤害46序列升级7额外掉落8a时间9核
27	16411 15122	10	   	279.23	橙4易伤3伤害2时间	19时间2369易伤4挖尘5矿等789伤害9序列升级a核
28	21621 28116	8	 * 	276.42	橙4易伤2等级1伤害1时间	1掉矿2加一356a易伤45等级5序列升级7核8伤害9时间
29	41132 31341	6	   	275.08	橙3易伤2等级3暴击3雷电1全技能	17a雷电2最后敌人357暴击4全技能67a易伤7a序列升级8a等级9核
30	41135 21341	6	   	275.08	橙3易伤2等级3暴击3雷电1全技能	17a雷电2最后敌人367暴击4全技能57a易伤7a序列升级8a等级9核
31	42132 31341	6	   	275.08	橙3易伤2等级3暴击3雷电1全技能	17a雷电2基地爆炸357暴击4全技能67a易伤7a序列升级8a等级9核
32	42135 21341	6	   	275.08	橙3易伤2等级3暴击3雷电1全技能	17a雷电2基地爆炸367暴击4全技能57a易伤7a序列升级8a等级9核
33	32121 32551	2	   	275.04	橙5易伤3伤害	1挖尘246伤害34569易伤46序列升级7雷电8核a金币生成
34	32121 32552	2	   	275.04	橙5易伤3伤害	1挖尘246伤害34569易伤46序列升级7雷电8核a基地爆炸
35	32121 32556	2	   	275.04	橙5易伤3伤害	1挖尘246伤害34569易伤46序列升级7雷电8核a平台
36	32521 32551	3	   	275.04	橙5易伤3伤害	1挖尘246伤害34569易伤46序列升级7雷电8核a金币生成
37	32521 32552	3	   	275.04	橙5易伤3伤害	1挖尘246伤害34569易伤46序列升级7雷电8核a基地爆炸
38	32621 32551	1	   	275.04	橙5易伤3伤害	1挖尘24569易伤346伤害46序列升级7雷电8核a金币生成
39	32621 32552	1	   	275.04	橙5易伤3伤害	1挖尘24569易伤346伤害46序列升级7雷电8核a基地爆炸
40	32121 32554	2	   	274.94	橙5易伤3伤害	1挖尘246伤害34569易伤46序列升级7雷电8核a掉矿
41	32121 32553	2	   	274.80	橙5易伤3伤害1卖塔	1挖尘246伤害34569易伤46序列升级7雷电8核a卖塔
42	32521 32553	3	   	274.80	橙5易伤3伤害1卖塔	1挖尘246伤害34569易伤46序列升级7雷电8核a卖塔
43	32621 32553	1	   	274.80	橙5易伤3伤害1卖塔	1挖尘24569易伤346伤害46序列升级7雷电8核a卖塔
44	32121 35331	2	   	274.30	橙4易伤3伤害1时间1全技能	1挖尘246伤害3456易伤46序列升级7额外掉落8时间9核a全技能
45	32521 35331	3	   	274.30	橙4易伤3伤害1时间1全技能	1挖尘246伤害3456易伤46序列升级7额外掉落8时间9核a全技能
46	32621 35331	1	   	274.30	橙4易伤3伤害1时间1全技能	1挖尘2456易伤346伤害46序列升级7额外掉落8时间9核a全技能
47	36621 35331	2	   	274.30	橙4易伤3伤害1时间1全技能	1挖尘2456易伤346伤害46序列升级7额外掉落8时间9核a全技能
48	21621 28141	8	   	273.82	橙4易伤2等级1伤害1暴击	1掉矿2加一356a易伤45等级5序列升级7核8伤害9暴击
49	12545 14224	10	   	273.23	橙4易伤2伤害2时间1全技能	18时间28伤害3468易伤5加一7全技能8序列升级9敌人爆炸a核
50	32121 32511	2	   	272.95	橙4易伤3伤害1时间	1挖尘246伤害3456易伤46序列升级7雷电8核9时间a金币生成
51	32121 35335	2	   	272.95	橙4易伤3伤害1时间	1挖尘246伤害3456易伤46序列升级7额外掉落8时间9核a攻速
52	32521 32511	3	   	272.95	橙4易伤3伤害1时间	1挖尘246伤害3456易伤46序列升级7雷电8核9时间a金币生成
53	32521 35335	3	   	272.95	橙4易伤3伤害1时间	1挖尘246伤害3456易伤46序列升级7额外掉落8时间9核a攻速
54	32621 32511	1	   	272.95	橙4易伤3伤害1时间	1挖尘2456易伤346伤害46序列升级7雷电8核9时间a金币生成
55	32621 35335	1	   	272.95	橙4易伤3伤害1时间	1挖尘2456易伤346伤害46序列升级7额外掉落8时间9核a攻速
56	36621 32511	2	   	272.95	橙4易伤3伤害1时间	1挖尘2456易伤346伤害46序列升级7雷电8核9时间a金币生成
57	32121 32515	2	   	272.85	橙4易伤3伤害1时间	1挖尘246伤害3456易伤46序列升级7雷电8核9时间a赏金邻近
58	32121 32524	2	   	272.85	橙4易伤3伤害1时间	1挖尘246伤害3456易伤46序列升级7雷电8核9赏金邻近a时间
59	32521 32515	3	   	272.85	橙4易伤3伤害1时间	1挖尘246伤害3456易伤46序列升级7雷电8核9时间a赏金邻近
60	32521 32524	3	   	272.85	橙4易伤3伤害1时间	1挖尘246伤害3456易伤46序列升级7雷电8核9赏金邻近a时间
61	32621 32515	1	   	272.85	橙4易伤3伤害1时间	1挖尘2456易伤346伤害46序列升级7雷电8核9时间a赏金邻近
62	32621 32524	1	   	272.85	橙4易伤3伤害1时间	1挖尘2456易伤346伤害46序列升级7雷电8核9赏金邻近a时间
63	32121 32513	2	   	272.70	橙4易伤3伤害1时间1卖塔	1挖尘246伤害3456易伤46序列升级7雷电8核9时间a卖塔
64	32521 32513	3	   	272.70	橙4易伤3伤害1时间1卖塔	1挖尘246伤害3456易伤46序列升级7雷电8核9时间a卖塔
65	32621 32513	1	   	272.70	橙4易伤3伤害1时间1卖塔	1挖尘2456易伤346伤害46序列升级7雷电8核9时间a卖塔
66	36621 32513	2	   	272.70	橙4易伤3伤害1时间1卖塔	1挖尘2456易伤346伤害46序列升级7雷电8核9时间a卖塔
67	32535 12411	2	   	272.49	橙4易伤2伤害1等级1暴击	1挖尘26伤害3随机矿456a易伤6序列升级7暴击8核9等级
