0	Index      	 *	Score 	Summary	Detail	
1	21432 64131	 * 	279.13	DCR|DCR|2VULN|2TLV|1CDMG	1aVULN|24TLV|3CDMG|5TBNT|67RCR|8ZMB|9AETHUN
2	21244 31152	 * 	275.31	DCR|DCR|2VULN|1TLV|1DMG|1AAC	17VULN|2TLV|3BOSS|4AAC|5CGEN|6SNITOX|8DMG|9aRCR
3	21263 31152	   	275.21	DCR|DCR|2VULN|1TLV|1DMG|1AAC	17VULN|2TLV|3BOSS|4AME|5AAC|6SNITOX|8DMG|9aRCR
4	14223 23152	   	275.11	DCR|DCR|2VULN|1TLV|1DMG|1NUKE	1ERES|2NUKE|3TLV|4BASARM|56VULN|7LIT|8DMG|9aRCR
5	14223 61152	   	275.11	DCR|DCR|2VULN|1TLV|1DMG|1NUKE	1ERES|2NUKE|3TLV|4BASARM|57VULN|6LIT|8DMG|9aRCR
6	14233 23152	   	275.11	DCR|DCR|2VULN|1TLV|1DMG|1NUKE	1ERES|2NUKE|3TLV|4BASICY|56VULN|7LIT|8DMG|9aRCR
7	14233 61152	   	275.11	DCR|DCR|2VULN|1TLV|1DMG|1NUKE	1ERES|2NUKE|3TLV|4BASICY|57VULN|6LIT|8DMG|9aRCR
8	14263 23152	   	275.11	DCR|DCR|2VULN|1TLV|1DMG|1NUKE	1ERES|2NUKE|3TLV|4FLTHEA|56VULN|7LIT|8DMG|9aRCR
9	25613 33113	 * 	274.01	ACR|DCR|3VULN|3TLV|1DUR	147VULN|2ZMB|378TLV|59RCR|67MSLFST|7BPWR|aDUR
10	21522 51253	   	271.95	DCR|DCR|1VULN|1TLV|1MLV|1AART|1CDMG|1AAC	1VULN|2TLV|3AART|4CDMG|5RAT|6AAC|7MLV|8aRCR|9MULHEA
11	21522 51263	   	271.95	DCR|DCR|1VULN|1TLV|1MLV|1AART|1CDMG|1AAC	1VULN|2TLV|3AART|4CDMG|5RAT|6AAC|7MLV|8aRCR|9MGNBOS
12	21422 51242	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	15VULN|2TLV|3CDMG|4LIT|6BEXP|7aRCR|8MDPS|9AME
13	21426 21242	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	15VULN|2TLV|3CDMG|45LIT|5BPWR|6DUST|7aRCR|8MDPS|9AME
14	21422 21242	   	268.69	DCR|DCR|2VULN|1TLV|1CDMG	15VULN|2TLV|3CDMG|4LIT|6DUST|7aRCR|8MDPS|9AME
15	21432 64321	   	268.63	DCR|DCR|2TLV|1VULN|1MLV|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8RAT|9MLV|aBEXP
16	21432 64322	   	268.53	DCR|DCR|2TLV|1VULN|1MLV|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8RAT|9MLV|aMBVNT
17	21432 64323	   	268.53	DCR|DCR|2TLV|1VULN|1MLV|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8RAT|9MLV|aERES
18	21613 26742	 * 	267.17	DCR|DCR|2TLV|1VULN|2MLV	1VULN|23TLV|4MBVNT|5BOSS|6aRCR|78MLV|9SPLREG
19	21614 26742	   	267.17	DCR|DCR|2TLV|1VULN|2MLV	1VULN|23TLV|4MBVNT|5LIT|6aRCR|78MLV|9SPLREG
20	21432 64331	   	266.67	DCR|DCR|2TLV|1VULN|1DUR|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8RAT|9DUR|aLWND
21	21432 64233	   	266.57	DCR|DCR|2TLV|1VULN|1DUR|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8BASICY|9DUR|aZMB
22	21432 64332	   	266.57	DCR|DCR|2TLV|1VULN|1DUR|1CDMG|1MSE	1VULN|24TLV|3CDMG|5TBNT|67RCR|8RAT|9DUR|aMSE
23	21432 64333	   	266.57	DCR|DCR|2TLV|1VULN|1DUR|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8RAT|9DUR|aBBNT
24	21613 24181	   	266.57	DCR|DCR|2TLV|1VULN|1DUR|1CDMG	1VULN|23TLV|4MBVNT|5BOSS|6aRCR|7DUR|8ERES|9CDMG
25	21614 24181	   	266.57	DCR|DCR|2TLV|1VULN|1CDMG|1DUR	1VULN|23TLV|4MBVNT|5LIT|6aRCR|7DUR|8ERES|9CDMG
26	21432 64231	   	266.47	DCR|DCR|2TLV|1VULN|1DUR|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8BASICY|9DUR|aERES
27	21432 64232	   	266.47	DCR|DCR|2TLV|1VULN|1DUR|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8BASICY|9DUR|aAEWIND
28	51324 22322	 * 	265.48	DCR|DCR|2TLV|1VULN|1FLTARM	1DUST|27TLV|3FEWX|4LIT|5MBVNT|6aRCR|8FLTARM|9VULN
29	21614 81362	   	265.38	DCR|DCR|2VULN|2TLV	17VULN|23TLV|4MBVNT|5LIT|6AIRBOS|8ERES|9aRCR
30	32225 23152	   	264.71	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1ZMB|2DMSP|3TLV|4BLAICY|5VULN|6MLV|7LIT|8DMG|9aRCR
31	32235 23152	   	264.71	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1ZMB|2DMSP|3TLV|4BLASTR|5VULN|6MLV|7LIT|8DMG|9aRCR
32	21141 61413	   	262.75	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1VULN|2TLV|3RMIN|4CGEN|5BEXP|6DMG|79RCR|8SPLREG|aDUR
33	21342 61413	   	262.75	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1VULN|2TLV|34BEXP|5FEWX|6DMG|79RCR|8VENICY|aDUR
34	23235 64222	 * 	262.55	DCR|DCR|2VULN|2CDMG|1AAC	19VULN|2BBNT|34CDMG|5CGEN|67RCR|8BASICY|aAAC
35	22662 23152	   	262.51	DCR|DCR|2VULN|1DMG|1CDMG|1SELL	16VULN|2BEXP|3BLAICY|4CDMG|5SELL|7LIT|8DMG|9aRCR
36	25613 33112	   	260.36	ACR|DCR|3VULN|3TLV	147VULN|2ZMB|378TLV|59RCR|67MSLFST|7BPWR|aLHND
37	25613 33116	   	260.36	ACR|DCR|3VULN|3TLV	147VULN|2ZMB|378TLV|59RCR|67MSLFST|7BPWR|aLWND
38	25613 33111	   	260.26	ACR|DCR|3VULN|3TLV	147VULN|2ZMB|378TLV|59RCR|67MSLFST|7BPWR|aBBNT
39	25613 33115	   	260.26	ACR|DCR|3VULN|3TLV|1MSE	147VULN|2ZMB|378TLV|59RCR|67MSLFST|7BPWR|aMSE
40	21432 64123	   	259.96	DCR|DCR|2TLV|1VULN|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8ZMB|9ASPD|aLIT
41	21432 64121	   	259.86	DCR|DCR|2TLV|1VULN|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8ZMB|9ASPD|aAME
42	21432 64122	   	259.86	DCR|DCR|2TLV|1VULN|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8ZMB|9ASPD|aBASICY
43	21263 34152	 * 	259.34	DCR|DCR|2TLV|1VULN|1DMG|1AAC	1VULN|27TLV|3BOSS|4AME|5AAC|6SNITOX|8DMG|9aRCR
44	12232 11355	 * 	258.46	DCR|DCR|2MLV|1TLV|1DMG|1AART	1ERES|2AART|36MLV|4AETHUN|5DMG|7TLV|8FRZICY|9aRCR
45	23233 65522	 * 	256.51	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1VULN|2BBNT|34CDMG|5DMG|6aRCR|7DUR|8LWND|9FEWX
46	23253 46122	   	256.51	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1VULN|2BBNT|35CDMG|4FEWX|6DUR|7aRCR|8LWND|9DMG
47	25112 51413	   	256.44	DCR|DCR|2VULN|1DUR|1AAC	14VULN|2ZMB|3RMIN|5DUR|6LHND|79RCR|8FRZARM|aAAC
48	23231 46122	   	256.41	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1VULN|2BBNT|34CDMG|5DUST|6DUR|7aRCR|8LWND|9DMG
49	23233 65222	   	256.41	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1VULN|2BBNT|34CDMG|5DMG|6aRCR|7DUR|8DUST|9LHND
50	23233 65512	   	256.41	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1VULN|2BBNT|34CDMG|5DMG|6aRCR|7DUR|8LWND|9DUST
51	23263 46122	   	256.41	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1VULN|2BBNT|35CDMG|4DUST|6DUR|7aRCR|8LWND|9DMG
52	21131 11642	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1VULN|2TLV|3RMIN|4DUR|5MDPS|6LIT|7LWND|8aRCR|9CDMG
53	21215 31642	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1VULN|2TLV|3BOSS|4DUR|5MDPS|6CGEN|7LWND|8aRCR|9CDMG
54	23246 32322	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1VULN|2BBNT|3CDMG|4ZMB|5DUR|6TLV|7aRCR|8RMIN|9FEWX
55	25433 42322	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1VULN|2ZMB|3CDMG|4TLV|5BBNT|6DUR|7aRCR|8RMIN|9FEWX
56	23246 32312	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1VULN|2BBNT|3CDMG|4ZMB|5DUR|6TLV|7aRCR|8RMIN|9DUST
57	25433 42312	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1VULN|2ZMB|3CDMG|4TLV|5BBNT|6DUR|7aRCR|8RMIN|9DUST
58	23225 64222	   	256.14	DCR|DCR|2VULN|1CDMG|1AAC	19VULN|2BBNT|3CDMG|4AEWIND|5CGEN|67RCR|8BASICY|aAAC
