0	Index      	 *	Score 	Summary	Detail	
1	25153 51343	 * 	295.77	DCR|DCR|3VULN|2DMG	16DMG|2BBNT|3MBVNT|4BELT|56aVULN|6BPWR|79RCR|8ASPD
2	25153 44543	   	278.08	DCR|DCR|3VULN|1DMG	1DMG|2BBNT|3MBVNT|4BELT|58aVULN|6ASPD|79RCR
3	11122 11163	 * 	277.48	DCR|DCR|3VULN|1TLV	1LHND|235VULN|4BEXP|6CGEN|7TLV|8aRCR|9LWND
4	41122 11163	   	277.48	DCR|DCR|3VULN|1TLV	1LWND|235VULN|4BEXP|6CGEN|7TLV|8aRCR|9LHND
5	11122 11153	   	277.38	DCR|DCR|3VULN|1TLV	1LHND|235VULN|4BEXP|6CGEN|7TLV|8aRCR|9DUST
6	11122 31163	   	277.38	DCR|DCR|3VULN|1TLV	1LHND|235VULN|4BEXP|6ERES|7TLV|8aRCR|9LWND
7	41122 11153	   	277.38	DCR|DCR|3VULN|1TLV	1LWND|235VULN|4BEXP|6CGEN|7TLV|8aRCR|9DUST
8	41122 31163	   	277.38	DCR|DCR|3VULN|1TLV	1LWND|235VULN|4BEXP|6ERES|7TLV|8aRCR|9LHND
9	11122 31153	   	277.28	DCR|DCR|3VULN|1TLV	1LHND|235VULN|4BEXP|6ERES|7TLV|8aRCR|9DUST
10	41122 31153	   	277.28	DCR|DCR|3VULN|1TLV	1LWND|235VULN|4BEXP|6ERES|7TLV|8aRCR|9DUST
11	21162 51343	 * 	275.36	DCR|4VULN|2DMG|2DUR|1TLV	19DMG|29DUR|3FEWX|4ERES|5689VULN|7RCR|9BPWR|aTLV
12	21422 51342	   	275.36	DCR|4VULN|2DMG|2DUR|1TLV	19DMG|29DUR|3TLV|4DUST|5689VULN|7RCR|9BPWR|aFEWX
13	21422 51343	   	275.36	DCR|4VULN|2DMG|2DUR|1TLV	19DMG|29DUR|3TLV|4DUST|5689VULN|7RCR|9BPWR|aLIT
14	21422 51341	   	275.26	DCR|4VULN|2DMG|2DUR|1TLV	19DMG|29DUR|3TLV|4DUST|5689VULN|7RCR|9BPWR|aTBNT
15	25153 51342	   	273.63	DCR|DCR|2VULN|2DMG	16DMG|2BBNT|3MBVNT|4BELT|56VULN|6BPWR|79RCR|8ASPD|aDMSP
16	25153 51344	   	273.63	DCR|DCR|2VULN|2DMG	16DMG|2BBNT|3MBVNT|4BELT|56VULN|6BPWR|79RCR|8ASPD|aLHND
17	25153 51341	   	273.53	DCR|DCR|2VULN|2DMG	16DMG|2BBNT|3MBVNT|4BELT|56VULN|6BPWR|79RCR|8ASPD|aMSLREG
18	21342 63343	 * 	266.49	DCR|DCR|2DMG|1VULN|2DUR|1NUKE	15DMG|25DUR|3MDPS|4TBNT|5BPWR|6RAT|79RCR|8NUKE|aVULN
