0	Index      	 *	Score 	Summary	Detail	
1	25711 22132	 * 	262.65	DCR|DCR|2VULN|1DMG|1AART	1MBVNT|2RPLT|3LIT|4ERES|5DMG|67RCR|8AART|9aVULN
2	13451 32242	 * 	260.60	DCR|4VULN|3DUR|2DMG	169DUR|2RPLT|359aVULN|49DMG|7TBNT|8RCR|9BPWR
3	27114 13287	   	255.94	DCR|DCR|2VULN|1DMG	1MBVNT|2ASPD|3aVULN|4RPLT|5DMG|6ZMB|79RCR|8ERES
4	24121 48725	 * 	255.04	DCR|DCR|2VULN|2DUR	1MBVNT|25CGEN|35VULN|4AETHUN|5BPWR|69DUR|7aRCR|8MDPS
5	24142 18725	   	255.04	DCR|DCR|2VULN|2DUR	1MBVNT|2CGEN|34VULN|59DUR|6BEXP|7aRCR|8MDPS
6	24334 48825	 * 	255.04	DCR|DCR|1VULN|2DUR|1TLV	1MBVNT|2CGEN|39DUR|4VULN|5TLV|6RMIN|7aRCR|8MDPS
7	25711 22741	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1MBVNT|2RPLT|3LIT|4ERES|5DMG|67RCR|8DUR|9VULN|aMLV
8	25714 22451	   	251.48	DCR|DCR|1VULN|1TLV|1MLV	1MBVNT|2RPLT|3LIT|4ERES|5ASPD|67RCR|8TLV|9MLV|aVULN
9	36166 31231	 * 	250.63	DCR|3VULN|2TLV|2MLV|1DMG	1BBNT|2BOSS|39TLV|4MDPS|579VULN|6RCR|89MLV|9BPWR|aDMG
10	25711 22137	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AART	1MBVNT|2RPLT|3LIT|4ERES|5DMG|67RCR|8AART|9VULN|aDUR
11	11111 34614	 * 	250.05	DCR|3VULN|3DUR|1TLV|2CDMG|1AAC	169DUR|2AAC|359VULN|4RPLT|7RCR|89CDMG|9BPWR|aTLV
12	25714 22132	   	249.53	DCR|DCR|2VULN|1AART	1MBVNT|2RPLT|3LIT|4ERES|5ASPD|67RCR|8AART|9aVULN
13	27715 22132	   	249.53	DCR|DCR|2VULN|1AART	1MBVNT|2ASPD|3ERES|4BOSS|5RPLT|67RCR|8AART|9aVULN
14	61235 12216	 * 	249.10	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AAC|2DMG|3VULN|4FEWX|5LIT|6MDPS|7aRCR|8LWND|9TLV
15	25711 22445	   	249.00	DCR|DCR|2VULN|1DMG	1MBVNT|2RPLT|3LIT|4ERES|5DMG|67RCR|8BEXP|9aVULN
16	32352 21321	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1BBNT|2ZMB|3DMG|48CGEN|5TLV|6CANARM|79RCR|aVULN
17	25711 22523	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2RPLT|3LIT|4ERES|5DMG|67RCR|8TLV|9BBNT|aVULN
18	32352 21621	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1BBNT|2ZMB|3DMG|4CGEN|5TLV|6CANARM|79RCR|8AEFBLL|aVULN
19	11334 31324	 * 	248.90	DCR|DCR|1VULN|2DUR|2AAC|1DMG	13DUR|25AAC|4BBNT|6aRCR|7ERES|8VULN|9DMG
20	32333 51621	   	248.80	DCR|DCR|2VULN|1DMG	1BBNT|2ZMB|3DMG|4AEFRZ|5MGNBOS|6aVULN|79RCR|8AEFBLL
21	32433 51621	   	248.80	DCR|DCR|2VULN|1DMG	1BBNT|2ZMB|3AEBURN|4DMG|5MGNBOS|6aVULN|79RCR|8AEFBLL
22	32633 51621	   	248.80	DCR|DCR|2VULN|1DMG	1BBNT|2ZMB|3AEFRZ|4DMG|5MGNBOS|6aVULN|79RCR|8AEFBLL
23	63312 21621	   	248.80	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AAC|2ERES|3DMG|4BBNT|5TLV|6CANARM|79RCR|8AEFBLL|aVULN
24	41225 62311	 * 	247.70	DCR|2VULN|2FLTARM|1TLV|1MLV|1CDMG	1MDPS|2BEXP|35VULN|45FLTARM|5BPWR|6RCR|7BASARM|8CDMG|9TLV|aMLV
25	51113 22436	 * 	247.50	DCR|2VULN|2DMG|1FLTARM|1TLV|1DUR	17ERES|27MSLREG|3TLV|45DMG|67VULN|7BPWR|8DUR|9FLTARM|aRCR
26	52113 22436	   	247.50	DCR|2VULN|2DMG|1FLTARM|1TLV|1DUR	17ERES|27MSLFST|3TLV|45DMG|67VULN|7BPWR|8DUR|9FLTARM|aRCR
27	24142 44856	   	245.84	DCR|3VULN|2DUR|1TLV|1AART|1CDMG	1MBVNT|27CGEN|347VULN|57DUR|6AART|7BPWR|8CDMG|9TLV|aRCR
28	41225 62313	   	245.74	DCR|2VULN|2FLTARM|1TLV|1DUR|1CDMG	1MDPS|2BEXP|35VULN|45FLTARM|5BPWR|6RCR|7BASARM|8CDMG|9TLV|aDUR
29	25714 22251	   	245.34	DCR|DCR|1VULN|1DMG|1MLV	1MBVNT|2RPLT|3LIT|4ERES|5ASPD|67RCR|8DMG|9MLV|aVULN
30	33421 35224	   	245.09	DCR|DCR|2VULN|1MSLTOX	1BBNT|2MDPS|3aVULN|4RAT|5MBVNT|6LIT|78RCR|9MSLTOX
31	33421 35228	   	245.09	DCR|DCR|1VULN|1TLV|1MSLTOX	1BBNT|2MDPS|3VULN|4RAT|5MBVNT|6LIT|78RCR|9MSLTOX|aTLV
32	24143 48125	   	244.44	DCR|DCR|2VULN|1MLV	1MBVNT|2CGEN|34VULN|5MLV|6AME|7aRCR|8BBNT|9RCVC
33	24143 48175	   	244.44	DCR|DCR|2VULN|1MLV	1MBVNT|29CGEN|34VULN|5MLV|6AME|7aRCR|8BBNT
34	24143 48835	   	244.44	DCR|DCR|2VULN|1MLV	1MBVNT|28CGEN|34VULN|5MLV|6AME|7aRCR|9TBNT
35	24143 48135	   	244.34	DCR|DCR|2VULN|1MLV	1MBVNT|2CGEN|34VULN|5MLV|6AME|7aRCR|8BBNT|9AEPOI
36	24143 48435	   	244.34	DCR|DCR|2VULN|1MLV	1MBVNT|2CGEN|34VULN|5MLV|6AME|7aRCR|8AEBURN|9TBNT
37	24143 48535	   	244.34	DCR|DCR|2VULN|1MLV	1MBVNT|2CGEN|34VULN|5MLV|6AME|7aRCR|8AEPOI|9TBNT
38	11111 34613	 * 	243.91	DCR|3VULN|3DUR|1DMG|2CDMG|1AAC	169DUR|2AAC|359VULN|4RPLT|7RCR|89CDMG|9BPWR|aDMG
39	53335 32124	   	243.39	DCR|DCR|1VULN|1DMG|1DUR	1ERES|2AETHUN|3DUR|4VULN|5LHND|6aRCR|7ASPD|8BEXP|9DMG
40	53335 32224	   	243.39	DCR|DCR|1VULN|1DMG|1DUR	1ERES|2AETHUN|3DUR|4VULN|5LHND|6aRCR|7ASPD|8LWND|9DMG
41	27624 45331	   	243.26	DCR|2VULN|2TLV|1DMG|1MLV|1DUR|2ASPD|1SELL	1MBVNT|28ASPD|3SELL|4MLV|58TLV|68VULN|7RCR|8BPWR|9DUR|aDMG
42	51116 26123	 * 	242.98	ACR|DCR|1VULN|2MLV|1TLV|1DMG	1ERES|2MSLREG|3TLV|4DMG|59RCR|6VULN|7ZMB|8aMLV
43	52116 26123	   	242.98	ACR|DCR|1VULN|2MLV|1TLV|1DMG	1ERES|2MSLFST|3TLV|4DMG|59RCR|6VULN|7ZMB|8aMLV
44	24121 48845	   	242.69	DCR|DCR|2VULN|1DUR	1MBVNT|25CGEN|35VULN|4AETHUN|5BPWR|6DUR|7aRCR|8LHND|9FEWX
45	24142 18845	   	242.69	DCR|DCR|2VULN|1DUR	1MBVNT|2CGEN|34VULN|5DUR|6BEXP|7aRCR|8LWND|9FEWX
46	24434 48285	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2CGEN|3LWND|4VULN|5TLV|6RMIN|7aRCR|8FEWX|9DUR
47	24142 18747	   	242.59	DCR|DCR|2VULN|1DUR	1MBVNT|2CGEN|34VULN|5DUR|6BEXP|7aRCR|8MDPS|9LIT
48	22811 31121	   	242.59	DCR|DCR|2VULN|1DUR	1MBVNT|28BEXP|3DUR|4MGNBOS|5aVULN|6FEWX|79RCR
49	22811 31621	   	242.59	DCR|DCR|2VULN|1DUR	1MBVNT|2BEXP|3DUR|4MGNBOS|5aVULN|68FEWX|79RCR
50	22811 41121	   	242.59	DCR|DCR|2VULN|1DUR	1MBVNT|28BEXP|3DUR|4MGNBOS|5aVULN|6LHND|79RCR
51	22811 41221	   	242.59	DCR|DCR|2VULN|1DUR	1MBVNT|2BEXP|3DUR|4MGNBOS|5aVULN|6LHND|79RCR|8DMSP
52	25715 22132	   	242.59	DCR|DCR|2VULN|1AART	1MBVNT|2RPLT|3LIT|4ERES|5ZMB|67RCR|8AART|9aVULN
53	24334 48745	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2CGEN|3DUR|4VULN|5TLV|6RMIN|7aRCR|8DUST|9FEWX
54	33421 14337	   	242.49	DCR|DCR|2VULN|1DUR	1BBNT|2MDPS|39VULN|4RAT|5MBVNT|6FEWX|7aRCR|8DUR
55	33421 74337	   	242.49	DCR|DCR|2VULN|1DUR	1BBNT|2MDPS|39VULN|4RAT|5MBVNT|6BEXP|7aRCR|8DUR
56	22811 41721	   	242.49	DCR|DCR|2VULN|1DUR	1MBVNT|2BEXP|3DUR|4MGNBOS|5aVULN|6LHND|79RCR|8AEFBLL
57	24335 21467	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2CGEN|3DUR|4VULN|5LIT|6MDPS|7TLV|8BBNT|9aRCR
