0	Index      	 *	Score 	Summary	Detail	
1	64133 33312	 * 	274.64	DCR|DCR|1VULN|1TLV|1MSLTOX|1MLV|1DUR	1ZMB|2LHND|3RPLT|4MLV|5DUR|6TLV|7MSLTOX|89RCR|aVULN
2	35253 42313	 * 	266.99	DCR|DCR|2DMG|1VULN|1TLV	12RCVC|37RAT|47DMG|57LIT|69RCR|7BPWR|8TLV|aVULN
3	64131 33312	   	260.99	DCR|DCR|1VULN|1TLV|1MSLTOX|1MLV	1ZMB|2LHND|3RPLT|4MLV|5BEXP|6TLV|7MSLTOX|89RCR|aVULN
4	64136 33312	   	260.99	DCR|DCR|1VULN|1TLV|1MSLTOX|1MLV	1ZMB|2LHND|3RPLT|4MLV|5FEWX|6TLV|7MSLTOX|89RCR|aVULN
5	66134 33312	   	260.89	DCR|DCR|1VULN|1TLV|1MSLTOX|1MLV	1ZMB|2DUST|3RPLT|4MLV|5LHND|6TLV|7MSLTOX|89RCR|aVULN
6	64123 33312	   	258.94	DCR|DCR|1VULN|1TLV|1MSLTOX|1DUR	1ZMB|2LHND|3RPLT|4TLV|5DUR|6AME|7MSLTOX|89RCR|aVULN
7	64123 43312	   	258.94	DCR|DCR|1VULN|1TLV|1MSLTOX|1DUR	1ZMB|2LHND|3RPLT|4TLV|5DUR|6ERES|7MSLTOX|89RCR|aVULN
8	61122 43253	   	256.44	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1ZMB|2LWND|3RPLT|4TLV|5CGEN|6CDMG|7DUR|8VULN|9aRCR
9	61123 62253	   	256.44	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1ZMB|2LWND|3RPLT|4TLV|5DUR|6CDMG|7CGEN|8VULN|9aRCR
10	35314 13548	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1AAC	12RCVC|3MBVNT|4AAC|5DMG|6aRCR|7CDMG|8MLV|9VULN
11	14235 34313	 * 	250.04	DCR|3VULN|2TLV|1DMG|2ASPD|1AART	1BBNT|29TLV|3CGEN|469VULN|5AART|7RCR|89ASPD|9BPWR|aDMG
12	61123 23313	   	249.49	DCR|DCR|1TLV|1MSLTOX|1MLV|1DUR	1ZMB|2LWND|3RPLT|4TLV|5DUR|6MLV|7MSLTOX|89RCR|aASPD
13	64133 43312	   	248.34	DCR|DCR|1VULN|1MSLTOX|1MLV|1DUR	1ZMB|2LHND|3RPLT|4MLV|5DUR|6ERES|7MSLTOX|89RCR|aVULN
14	42122 31631	 * 	247.49	DCR|DCR|3MLV|1TLV|1AAC	1VENICY|245MLV|35BASARM|5BPWR|6FEWX|79RCR|8TLV|aAAC
15	62135 33313	   	245.84	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1ZMB|2RMIN|3MLV|4VULN|5CDMG|6DUR|7RPLT|8aRCR|9LWND
16	62135 33353	   	245.84	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1ZMB|2RMIN|3MLV|4VULN|5CDMG|6DUR|7RPLT|8aRCR|9LHND
17	63135 23153	   	245.84	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1ZMB|2CGEN|3MLV|4VULN|5CDMG|6LHND|7RPLT|8DUR|9aRCR
18	63135 33313	   	245.84	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1ZMB|2CGEN|3MLV|4VULN|5CDMG|6DUR|7RPLT|8aRCR|9LWND
19	63135 33353	   	245.84	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1ZMB|2CGEN|3MLV|4VULN|5CDMG|6DUR|7RPLT|8aRCR|9LHND
20	62135 33363	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1ZMB|2RMIN|3MLV|4VULN|5CDMG|6DUR|7RPLT|8aRCR|9DUST
21	63135 33363	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1ZMB|2CGEN|3MLV|4VULN|5CDMG|6DUR|7RPLT|8aRCR|9DUST
22	45116 22113	   	245.44	DCR|DCR|1VULN|1DMG|1MLV	1VENICY|2DMG|3MLV|4VULN|5RPLT|6RMIN|79RCR|8FEWX|aASPD
23	64121 33312	   	245.29	DCR|DCR|1VULN|1TLV|1MSLTOX	1ZMB|2LHND|3RPLT|4TLV|5BEXP|6AME|7MSLTOX|89RCR|aVULN
24	64121 43312	   	245.29	DCR|DCR|1VULN|1TLV|1MSLTOX	1ZMB|2LHND|3RPLT|4TLV|5BEXP|6ERES|7MSLTOX|89RCR|aVULN
25	64126 33312	   	245.29	DCR|DCR|1VULN|1TLV|1MSLTOX	1ZMB|2LHND|3RPLT|4TLV|5FEWX|6AME|7MSLTOX|89RCR|aVULN
26	66122 33312	   	245.29	DCR|DCR|1VULN|1TLV|1MSLTOX	1ZMB|2DUST|3RPLT|4TLV|5CGEN|6LHND|7MSLTOX|89RCR|aVULN
27	66124 33312	   	245.19	DCR|DCR|1VULN|1TLV|1MSLTOX	1ZMB|2DUST|3RPLT|4TLV|5LHND|6AME|7MSLTOX|89RCR|aVULN
